name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Aron Cramer,1180913147290324992,2019-10-06T18:30:09Z,"Let us hope that Joe Maddon and Gerrit Cole are back home in Anaheim next year, and that the @angels add more pitching beyond that.//t.co/6WD3SbEnfA",TRUE,FALSE,NA,NA
Aron Cramer,1180839514077421569,2019-10-06T13:37:33Z,"Here's what Rowena Chiu is defying: -- Decades of silence re Weinstein -- One of the most suffocating settlements we've ever seen --Stereotypes of Asian women as compliant -- And now, a threat of legal retaliation by Weinstein Please read her essay. //t.co/SkIvUCArzb",FALSE,TRUE,NA,NA
Aron Cramer,1180021210362466304,2019-10-04T07:25:54Z,Data is powerful. But the lack of gender-disaggregated #data has led to programs and policies that don't account for barriers women facehere's how to change that.//t.co/7de3EU74vO @BSRnews #genderequality @CandAFund,FALSE,TRUE,NA,data
Aron Cramer,1180021096969408512,2019-10-04T07:25:27Z,Supply chain sustainability brings business value to procurement: @bsrnews and @EnvDefenseFund present this webinar://t.co/zQNblydly3 My colleague @jorgetteBSR and I will discuss the BSR Supply Chain Leadership Ladder and practical case studies of good practice.,FALSE,TRUE,NA,NA
Aron Cramer,1179864752748728321,2019-10-03T21:04:12Z,This is so disappointing. You have created a great franchise much like the one @SInow had...and no longer does.//t.co/jXIe3mewe6,TRUE,FALSE,NA,NA
Aron Cramer,1179768029464453120,2019-10-03T14:39:51Z,#UNGA2019 produced reasons for optimism...and also increased urgency. My take://t.co/9sgfeGTvMY #SDGs #ClimateWeekNYC//t.co/9yvVcJRKtx,TRUE,FALSE,NA,UNGA2019
Aron Cramer,1179768029464453120,2019-10-03T14:39:51Z,#UNGA2019 produced reasons for optimism...and also increased urgency. My take://t.co/9sgfeGTvMY #SDGs #ClimateWeekNYC//t.co/9yvVcJRKtx,TRUE,FALSE,NA,SDGs
Aron Cramer,1179768029464453120,2019-10-03T14:39:51Z,#UNGA2019 produced reasons for optimism...and also increased urgency. My take://t.co/9sgfeGTvMY #SDGs #ClimateWeekNYC//t.co/9yvVcJRKtx,TRUE,FALSE,NA,ClimateWeekNYC
Aron Cramer,1179668504292843520,2019-10-03T08:04:23Z,"#APPLY: @P4GPartnerships work in communities big & small in networks that crisscross the world to build a greener, more inclusive global society. Have a project doing the same? Apply for 2020 funding and be part of something transformative://t.co/WA39plStoV//t.co/TmWLrcWwHJ",FALSE,TRUE,NA,APPLY
Aron Cramer,1179510452809846785,2019-10-02T21:36:20Z,You all rock. Well deserved @planamikebarry and well done for the characteristic generosity for sharing the kudos with your teammates.//t.co/KFo67uJlN5,TRUE,FALSE,NA,NA
Aron Cramer,1179320965731377152,2019-10-02T09:03:23Z,Join us in November at #BSR19!//t.co/H9Kj9Hw7AT,TRUE,FALSE,NA,BSR19
Aron Cramer,1179079504356139009,2019-10-01T17:03:54Z,"And we are very excited about how we can continue to collaborate for great progress and impact. Thanks to the coalition partners, team and supporters!//t.co/dFFAI2bbgw",TRUE,FALSE,NA,NA
Aron Cramer,1177375310129565696,2019-09-27T00:12:03Z,"We're proud to have sponsored a special two-part episode @GlobalGoalsCast, featuring @LauraGitman discussing the new climate for businessthe era of fundamental change facing companies today. #SDG13 #ActOnClimate #ClimateWeekNYC #UNGA//t.co/lG1Vus6ehI",FALSE,TRUE,NA,NA
Aron Cramer,1177340279407501313,2019-09-26T21:52:51Z,Departing from #UNGA2019 - time to turn ambition into action #SDGs//t.co/UTWijtUat0,FALSE,FALSE,NA,UNGA2019
Aron Cramer,1177340279407501313,2019-09-26T21:52:51Z,Departing from #UNGA2019 - time to turn ambition into action #SDGs//t.co/UTWijtUat0,FALSE,FALSE,NA,SDGs
Aron Cramer,1177328483745325057,2019-09-26T21:05:58Z,.@MastercardFdn Partners With @BSRnews @LeviStraussCo @MandSnews and VF Corporation on Programs to He...//t.co/wrvYY07qpQ via @YahooFinance,FALSE,FALSE,NA,NA
Aron Cramer,1176930013762990082,2019-09-25T18:42:36Z,Great insights from @KateEBrandt of @Google and @BSRnews Board on how #AI can help deliver the #SDGs//t.co/RA9jjmXjjR,FALSE,FALSE,NA,AI
Aron Cramer,1176930013762990082,2019-09-25T18:42:36Z,Great insights from @KateEBrandt of @Google and @BSRnews Board on how #AI can help deliver the #SDGs//t.co/RA9jjmXjjR,FALSE,FALSE,NA,SDGs
Aron Cramer,1176626751453237256,2019-09-24T22:37:32Z,"I'm proud to mark 5 years of the @WMBtweets coalition, with @BSRnews as one of 7 founding partners catalyzing business leaders to drive policy ambition and accelerate the transition to the #netzero carbon economy. #ClimateWeekNYC #BetterFutureFaster//t.co/BgXjJSjvYs//t.co/5vAOiodsLY",FALSE,FALSE,NA,netzero
Aron Cramer,1176626751453237256,2019-09-24T22:37:32Z,"I'm proud to mark 5 years of the @WMBtweets coalition, with @BSRnews as one of 7 founding partners catalyzing business leaders to drive policy ambition and accelerate the transition to the #netzero carbon economy. #ClimateWeekNYC #BetterFutureFaster//t.co/BgXjJSjvYs//t.co/5vAOiodsLY",FALSE,FALSE,NA,ClimateWeekNYC
Aron Cramer,1176626751453237256,2019-09-24T22:37:32Z,"I'm proud to mark 5 years of the @WMBtweets coalition, with @BSRnews as one of 7 founding partners catalyzing business leaders to drive policy ambition and accelerate the transition to the #netzero carbon economy. #ClimateWeekNYC #BetterFutureFaster//t.co/BgXjJSjvYs//t.co/5vAOiodsLY",FALSE,FALSE,NA,BetterFutureFaster
Aron Cramer,1176576372292104192,2019-09-24T19:17:21Z,"@BofA_News @MoFoLLP @natixis Great to have Susan Mac Cormac @MoFoLLP, a silver sponsor of #ClimateWeekNYC, discussing #greenbonds on today's panel.//t.co/GuIiKF07Cp",FALSE,TRUE,NA,ClimateWeekNYC
Aron Cramer,1176560656721596416,2019-09-24T18:14:54Z,"How do you say ""sick burn"" in Swedish?//t.co/XLW6m3rAjq",TRUE,FALSE,NA,NA
Aron Cramer,1176192350017769472,2019-09-23T17:51:23Z,.@antonioguterres with a stirring call at leaders lunch to abolish the distortions with tax policy that focuses on carbon not labour. #UNGA2019 #ClimateWeekNYC,FALSE,FALSE,NA,UNGA2019
Aron Cramer,1176192350017769472,2019-09-23T17:51:23Z,.@antonioguterres with a stirring call at leaders lunch to abolish the distortions with tax policy that focuses on carbon not labour. #UNGA2019 #ClimateWeekNYC,FALSE,FALSE,NA,ClimateWeekNYC
Aron Cramer,1176162837238046720,2019-09-23T15:54:07Z,I could not agree more with @MindyLubber - to address #climate we need ambition and scale. Both. #climateweekNYC//t.co/Xadc9siITP,TRUE,FALSE,NA,climate
Aron Cramer,1176162837238046720,2019-09-23T15:54:07Z,I could not agree more with @MindyLubber - to address #climate we need ambition and scale. Both. #climateweekNYC//t.co/Xadc9siITP,TRUE,FALSE,NA,climateweekNYC
Aron Cramer,1176156018394456066,2019-09-23T15:27:01Z,"Sobering reminder of how far we have to go: half of Americans are unaware of the #SDGs, in a survey for @wef. Yet again, the wrong kind of #AmericanExceptionalism. //t.co/5JOg6d9itC",FALSE,FALSE,NA,SDGs
Aron Cramer,1176156018394456066,2019-09-23T15:27:01Z,"Sobering reminder of how far we have to go: half of Americans are unaware of the #SDGs, in a survey for @wef. Yet again, the wrong kind of #AmericanExceptionalism. //t.co/5JOg6d9itC",FALSE,FALSE,NA,AmericanExceptionalism
Aron Cramer,1176122377559846912,2019-09-23T13:13:20Z,How #climateweeknyc #UNGA2019 begins...//t.co/yO3YyGBcdE,FALSE,FALSE,NA,climateweeknyc
