name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Asheesh Advani,1179514003657232386,2019-10-02T21:50:27Z,One of my favourite days. Today was the @TennerFiverYE Fiver Final. So inspiring to see 5-11 year olds sharing their entrepreneurial stories. I wish I my school had run Fiver when I was at Primary school. @youngenterprise,FALSE,TRUE,NA,NA
Asheesh Advani,1179216066368692224,2019-10-02T02:06:33Z,"Interactive Brokers to launch IBKR Lite. New service will provide commission-free, unlimited trades on US exchange-listed stocks and ETFs - plus no account minimums or inactivity fees and free market data for US exchange-traded stocks. $IBKR//t.co/NunWOS3rL8",FALSE,TRUE,NA,NA
Asheesh Advani,1178137965886881792,2019-09-29T02:42:34Z,"#SDG8 promotes decent work and economic growth for all; youth education, employment, and training; and beneficial and sustainable tourism. Join #IHGxJA in celebrating #WTD2019, and learn more about this exciting partnership! #travelcareers//t.co/MnmbvBDTql//t.co/fTtmMKdJw0",FALSE,TRUE,NA,SDG8
Asheesh Advani,1178137733526626305,2019-09-29T02:41:39Z,"""This opportunity is our first step into modeling what it looks like for capital to be in service of, in relationship with, and accountable to the very people whose labor powers a growing and essential industry."" @domesticworkers @palaknshah //t.co/J27tKOgoWt",FALSE,TRUE,NA,NA
Asheesh Advani,1177538787611725824,2019-09-27T11:01:39Z,THE GRETA THUNBERG HELPLINE: For adults angry at a child. //t.co/JAtIKyG4Va,FALSE,TRUE,NA,NA
Asheesh Advani,1177536950007488512,2019-09-27T10:54:21Z,"Thx @kaifulee for your inspiring talk, book, and interviews on the subject of AI and readiness at @JAWorldwide Centenary celebrations @TheOWForum @OliverWyman//t.co/bOGnmY33GJ",FALSE,TRUE,NA,NA
Asheesh Advani,1176903560048627713,2019-09-25T16:57:29Z,Tweeting Live about #WriteTheWrong progress from @UN: new pledge from Germany: at least 10 in 2019 for @EduCannotWait #UNGA,FALSE,TRUE,NA,WriteTheWrong
Asheesh Advani,1176903510392299523,2019-09-25T16:57:17Z,"Give generously to @EduCannotWait. Build the #IFFEd, alongside @GPforEducation and @UNICEF. With #IFFEd, we can achieve 5x as much funding because of the way we do it as a bank for education. Chair Gordon Brown at #UNGAa on the future of financing #SDG4 to #WriteTheWrong//t.co/UCQ9LDXdQj",FALSE,TRUE,NA,IFFEd
Asheesh Advani,1176903510392299523,2019-09-25T16:57:17Z,"Give generously to @EduCannotWait. Build the #IFFEd, alongside @GPforEducation and @UNICEF. With #IFFEd, we can achieve 5x as much funding because of the way we do it as a bank for education. Chair Gordon Brown at #UNGAa on the future of financing #SDG4 to #WriteTheWrong//t.co/UCQ9LDXdQj",FALSE,TRUE,NA,IFFEd
Asheesh Advani,1176903238928490496,2019-09-25T16:56:12Z,Off script inspiring comments by @AminaJMohammed and @unicefchief ... and importantly a panel of young people to highlight the authentic issues for the future of work #unga @gbceducation #WriteTheWrong @JAWorldwide//t.co/MrWOu3k0U6,FALSE,FALSE,NA,unga
Asheesh Advani,1176903238928490496,2019-09-25T16:56:12Z,Off script inspiring comments by @AminaJMohammed and @unicefchief ... and importantly a panel of young people to highlight the authentic issues for the future of work #unga @gbceducation #WriteTheWrong @JAWorldwide//t.co/MrWOu3k0U6,FALSE,FALSE,NA,WriteTheWrong
Asheesh Advani,1172842957008965632,2019-09-14T12:02:05Z,"JA alumni start more companies, hire more employees, and produce larger annual sales than ventures led by non-alumni. Our alumni also save more, report higher levels of income, and are less likely to drop out of school. Read more in our new #Impact Report!//t.co/w3YADLe8Q5//t.co/4iNWZMHdgk",FALSE,TRUE,NA,NA
Asheesh Advani,1172498649894608896,2019-09-13T13:13:56Z,"@CJenner_JA is leaving her position of CEO at @JA_Europe and appointed COO of @JAWorldwide. Our 41 member organisations, Board of Directors and JA Europe team would like to wholeheartedly thank Caroline and congratulate her on her new role! #OneJA //t.co/kYMaIPoi1U//t.co/qrk6oBCfGt",FALSE,TRUE,NA,NA
Asheesh Advani,1171158253876797443,2019-09-09T20:27:41Z,We Desperately Need a Merger between Education and Work//t.co/lCjgudnk3U via @sciam,FALSE,FALSE,NA,NA
Asheesh Advani,1167819758911336448,2019-08-31T15:21:42Z,"JA Worldwide CEO @asheeshadvaniis taking the stage to interview @GowriIshwaran,internationally recognized educator, CEO of @tGELF (JA's partner in India), and winner of the @PadmaAwards, the highest civilian award in India. We. Can't. Wait! #JAAC19",FALSE,TRUE,NA,NA
Asheesh Advani,1167451506389524480,2019-08-30T14:58:23Z,"So @mixingculture, wanna go out with me next Saturday? There's this great restaurant in South Dakota I'd like to take you to.//t.co/Ps0qgwUf71",TRUE,FALSE,NA,NA
Asheesh Advani,1167164287078588421,2019-08-29T19:57:05Z,"So proud of the alumni honoured tonight by @FerdOwner, who has (successfully) advocated for social entrepreneurship at JA @JA_Europe @JAWorldwide//t.co/r07WweiO5H",TRUE,FALSE,NA,NA
Asheesh Advani,1167162256469188608,2019-08-29T19:49:01Z,"Everyone makes mistakes. The main dierence is that successful people learn from them and unsuccessful people don't. By creating an environment in which it's okay to safely make mistakes so that people can learn from them, you'll see rapid progress & fewer signicant mistakes.//t.co/7c7NKu5Fjv",FALSE,TRUE,NA,NA
Asheesh Advani,1167162167558311936,2019-08-29T19:48:40Z,"#HappeningNow: The #FERDsList celebration of the 2019 honorees.The list honors 11 entrepreneurs, innovators & leaders coming from all over the world! We are proud of @INJAZLebanon alumnus @raydargham for being recognized for his outstanding achievements! #BelieveinINJAZ #JAAC19//t.co/7qMRqtY2u7",FALSE,TRUE,NA,HappeningNow
Asheesh Advani,1167162167558311936,2019-08-29T19:48:40Z,"#HappeningNow: The #FERDsList celebration of the 2019 honorees.The list honors 11 entrepreneurs, innovators & leaders coming from all over the world! We are proud of @INJAZLebanon alumnus @raydargham for being recognized for his outstanding achievements! #BelieveinINJAZ #JAAC19//t.co/7qMRqtY2u7",FALSE,TRUE,NA,FERDsList
Asheesh Advani,1167162118711496704,2019-08-29T19:48:28Z,"No one can tell you what risks you should take. We are insisting that you must choose a path that you love, for better or for worse. #mg100 #leadership #love #passion//t.co/jghd8sC5Mr",FALSE,TRUE,NA,NA
Asheesh Advani,1167162035358097415,2019-08-29T19:48:08Z,"The #FERDsList celebration of the 2019 honorees is underway! These 11 entrepreneurs, innovators, and leaders come from all over the world. (Read all about them at//t.co/hou7C8pDu0.) Tonight, they'll be lauded by @FERDowner and @JA_Europe at #JAAC19. #IamJA",FALSE,TRUE,NA,FERDsList
Asheesh Advani,1167014502279385090,2019-08-29T10:01:54Z,"""Leaders focus on people, managers focus on projects"" according to @bradgeddes at the JA Global Alumni conference @JAWorldwide//t.co/v6SpCaRKZp",FALSE,FALSE,NA,NA
Asheesh Advani,1166931250038366210,2019-08-29T04:31:05Z,"Johann ""Hansi"" Hansmann dropped some serious entrepreneurial wisdom in his keynote speech today at #JAAC19. ""Do something unusual,"" ""get some sales experience,"" and more! These are just a few of our favorites from his speech. #IamJA//t.co/wpi7swnmZQ",FALSE,TRUE,NA,JAAC19
Asheesh Advani,1166599005582831617,2019-08-28T06:30:51Z,Worth reading this... //t.co/lLtpD6C2MT,FALSE,FALSE,NA,NA
Asheesh Advani,1165943807549964289,2019-08-26T11:07:20Z,Exam results are not a predictor of entrepreneurial success (or happiness and well being)//t.co/KHZCeGvMbv,TRUE,FALSE,NA,NA
Asheesh Advani,1164013581194731520,2019-08-21T03:17:18Z,"On #worldhumanitarianday, we're honoring Bonnie Chiu, JA Hong Kong alumna who founded @LensationalOrg to equip marginalized women with skills for financial success and was named to the @ForbesEurope#30under30 entrepreneurs. #IamJA @UNOCHA @JAAsiaPacific//t.co/OZBFTPSZwP",FALSE,TRUE,NA,worldhumanitarianday
Asheesh Advani,1163183270420463617,2019-08-18T20:17:57Z,A new GDP gross data product could be an emerging measure of wealth and power of nations.//t.co/f0CRKCEH6V,FALSE,TRUE,NA,NA
Asheesh Advani,1163183061317705728,2019-08-18T20:17:07Z,"For more details on what he did to transform @Microsoft check out our case study on Satya Nadella, available on @HarvardBiz //t.co/iR9WrIUcVQ",FALSE,TRUE,NA,NA
Asheesh Advani,1159584851927949312,2019-08-08T21:59:07Z,Do you want to work for one of the most impactful NGOs in the world? We're hiring! Job postings are now available on the JA Worldwide website. See if you're a good fit for one of our open positions at//t.co/mLPXs48OHh #hiring #jobopening,FALSE,TRUE,NA,NA
Asheesh Advani,1151701912783335429,2019-07-18T03:55:08Z,"If you limit your goals to what you know you can achieve, you are setting the bar way too low.//t.co/ag6TclqG9x",FALSE,TRUE,NA,NA
Asheesh Advani,1151638222209978368,2019-07-17T23:42:03Z,"This is one of the first useful, progressive and practical application of #VirtualReality we have seen in the workplace. Thank you @peterjholley//t.co/NcshZ0M4VI",FALSE,TRUE,NA,VirtualReality
Asheesh Advani,1151637952268820480,2019-07-17T23:40:58Z,From IQ to EQ to LQ - @JonasPrising discusses why employers need to build a culture of learnability to help their workforce upskill for the future://t.co/naYCWZ2EjA,FALSE,TRUE,NA,NA
Asheesh Advani,1149311716515340290,2019-07-11T13:37:21Z,A generous brand and generous partnerships provide the best (and only?) way to solve complex problems... thank you @alevere//t.co/LaLhAsEvtI,TRUE,FALSE,NA,NA
Asheesh Advani,1147767507740254208,2019-07-07T07:21:12Z,"On Thursday and Friday, @JA_Europe hosted the 2nd European #Entrepreneurship #Education Summit to strategize ways to increase the quantity, quality, and impact of entrepreneurship education in Europe in the coming years. Read more://t.co/DzIBxo4sjg #EEhubEU//t.co/1QE0QDCqKt",FALSE,TRUE,NA,Entrepreneurship
Asheesh Advani,1147767507740254208,2019-07-07T07:21:12Z,"On Thursday and Friday, @JA_Europe hosted the 2nd European #Entrepreneurship #Education Summit to strategize ways to increase the quantity, quality, and impact of entrepreneurship education in Europe in the coming years. Read more://t.co/DzIBxo4sjg #EEhubEU//t.co/1QE0QDCqKt",FALSE,TRUE,NA,Education
Asheesh Advani,1147433839544766464,2019-07-06T09:15:20Z,"Our CEO, @asheeshadvani, and Board Chair, Francesco Vanni d'Archirafi of @Citi, sharing JA's 100-year history of #youth #entrepreneurship at #COYC19. Happy Centennial to all our students, alumni, volunteers, staff, board members, partners, and funders!//t.co/OXwguZPigr",FALSE,TRUE,NA,youth
Asheesh Advani,1147060612616183808,2019-07-05T08:32:16Z,//t.co/t6ufgHt6ZP//t.co/Nv8Y431i71,TRUE,FALSE,NA,NA
Asheesh Advani,1147059845901639686,2019-07-05T08:29:13Z,"""As a business, we struggle to find the right #skills. Instead we look for personality and features like #EEhubEU and #creativity and then teach these skills"" says Helena Jansson, SVP Finance at International @FedEx #entrepreneurship #education #EEhubEU//t.co/4bt4QMTCx0",FALSE,TRUE,NA,skills
Asheesh Advani,1147059845901639686,2019-07-05T08:29:13Z,"""As a business, we struggle to find the right #skills. Instead we look for personality and features like #EEhubEU and #creativity and then teach these skills"" says Helena Jansson, SVP Finance at International @FedEx #entrepreneurship #education #EEhubEU//t.co/4bt4QMTCx0",FALSE,TRUE,NA,EEhubEU
Asheesh Advani,1146818092187570176,2019-07-04T16:28:34Z,//t.co/mLlmR6dldQ//t.co/Kii0NmjRBn,TRUE,FALSE,NA,NA
Asheesh Advani,1146817850897682432,2019-07-04T16:27:37Z,"JA Worldwide is looking for a sharp, creative, out-of-the-box thinker to fill the role of Director, Global Partnerships. Do you have what it takes to work for one of the most impactful NGOs in the world? Apply today with @idealist.//t.co/PLLMeUHq8z #hiring #jobposting #ngo",FALSE,TRUE,NA,NA
Asheesh Advani,1146817582294425602,2019-07-04T16:26:33Z,.@JAWorldwide CEO @asheeshadvani and @JA_Europe CEO @CJenner_JA visiting the #COYC19 stands this afternoon!//t.co/PB2XoSOeWf,FALSE,TRUE,NA,COYC19
Asheesh Advani,1146191632372514817,2019-07-02T22:59:15Z,"England may have lost, but at least we're all united in the joy of Piers Morgan looking like an absolute twat #ENGUSA #ENG #USA #lionesses//t.co/u3m4MJAKWB",FALSE,TRUE,NA,ENGUSA
Asheesh Advani,1140953249148784640,2019-06-18T12:03:47Z,Sarah from @JAWorldwide presenting what it means to be a JA Alumni. #NSLS2019 #JAStudentSummit//t.co/HzWMUivZ1V,FALSE,TRUE,NA,NSLS2019
Asheesh Advani,1140953249148784640,2019-06-18T12:03:47Z,Sarah from @JAWorldwide presenting what it means to be a JA Alumni. #NSLS2019 #JAStudentSummit//t.co/HzWMUivZ1V,FALSE,TRUE,NA,JAStudentSummit
Asheesh Advani,1139968353655754753,2019-06-15T18:50:09Z,"""In this next economy, the soft stuff is the new hard stuff"" /via @globeandmail//t.co/m57KHLpsha",FALSE,FALSE,NA,NA
Asheesh Advani,1137530463332052993,2019-06-09T01:22:51Z,"Through our new project with @Googleorg, thousands of young Brazilians will be trained to obtain the necessary digital tools to get a job! Congrats to @jabrasil for being selected to start this great partnership//t.co/LYqV8Q78AO",FALSE,TRUE,NA,NA
Asheesh Advani,1134799917162086400,2019-06-01T12:32:38Z,"Bill Gates has always been an inspiration to me, as he is to many. His struggles portray what the modern entrepreneur lacks - the ability to welcome failure with open arms. #alwayslearn//t.co/IYJPZFG4DH",FALSE,TRUE,NA,NA
