name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Beth Simone Noveck,1181382917924229120,2019-10-08T01:36:51Z,"NYU CUSP is pleased to announce its 2020 call for Capstone Projects, open to city agencies, private sector companies, & academic organizations interested in co-supervising an applied #UrbanAnalytics project with CUSP grad students! Learn more://t.co/2oqPjMrvPz @nyutandon",FALSE,TRUE,NA,NA
Beth Simone Noveck,1181382827402772480,2019-10-08T01:36:29Z,Conversando en @Tele13_Radio con Coni Santa Mara y @carolaurrejola sobre ciudadana digital en #Protagonistas //t.co/75mNQVUGmD Conferencia cultura social media 2019 @GoblabUAI @uaichile #InteligenciaArtificial #BigData #InteligenciaColectiva//t.co/ELmnYWnuHG,FALSE,TRUE,NA,Protagonistas
Beth Simone Noveck,1180827270279303168,2019-10-06T12:48:54Z,In a glimpse how we are working for a more open parliament @AssembleeNat : Transparency Participatory Civil society inclusion Congrats to everyone @PaulaForteza @Mau_MejiaG @dosreissilvam @AlexisThual !!//t.co/27KFFKmpii,FALSE,TRUE,NA,NA
Beth Simone Noveck,1180089214433742848,2019-10-04T11:56:08Z,nb: books and whiskey. ;-(//t.co/r7AOtAclao,FALSE,FALSE,NA,NA
Beth Simone Noveck,1179700015117328384,2019-10-03T10:09:36Z,Attending @propelify today? NJ Office of Innovation is recruiting and will be stationed at the Community Host area. Seeking engineers & product designers who want to solve the State's most pressing problems. Stop by or apply online at//t.co/SQgj6uVnPl. @GovMurphy @NJGov,FALSE,FALSE,NA,NA
Beth Simone Noveck,1179510901025710083,2019-10-02T21:38:07Z,//t.co/c9XL1kVQMj,FALSE,FALSE,NA,NA
Beth Simone Noveck,1179368865337413633,2019-10-02T12:13:43Z,Can you help? We are crowdsourcing innovative examples of the use of #collectiveintelligence to solve public problems. Know of any? Please DM or tweet to #CIcases or send an email to!,FALSE,FALSE,NA,collectiveintelligence
Beth Simone Noveck,1179368865337413633,2019-10-02T12:13:43Z,Can you help? We are crowdsourcing innovative examples of the use of #collectiveintelligence to solve public problems. Know of any? Please DM or tweet to #CIcases or send an email to!,FALSE,FALSE,NA,CIcases
Beth Simone Noveck,1179138751253155843,2019-10-01T20:59:20Z,I love this @FukuyamaFrancis @taradmcguinness @SlaughterAM @bethnoveck @tkalil and everyone that has signed. 100% agree.//t.co/VVtcq2TsZi,FALSE,TRUE,NA,NA
Beth Simone Noveck,1179138237933199364,2019-10-01T20:57:17Z,Key takeaways from @GovMurphy's discussion on NJ's economy: 1 Creating Business First Stop web portal 2 Awarding $3M contract for biz marketing campaign 3 Expanding Film Tax Credit 4 MOU w. @NewJerseyEDA & @NJTRANSIT to develop transit hubs @bethnoveck @NJGov @NJMotionPicture//t.co/QbbR5vlqwo,FALSE,TRUE,NA,NA
Beth Simone Noveck,1179094639804080128,2019-10-01T18:04:03Z,"Today, @NewJerseyEDA, @NJ_BAC, and the Office of Innovation are rolling out the//t.co/pOLF1DXmRg beta site to help: Provide businesses with the info they need to launch, operate, & grow Promote inclusive business growth Get involved! Visit//t.co/y28LkILlJf//t.co/1KMdTEhk6q",FALSE,TRUE,NA,NA
Beth Simone Noveck,1178750032784367617,2019-09-30T19:14:42Z,I can't retweet this enough times//t.co/QEgXBacJ7R,FALSE,TRUE,NA,NA
Beth Simone Noveck,1178692040906940417,2019-09-30T15:24:16Z,On the importance of the abstract or why not to be lazy when writing the executive summary//t.co/LyfIZtcOQE,FALSE,FALSE,NA,NA
Beth Simone Noveck,1177331895195045898,2019-09-26T21:19:32Z,A fairer way forward for AI in health care//t.co/yB5lFqJqie @KadijaFerryman @nyutandon @TheGovLab,FALSE,FALSE,NA,NA
Beth Simone Noveck,1177328216480129025,2019-09-26T21:04:55Z,"Bona sessi de treball inicial amb la gran experta @bethnoveck, directora de @TheGovLab, per explorar possibles vies de col.laboraci amb #Barcelona, en projectes que capacitin i empoderin la ciutadania amb l's de la tecnologia i contribueixin a resoldre problemes compartits//t.co/iX6sWm8tVr",FALSE,TRUE,NA,NA
Beth Simone Noveck,1177324841738919936,2019-09-26T20:51:30Z,"Check out @apoliticalco's ""Data and Digital Directory: 100 places for public servants to learn for free,"" which features a few of The GovLab's resources such as the Digest and Solving Public Problems with #data!//t.co/rlYt8ijitb",FALSE,TRUE,NA,NA
Beth Simone Noveck,1177311389788061696,2019-09-26T19:58:03Z,"Interested in making a big impact by solving public problems? We're searching for product design, engineering, and policy + engagement professionals.//t.co/AQY5wQFTKg #innovation #civictech #designthinking #OpenData",FALSE,FALSE,NA,innovation
Beth Simone Noveck,1177311389788061696,2019-09-26T19:58:03Z,"Interested in making a big impact by solving public problems? We're searching for product design, engineering, and policy + engagement professionals.//t.co/AQY5wQFTKg #innovation #civictech #designthinking #OpenData",FALSE,FALSE,NA,civictech
Beth Simone Noveck,1177311389788061696,2019-09-26T19:58:03Z,"Interested in making a big impact by solving public problems? We're searching for product design, engineering, and policy + engagement professionals.//t.co/AQY5wQFTKg #innovation #civictech #designthinking #OpenData",FALSE,FALSE,NA,designthinking
Beth Simone Noveck,1177311389788061696,2019-09-26T19:58:03Z,"Interested in making a big impact by solving public problems? We're searching for product design, engineering, and policy + engagement professionals.//t.co/AQY5wQFTKg #innovation #civictech #designthinking #OpenData",FALSE,FALSE,NA,OpenData
Beth Simone Noveck,1176831194908024833,2019-09-25T12:09:55Z,Please help spread the word @stefanabroadben @villum @tomasdiez @mhaklay @marabales @twmalone @bethnoveck @lexpaulson @francesca_bria @RebeccaRumbul @audreyt//t.co/tMEEXG4ROM,FALSE,TRUE,NA,NA
Beth Simone Noveck,1176618464271839238,2019-09-24T22:04:37Z,. @MonashMSDI's Peter Bragge announcing the launch of @McMasterU @MonashUni Social Systems Evidence//t.co/SvDDIFKFy4//t.co/P3CwbblblL,FALSE,FALSE,NA,NA
Beth Simone Noveck,1176617639457828864,2019-09-24T22:01:20Z,"Today! Launch of Social Systems Evidence: The world's most comprehensive, free access point for evidence about strengthening 20 government sectors and program areas, and achieving the Sustainable Development Goals.//t.co/SvDDIFKFy4 @TheGovLab @MonashMSDI",FALSE,FALSE,NA,NA
