name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Dr John Chipman IISS,1180244249872404486,2019-10-04T22:12:11Z,"Normally, not that this happens often, and that's the point, this would be a delegation led by the Vice President.//t.co/tqpXB2mxL9",TRUE,FALSE,NA,NA
Dr John Chipman IISS,1177964233662881794,2019-09-28T15:12:13Z,Excellent thread: @IISS_org study on the costs of European Strategic Autonomy can be found in our website.//t.co/PetcEw6Yl9,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1177570770291236868,2019-09-27T13:08:44Z,If its true that many people who voted for Brexit are furious with Parl then Leave campaign should organise mass demonstration to allow them to express views peacably (as Remain has done) and not encourage us to draw inferences from bricks thru windows and death threats to MPs.,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1176081778689200128,2019-09-23T10:32:01Z,YES! I'm not the only one whose teeth grate when the perfectly good sign becomes signage... Why signage not sign? Agree too on lessons over the horror of key learnings... #language The war on weasel words is failing and I am no help at all //t.co/IBuwZLhmSm,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1174116128370675714,2019-09-18T00:21:13Z,"Strange given that Solomon Islands policy could be presented simply as now aligning with longstanding US diplomatic stance. Would be different if US were intent on recognising Taiwan, but no hint of that, so why spurn PM of Solomon Islands? Is that wise US Indo-Pacific policy?//t.co/TGWKBcKiqc",TRUE,FALSE,NA,NA
Dr John Chipman IISS,1174112498787770368,2019-09-18T00:06:48Z,The correct quote from me is Good governance without democracy is safer strategically than is democracy without good governance.'//t.co/uFQUfZD2rW,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1171905497571704832,2019-09-11T21:56:58Z,Makes Jonathan Sumption Reith Lectures compulsory reading on the expanding empire of law...//t.co/Y8z0EQ7XTj,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1168939214286839808,2019-09-03T17:30:01Z,"Sir Nicholas Soames tells me he will vote against the Govt tonight, unless the PM (who he's going to see now) can assure him a Brexit deal will be done. Boris therefore faces the uncomfortable prospect of deselecting Winston Churchill's grandson.",FALSE,TRUE,NA,NA
Dr John Chipman IISS,1168067141381177345,2019-09-01T07:44:42Z,Profile of courage!//t.co/TarCZQr7vC,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1166630649131929600,2019-08-28T08:36:36Z,"Schriver on friendly territory w Nikkei, but interview highlights a) obvs US concern at S Korea scrapping GSOMIA b) strategic risk for ROK as bilat stress w JP further destabilises US-led security alliance. Domestic scandal also draining Moon's authority.//t.co/jpwbk1DfZ6",FALSE,TRUE,NA,NA
Dr John Chipman IISS,1161975334771855361,2019-08-15T12:18:02Z,Hard times for Huawei.//t.co/2cOlrVvWgi,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1160828588138086400,2019-08-12T08:21:17Z,"Whether they like it or not, companies need a foreign policy...//t.co/X8ajlqGMQd",TRUE,FALSE,NA,NA
Dr John Chipman IISS,1159237346908364800,2019-08-07T22:58:15Z,First class analysis happily married to first class graphics.//t.co/jSTr0UgsPk,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1158485571402174465,2019-08-05T21:10:58Z,"Whatever one thinks of the argument, the quality of writing in this piece is special. Political analysis by 1000 word cuts.//t.co/v0mTDueUU2",TRUE,FALSE,NA,NA
Dr John Chipman IISS,1157229268100952068,2019-08-02T09:58:52Z,What a week.//t.co/4RSfqug64Q,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1157227432140840961,2019-08-02T09:51:34Z,"South Korea's prez Moon's reply to white list removal incandescentJapan seeks to block ROK growth, JP is the aggressor, bold as thieves... Plays straight back into ROK's historical grievance re JP. Both sides clearly digging in. #TradeWars",FALSE,TRUE,NA,NA
Dr John Chipman IISS,1156833810920722432,2019-08-01T07:47:28Z,"As yesterday's Fed rate cut underscores the dysfunctional state of monetary policy, worth noting the $13trn of bonds globally now with negative yields, 25% of the total, double level of year ago, & incl low quality paper. Points to distress in system, gloom about global economy.",FALSE,TRUE,NA,NA
Dr John Chipman IISS,1156528070003744768,2019-07-31T11:32:33Z,"The mission is potentially an important public good if executed well, but command and control arrangements need to be first class and rules of engagement need to be clear. Not yet evident that proposed European operation has settled these issues.//t.co/CJr75F9vo3",TRUE,FALSE,NA,NA
Dr John Chipman IISS,1156481977954033666,2019-07-31T08:29:24Z,"Interesting magazines displayed on newsstand at Temple Tube station: Could be @NewYorker, @TheEconomist, @spectator or, right beside them, great choice for elegant writing on a wide variety of international security topics: @IISS_org Survival://t.co/PhYyr7ZtwI",FALSE,FALSE,NA,NA
Dr John Chipman IISS,1156231939692609536,2019-07-30T15:55:50Z,Struggling to find a currency against which UK pound sterling is appreciating - best so far is Venezuela's sovereign bolivar.//t.co/WSpFK6IoyX,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1155099755791474688,2019-07-27T12:56:57Z,Identity politics in Ethiopia and the challenges to central government neatly explained here.//t.co/tCVv5pcRCk,FALSE,FALSE,NA,NA
Dr John Chipman IISS,1154874754647699456,2019-07-26T22:02:52Z,"Starting to read Richard Flanagan's The Narrow Road to the Deep North', winner of the Man Booker Prize. Already on page 3 an epigrammatic reflection: A happy man has no past, while am unhappy man has nothing else.'//t.co/qm12DM4K8P",FALSE,FALSE,NA,NA
Dr John Chipman IISS,1154831246448562176,2019-07-26T19:09:59Z,"@RobertAlanWard Douglas Hurd famously issued a style guide to the FCO when he was a minister there, famously banning counter-productive' and insisting on the lengthier: do more harm than good.'",FALSE,FALSE,2237583564,NA
Dr John Chipman IISS,1154812209853325312,2019-07-26T17:54:20Z,"Some of his advice is the same as that in The Economist Style Guide which also objects to meet with.' He perhaps misjudged using Tobias Ellwood as an example of how to address an M.P. who is not a Privy Councillor, as Ellwood was appointed to the Privy Council in April 2017.//t.co/y7Iv37TtWf",TRUE,FALSE,NA,NA
Dr John Chipman IISS,1154798266502062084,2019-07-26T16:58:56Z,Worth it.//t.co/VgHQZmxp4T,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1154664001323880450,2019-07-26T08:05:25Z,"@csdickey @FHeisbourg @IISS_org We are just starting. But by September we will have a Strategic Dossier out on Iran's influence networks that will, we hope, set the standard.",FALSE,FALSE,17645400,NA
Dr John Chipman IISS,1154657514983759873,2019-07-26T07:39:38Z,This is beginning to spiral.//t.co/jOJXfrzKiO,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1154654583181971456,2019-07-26T07:27:59Z,"@FHeisbourg Delighted to say that @IISS_org has designed just such a research project, examining differing styles of statecraft in current influence operations.'",FALSE,FALSE,483930658,NA
Dr John Chipman IISS,1154104428850495488,2019-07-24T19:01:52Z,Not quite fair to children...//t.co/PRVdIqKPkE,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1154062883485114370,2019-07-24T16:16:47Z,Turkmenistan state TV just broadcast fresh images of the president in a 10-minute report (literally) of him looking at/pointing at images of planned bus stops//t.co/5SbbQx4KIG,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1154037959785476096,2019-07-24T14:37:45Z,Good to see the strategic strength of @IISS_org and the defence industrial knowledge of @defense_news brought together to produce new and important data and insights//t.co/5udVNmohaq,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1153928467135774720,2019-07-24T07:22:40Z,"#Japan's foreign minister Taro Kono, ever diplomatic, focuses on what he and Boris Johnson can agree onthat Fukushima peach juice is safe to drink. But doesn't disguise elevated JP govt/biz concern about damage to JP's extensive UK investments from Johnson-driven no-deal Brexit.//t.co/o1GlZIF8NT",FALSE,TRUE,NA,Japan
Dr John Chipman IISS,1151802227339800577,2019-07-18T10:33:45Z,"Every American should read this thread which asks some typically European questions from a Spanish vantage. Remember, Spain was still a low income dictatorship less than fifty years ago.//t.co/EWGVrr5eUA",FALSE,TRUE,NA,NA
Dr John Chipman IISS,1149611822799974403,2019-07-12T09:29:51Z,Bach and the elephant - wonderful. The joy of Bach. Bach Fugue on Piano for Chaichana the Bull Elephant//t.co/Fkk9PEjzoH via @YouTube,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1149005083587334146,2019-07-10T17:18:54Z,This is pretty crisp and clear.//t.co/wXvcTo72RD,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1147092040376815617,2019-07-05T10:37:09Z,A worryingly plausible scenario from @shashj. @IISS_org puts the sticker price for even limited EU autonomy at $357B//t.co/5qXiiFOPI5//t.co/FkzYcsqzKo,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1146719110748938240,2019-07-04T09:55:15Z,Agree!//t.co/nCRjGRS5gV,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1146471729360965632,2019-07-03T17:32:15Z,"Nuclear strategy is a women's issue because Janne Nolan, Catherine Kelleher, Enid Schoettle, Ruth Adams and others pulled the rest of us into and upward in the field.//t.co/Nff6w6tR9B",FALSE,TRUE,NA,NA
Dr John Chipman IISS,1145384509124296706,2019-06-30T17:32:01Z,"The planet's rock star, #DavidAttenborough, lights up the crowd at #glastonburyfestival2019//t.co/mpwrMbxuJX",TRUE,FALSE,NA,DavidAttenborough
Dr John Chipman IISS,1145384509124296706,2019-06-30T17:32:01Z,"The planet's rock star, #DavidAttenborough, lights up the crowd at #glastonburyfestival2019//t.co/mpwrMbxuJX",TRUE,FALSE,NA,glastonburyfestival2019
Dr John Chipman IISS,1144986909384564741,2019-06-29T15:12:06Z,@FHeisbourg Answer is: G20 Protocol. Macri is on one side of the host as Argentina was G20 host in 2018 and MbS is on the other side as KSA is host of G20 in 2020.,FALSE,FALSE,483930658,NA
Dr John Chipman IISS,1144983969508855810,2019-06-29T15:00:25Z,@ianbremmer @aliShihabi G20 Protocol. Macri is on one side of the host as Argentina was G20 host in 2018 and MbS is on the other side as KSA is host of G20 in 2020.,FALSE,FALSE,60783724,NA
Dr John Chipman IISS,1143924943308169216,2019-06-26T16:52:14Z,Strong piece by @IISS_org Senior Fellow Sarah Raine.//t.co/oklyRkbOgR,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1143560801619468288,2019-06-25T16:45:16Z,Thank you to @JoWadephul for hosting @IISS_org for a great session with parliamentarians. We look forward to being resident in Berlin before too long!//t.co/UFlKavEk1w,TRUE,FALSE,NA,NA
Dr John Chipman IISS,1143442955031719939,2019-06-25T08:56:59Z,We need to give our brave troops the backing they need so I'm pledging to boost defence spending by 15bn over the next 5 years. This will show the world that we are ready to defend our interests and values and that Britain's voice will be strong://t.co/iJ9HSEMNUB,FALSE,TRUE,NA,NA
Dr John Chipman IISS,1141801866151563266,2019-06-20T20:15:53Z,"@PhilipHammondUK delivering a stylish, humorous, intelligent and wise speech at Mansion House this evening. It is a valedictory address, and like many of this kind, worth paying attention to.",FALSE,FALSE,2653613168,NA
Dr John Chipman IISS,1141754462584922113,2019-06-20T17:07:31Z,Next U.K. PM will be either Jeremy Hunt or Boris Johnson,FALSE,FALSE,NA,NA
