name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Doreen G. Kessy,1169868243831406592,2019-09-06T07:01:39Z,"@vikaspota Hi Vikas, what time works for you?",FALSE,FALSE,18267636,NA
Doreen G. Kessy,1169608493424414723,2019-09-05T13:49:29Z,"We need to work hand in hand with teachers, and give them the necessary support! So great to meet the winner of @teacherprize at #AF19!//t.co/yxLf1AopwH",TRUE,FALSE,NA,AF19
Doreen G. Kessy,1169607424183062528,2019-09-05T13:45:14Z,Really pleased that @FabAcademic and @doreenkessy speak about the centrality of teachers in this conversation. Online and digital is fine but you can't outpace the skills of teachers #AF19,FALSE,TRUE,NA,NA
Doreen G. Kessy,1169607391874301952,2019-09-05T13:45:07Z,"@doreenkessy shares the challenge for teachers is support and training. Also, English is a barrier as most of the content on the internet is in English. #AF19 #WEFAfrica19",FALSE,TRUE,NA,NA
Doreen G. Kessy,1169607376917454848,2019-09-05T13:45:03Z,"I love that @doreenkessy has brought up how most teachers are from a crop of students who did not make a grade and get ""tossed"" into teacher program. This is also the case in Zambia. #AF19 #WEFAfrica19",FALSE,TRUE,NA,NA
Doreen G. Kessy,1162241209244368902,2019-08-16T05:54:32Z,"@KennedyMmari Wanaume wakiwajibika sawa sawa na wanawake kwenye majukumu ya kifamilia kama kupika, kuchange diaper, kuhudumia watoto wakiumwa, wanawake wataweza kupata muda na Nguvu ya kua aggressive.",FALSE,FALSE,2309651022,NA
Doreen G. Kessy,1150803341167009794,2019-07-15T16:24:32Z,"The key to lasting progress in Africa lies in the minds of its kids. If we help them realize their potential, they will go on to change their lives, their communities, and the world. -@doreenkessy, COO at @UBONGOtz #MoralLeaderMonday #AcumenFellows",FALSE,TRUE,NA,NA
Doreen G. Kessy,1136782825909346310,2019-06-06T23:52:00Z,Thank you for paving the way @Atayeshe! //t.co/Kc8fr8MG4x,TRUE,FALSE,NA,NA
Doreen G. Kessy,1136329313362616321,2019-06-05T17:49:54Z,"When sleeping women awaken, mountains move! Dr. Natalia Kanem @Atayeshe #WD2019 #genderequality",FALSE,FALSE,NA,WD2019
Doreen G. Kessy,1136329313362616321,2019-06-05T17:49:54Z,"When sleeping women awaken, mountains move! Dr. Natalia Kanem @Atayeshe #WD2019 #genderequality",FALSE,FALSE,NA,genderequality
Doreen G. Kessy,1115938332066889728,2019-04-10T11:23:26Z,.@DavidMalpassWBG congrats on becoming @WorldBank President! Global Citizens are calling on you to create a world where #SheIsEqual. Today @iambeckyg joined our call. Will you double the Bank's procurement with women-owned businesses globally?//t.co/VGPAiyOw9d,FALSE,FALSE,NA,SheIsEqual
Doreen G. Kessy,1070262081168007169,2018-12-05T10:22:19Z,"Fear is a coward's way of leadership!! Look around, you don't even have to look far, utawaona tu!",FALSE,FALSE,NA,NA
Doreen G. Kessy,1070256612626042882,2018-12-05T10:00:35Z,@DarShapers @UBONGOtz @tulanana @mkombozi Great job!!! So proud!!,FALSE,FALSE,1647446270,NA
Doreen G. Kessy,1065526900204945408,2018-11-22T08:46:24Z,"@nkatende @CRBarretto @KigoziMaggie @Rotary I'm curious to understand what principles you are referring to. Most principles in our society have been crafted by the patriarchy system to serve the patriarchy (only a few!). So no, it's about time we change the system or throw it away completely and start over!",FALSE,FALSE,485768924,NA
Doreen G. Kessy,1065414699892654080,2018-11-22T01:20:33Z,"@nkatende @CRBarretto @KigoziMaggie @Rotary Instead of creating something new and different, we should fix what's broken in the current system! One step at a time",FALSE,FALSE,402717522,NA
Doreen G. Kessy,1065251313645178880,2018-11-21T14:31:19Z,"@nkatende @CRBarretto @KigoziMaggie @Rotary Well, when the people who decide the criteria of a board member are essentially old men, you will always have board members who are old men! Everyone must be represented in the decision making table for there to be diversity!",FALSE,FALSE,402717522,NA
Doreen G. Kessy,1028649392482537472,2018-08-12T14:28:21Z,Happy Int. Youth Day! Thank you WEF for recognizing our efforts at @ubongotz to transform learning for millions of kids in Africa.//t.co/4aif1CgGkX,TRUE,FALSE,NA,NA
Doreen G. Kessy,966190605004140544,2018-02-21T05:59:25Z,@Shamiso_K @eagamor @wef @GlobalShapers @theNEXUSsummit @itp85 @urithimedia @GlobalShapersAC @witsbschool @abdullahialim @Shamiso_K @eagamor love that we get to have family everywhere we go!! #shaperlove,FALSE,FALSE,2872119003,shaperlove
Doreen G. Kessy,958259433120960517,2018-01-30T08:43:47Z,Congratulations @FarajaNyalandu!! for your remarkable work in education!//t.co/9Y0LgsP11Z,TRUE,FALSE,NA,NA
Doreen G. Kessy,957734366469337088,2018-01-28T21:57:21Z,"""Trade is the way to stop wars""#JackMa",FALSE,FALSE,NA,JackMa
Doreen G. Kessy,957614405323317248,2018-01-28T14:00:40Z,"@EleanorH2O @Shamiso_K @GlobalShapers Thank you, it was wonderful meeting you too! Wishing you all the best in colorado!",FALSE,FALSE,2551016323,NA
Doreen G. Kessy,957611168486625280,2018-01-28T13:47:48Z,@GSRomeHub I'm in your city for a few days. It would be great to meet you'all!,FALSE,FALSE,833489594,NA
Doreen G. Kessy,957270536404520960,2018-01-27T15:14:15Z,"@DrNgadaya @CarolNdosi Yes, I learned so much, will soon share lessons learned and hopefully, it will inspire us all to create a shared future for our generation, and generations to come! @DarShapers #wef18 #davos50",FALSE,FALSE,NA,wef18
Doreen G. Kessy,957270536404520960,2018-01-27T15:14:15Z,"@DrNgadaya @CarolNdosi Yes, I learned so much, will soon share lessons learned and hopefully, it will inspire us all to create a shared future for our generation, and generations to come! @DarShapers #wef18 #davos50",FALSE,FALSE,NA,davos50
Doreen G. Kessy,957187177930092545,2018-01-27T09:43:01Z,"Yep, don't let them tell you otherwise! Our voice counts @DarShapers @GlobalShapers #WEF18//t.co/4AChgsMzsM",TRUE,FALSE,NA,WEF18
Doreen G. Kessy,957186324179582976,2018-01-27T09:39:38Z,"@Shamiso_K Thanks love!! It was great meeting you too, I have gained a sister!",FALSE,FALSE,2872119003,NA
Doreen G. Kessy,957156834447626241,2018-01-27T07:42:27Z,"@edgar_kvg @DarShapers Thanks! We the youth must create our own solutions, let's work together to increase intra-africa trade! It will benefit all of us.@OpenAfricaGS #openafrica @GlobalShapers #WEF18",FALSE,FALSE,2169809868,openafrica
