name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Eric Schmidt,1179126749847642114,2019-10-01T20:11:38Z,"Stephen is a superstar, well worth reading.//t.co/Vzp095aS0i",TRUE,FALSE,NA,NA
Eric Schmidt,1174560718265434112,2019-09-19T05:47:52Z,"Over the past two decades, China has increased its R&D spending tenfoldwhile U.S. spending has remained flat. The U.S. needs to restore federal funding for R&D, or risk falling behind, warns a CFR Task Force. #KeepingOurEdge//t.co/9qTane0cI7//t.co/qBKP5ZcVJ3",FALSE,TRUE,NA,NA
Eric Schmidt,1174560635004342272,2019-09-19T05:47:32Z,"Chinese companies could soon dominate emerging technologies, such as AI and 5G. A new Task Force outlines what the U.S. needs to do to stay the world leader in innovation://t.co/1dbq8td7Ep #KeepingOurEdge//t.co/ajwS9gRV1O",FALSE,TRUE,NA,NA
Eric Schmidt,1174560615597314049,2019-09-19T05:47:27Z,"By decreasing federal funding in R&D, is the United States missing out on its next moonshot? #KeepingOurEdge //t.co/ef4d6ZboRp//t.co/Y6tyWv9kiF",FALSE,TRUE,NA,KeepingOurEdge
Eric Schmidt,1174560383652323335,2019-09-19T05:46:32Z,"The U.S. needs a new national strategy to avoid losing its edge to China in technology and innovation, warns a new CFR independent Task Force. #KeepingOurEdge//t.co/EOAz1vMSod",FALSE,TRUE,NA,NA
Eric Schmidt,1169772828847214592,2019-09-06T00:42:30Z,New report from the #MIT Work of the Future Task Force looks at how we might shape emerging technologies and policies toward a shared prosperity. #workofthefuture//t.co/Oz59dMTWDX//t.co/ZXKkjRapOW,FALSE,TRUE,NA,MIT
Eric Schmidt,1169668949564243968,2019-09-05T17:49:43Z,Watch about Bitcoin//t.co/CJ2hT6Jlq6,FALSE,FALSE,NA,NA
Eric Schmidt,1155464845321523202,2019-07-28T13:07:41Z,Follow the list of the world's great new Moonshots//t.co/8qYbAdrNcQ //t.co/FbljsX9kFe,FALSE,FALSE,NA,NA
Eric Schmidt,1154891988971458560,2019-07-26T23:11:21Z,Amazing sets of data .. so you can be an informed critic //t.co/GLOc7aDQJp,FALSE,FALSE,NA,NA
Eric Schmidt,1153323825666433024,2019-07-22T15:20:02Z,//t.co/WjCfusgJsv Please help !!!,FALSE,FALSE,NA,NA
Eric Schmidt,1153323322152816640,2019-07-22T15:18:02Z,Time for an Apollo like program for Climate Change: well said//t.co/3gfCbSDLpk,FALSE,FALSE,NA,NA
Eric Schmidt,1149840585139744768,2019-07-13T00:38:53Z,"AI has broad and deep implications across both society and industry. This @TheAtlantic article by @ericschmidt, Henry Kissinger, and Dan Huttenlocher is a must read to frame its impact and prime the pump for future discussion. //t.co/Fmk5xTrNXh",FALSE,TRUE,NA,NA
Eric Schmidt,1149840276288000000,2019-07-13T00:37:39Z,"Kissinger, Huttenlocher and (me) on the future of society and AI - the great Metamorphosis //t.co/i14AI33Nd2",FALSE,FALSE,NA,NA
Eric Schmidt,1146057804316213248,2019-07-02T14:07:27Z,Really enjoyed talking with Mark Crowley about Trillion Dollar Coach and Bill Campbell on his podcast. //t.co/EQU945GgKy #trilliondollarcoach,FALSE,TRUE,NA,NA
Eric Schmidt,1144426966751371264,2019-06-28T02:07:05Z,Excited to celebrate the 5 winning teams and support networks like the Alliance that aim to advance shared prosperity and strengthen communities across America. @SchmidtFutures//t.co/1ftlEhOx7T,TRUE,FALSE,NA,NA
Eric Schmidt,1143904558663389184,2019-06-26T15:31:14Z,"Extraordinary piece from my friend Arthur Brooks on aging, happiness and what you should be doing over your lifetime//t.co/UQKyVEESIA",FALSE,FALSE,NA,NA
Eric Schmidt,1138819543877476352,2019-06-12T14:45:12Z,As usual Mary Meeker's report on Internet Trends 2019 is FULL of amazing data and examples//t.co/Xj1yUkFzYb,FALSE,FALSE,NA,NA
Eric Schmidt,1136683030377107456,2019-06-06T17:15:27Z,"I'm excited to see that Trillion Dollar Coach is on the NYT bestseller list again, keeping excellent company between Abby Wambach's and Ray Dalio's books! #trilliondollarcoach//t.co/MLHrc3sZW8",FALSE,FALSE,NA,trilliondollarcoach
Eric Schmidt,1134391238478745600,2019-05-31T09:28:41Z,Massive evidence we are harming nature and biology with climate change; what more evidence do we need ? //t.co/8kvtxwMw44,FALSE,FALSE,NA,NA
Eric Schmidt,1133775490483933184,2019-05-29T16:41:56Z,I'm so grateful to @Princeton and Wendy and I are happy to support advancing computer science at #PrincetonU with this project. Together we go farther. //t.co/L0mlMczq4G,FALSE,FALSE,NA,PrincetonU
Eric Schmidt,1133473350473388033,2019-05-28T20:41:20Z,Incredible Ocean Research and Results//t.co/xOLPLYTqli,FALSE,FALSE,NA,NA
Eric Schmidt,1131940240912859136,2019-05-24T15:09:18Z,It's a honor to be included on Barry Ritholtz' list of 10 books for the beach or poolside this summer. These are all books I want to read! #trilliondollarcoach //t.co/H8cY5ePdH9,FALSE,TRUE,NA,NA
Eric Schmidt,1131252717114888192,2019-05-22T17:37:20Z,"@ericschmidt talks about why all top-performing executives in Silicon Valley have elite-level coaches, and why you should consider one as well. Full video//t.co/lc9tulq0F6 Episode 201 on #thejordanharbingershow #trilliondollarcoach//t.co/1UZb1D66jk",FALSE,TRUE,NA,NA
Eric Schmidt,1130960119540228096,2019-05-21T22:14:39Z,//t.co/1uSh5fYitp Please use this new program from Google to secure your Google account / Gmail account.. it works and works well ! Even better than two-factor which you should already be using !,FALSE,FALSE,NA,NA
Eric Schmidt,1130924618301132800,2019-05-21T19:53:35Z,"Thank you Jordan Harbinger for engaging me in such an interesting and wide-ranging conversation. From North Korea to AI to the benefits of coaching, we covered a lot! Very enjoyable. #trilliondollarcoach //t.co/GsOx8rNmjq",FALSE,FALSE,NA,trilliondollarcoach
Eric Schmidt,1130924345922953216,2019-05-21T19:52:30Z,//t.co/3MzOa02jh0,FALSE,FALSE,NA,NA
