name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Dirk Hoke,1179854514263863301,2019-10-03T20:23:31Z,150 young people participated in the #AirbusFoundationLittleEngineer workshop organized by @Airbus apprentices in Munich during the #TalentHeroFestival last week! #YouthDevelopment #STEM//t.co/HXoMJUrCO0,FALSE,TRUE,NA,AirbusFoundationLittleEngineer
Dirk Hoke,1179854455946252288,2019-10-03T20:23:17Z,Rewarding experience for our 10 @Airbus employees currently running workshops in rural schools in Kenya with @TravelTelescope. The lucky 10 are the winners of the major internal fundraising campaign led by the @AirbusFdn this year.//t.co/rmIypWUtgF,FALSE,TRUE,NA,NA
Dirk Hoke,1179854404381483008,2019-10-03T20:23:05Z,LONDON | Today we were at @womenindefence conference. We are thrilled that two of our employees have been #shortlisted for awards. Katherine Bennett CBE for 'Promotion of Gender Balance' and John Chinner for 'STEM in Defence' #WiDAwards2019 #genderequality @AirbusDefence//t.co/p9DX1IVqNy,FALSE,TRUE,NA,shortlisted
Dirk Hoke,1179854340732985344,2019-10-03T20:22:50Z,"On November 22nd it will be the 50th anniversaryof the launch of the first Skynet satellite, Skynet 1A. Follow #Skynet50 over the coming weeks as we commemorate 50 years of military satellite communication (#MilSatCom) innovation! Check it out://t.co/b1MJAnUbnz//t.co/ZYUzSbvkk1",FALSE,TRUE,NA,NA
Dirk Hoke,1179854296470478848,2019-10-03T20:22:39Z,#beforeandafter World's largest airport in Beijing #daxing seen from space 5 years 47 square kilometers Full size //t.co/ymAZGCFdVP #daxing #daxingairport #China #Beijing #EarthFromSpace//t.co/ZEXPH6tneA,FALSE,TRUE,NA,beforeandafter
Dirk Hoke,1179854296470478848,2019-10-03T20:22:39Z,#beforeandafter World's largest airport in Beijing #daxing seen from space 5 years 47 square kilometers Full size //t.co/ymAZGCFdVP #daxing #daxingairport #China #Beijing #EarthFromSpace//t.co/ZEXPH6tneA,FALSE,TRUE,NA,daxing
Dirk Hoke,1176990951996362752,2019-09-25T22:44:45Z,Gern blicken wir zurck auf die letzten #50JahreAirbus und unsere Airbus Berlin Reception 2019 #AirbusBerlin #Airbus50 #Airbus #RWYONE//t.co/VGQ57FYqt2,FALSE,TRUE,NA,50JahreAirbus
Dirk Hoke,1176990951996362752,2019-09-25T22:44:45Z,Gern blicken wir zurck auf die letzten #50JahreAirbus und unsere Airbus Berlin Reception 2019 #AirbusBerlin #Airbus50 #Airbus #RWYONE//t.co/VGQ57FYqt2,FALSE,TRUE,NA,AirbusBerlin
Dirk Hoke,1176990899324276736,2019-09-25T22:44:32Z,"Episode 4 of the #WeMakeitFly @Airbus podcast is out. We spoke with a legend in the world of flight testing - Fernando Alonso. He recently retired from Airbus but he leaves a tremendous legacy!@jeff_burridge Testing, testing, 1, 2, 3//t.co/17ulW0L2Bs via @choosePippa//t.co/1vMZCS7Umk",FALSE,TRUE,NA,WeMakeitFly
Dirk Hoke,1176990605756571649,2019-09-25T22:43:22Z,"Es sind viele Elemente, die #Airbus zu dem erfolgreichen, europischen Konzern machen, der er ist. Unser besonderer Dank auf der Airbus Berlin Reception 2019 galt daher unseren Stakeholdern und Mitarbeitern. #Airbus50 #AirbusBerlin #RWYONE//t.co/HtPrSUPMrc",FALSE,TRUE,NA,Airbus
