name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Hugh Johnston,1113851937844342786,2019-04-04T17:12:51Z,CitiField Opening Day 2019 #LGM//t.co/9s4zRo3Jar,FALSE,FALSE,NA,LGM
Hugh Johnston,1080234650155606016,2019-01-01T22:49:45Z,"@McClain_on_NFL Thank you for your bravery and courage shown in the Nakatomi building, so many Christmases ago......",FALSE,TRUE,NA,NA
Hugh Johnston,1054898896709869568,2018-10-24T00:54:30Z,"All these years later, I still don't know how this happened. Great hands by my old friend @JumboElliott76.//t.co/w6jBwCC3GL",FALSE,TRUE,NA,NA
Hugh Johnston,1041073448204881921,2018-09-15T21:17:06Z,OUR HOUSE! #LETSGOORANGE//t.co/TbrocbQ7sU,TRUE,FALSE,NA,LETSGOORANGE
Hugh Johnston,1021792936051335168,2018-07-24T16:23:14Z,"From legendary sports teams like the @nyknicks & @NYRangers to events at @RadioCity & @BeaconTheatre, we're thrilled to be the exclusive non-alcoholic beverage & salty snack partner of the MSG company! (@TheGarden). Find the details here://t.co/mfNC6BaNhS//t.co/voNVrTcWUz",FALSE,TRUE,NA,NA
Hugh Johnston,989558515260903426,2018-04-26T17:35:09Z,"$PEP new product launches include: #Drinkfinity, #Kurkure, @Tropicana, @NakedJuice, @SunChips, @bublywater, #Mafer. #PEPearnings//t.co/hNpv7T5DMM",FALSE,TRUE,NA,Drinkfinity
Hugh Johnston,989558515260903426,2018-04-26T17:35:09Z,"$PEP new product launches include: #Drinkfinity, #Kurkure, @Tropicana, @NakedJuice, @SunChips, @bublywater, #Mafer. #PEPearnings//t.co/hNpv7T5DMM",FALSE,TRUE,NA,Kurkure
Hugh Johnston,989558515260903426,2018-04-26T17:35:09Z,"$PEP new product launches include: #Drinkfinity, #Kurkure, @Tropicana, @NakedJuice, @SunChips, @bublywater, #Mafer. #PEPearnings//t.co/hNpv7T5DMM",FALSE,TRUE,NA,Mafer
Hugh Johnston,989558432285052929,2018-04-26T17:34:50Z,Get a breakdown of Q1 18 #PEPearnings here: $PEP//t.co/KXilQBFr32//t.co/JDTZo10y6n,FALSE,TRUE,NA,PEPearnings
Hugh Johnston,979407422761635840,2018-03-29T17:18:20Z,#LGM//t.co/alEUlTkygZ,FALSE,FALSE,NA,LGM
Hugh Johnston,954483216202813440,2018-01-19T22:38:26Z,"Join @hughjohnston, CFO @PepsiCo and @MikiTsusaka, CMO @BCG as they discuss how to build agile alliances in a turbulent world. #EconBusinessCase 23 Jan, Davos. Check back for LIVE coverage//t.co/62oBoIZI97 #WEF18//t.co/4fReNppRwM",FALSE,TRUE,NA,NA
Hugh Johnston,939264984730800134,2017-12-08T22:46:37Z,We are thrilled to welcome @PepsiCo to our @Nasdaq family of the world's most innovative companies. Congratulations to @IndraNooyi and everyone at PepsiCo. We look forward to a refreshing new year with you! $PEP #RewriteTomorrow //t.co/ryV2rc8ZtU,FALSE,TRUE,NA,NA
Hugh Johnston,939264706157711361,2017-12-08T22:45:31Z,Very happy to be joining Nasdaq!//t.co/m7CQP1xe0y,TRUE,FALSE,NA,NA
Hugh Johnston,926876260994834437,2017-11-04T18:18:15Z,Let's go Jets!//t.co/0JdwctlXfI,TRUE,FALSE,NA,NA
Hugh Johnston,923516874691932160,2017-10-26T11:49:15Z,Gets by Buckner...and the Mets win it!//t.co/pTCAzkesit,TRUE,FALSE,NA,NA
Hugh Johnston,919880394903900160,2017-10-16T10:59:11Z,A great example of PEP associates and they all do!//t.co/prAjVpfSKT,FALSE,TRUE,NA,NA
Hugh Johnston,915586533192814592,2017-10-04T14:36:54Z,$PEP CEO @IndraNooyi We continue to transform our portfolio to capitalize on evolving consumer trends. #PEPearnings,FALSE,TRUE,NA,PEPearnings
Hugh Johnston,915586500410183682,2017-10-04T14:36:47Z,"$PEP moderated full-year organic revenue growth outlook, while on track to exceed initial full-year EPS target//t.co/H2pGCyc64f//t.co/vdoblXtzCC",FALSE,TRUE,NA,NA
Hugh Johnston,915586466465624065,2017-10-04T14:36:39Z,Get a breakdown of Q3'17 #PEPearnings here: $PEP//t.co/H2pGCytGVN//t.co/DaMLv0mG1y,FALSE,TRUE,NA,PEPearnings
