name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Jacques Vandermeiren,1176375315989446656,2019-09-24T05:58:25Z,"@gewoonRuna @BertBrugghemans @PortofAntwerp Hi Rna, we aim to have the hydrogen tugboat operational in two years time. You can find the full story here://t.co/me28Q8ubB6",FALSE,FALSE,452169650,NA
Jacques Vandermeiren,1176315691634483200,2019-09-24T02:01:30Z,#UNGA Actions speak louder than words. CEO @jacquesvdmeiren of @PortofAntwerp explains at the #ClimateActionSummit: how the Port of Antwerp is taking on a leading role in decarbonizing shipping. how this contributes to the Road to Zero.//t.co/xdDrry7FBD,FALSE,TRUE,NA,UNGA
Jacques Vandermeiren,1176315691634483200,2019-09-24T02:01:30Z,#UNGA Actions speak louder than words. CEO @jacquesvdmeiren of @PortofAntwerp explains at the #ClimateActionSummit: how the Port of Antwerp is taking on a leading role in decarbonizing shipping. how this contributes to the Road to Zero.//t.co/xdDrry7FBD,FALSE,TRUE,NA,ClimateActionSummit
Jacques Vandermeiren,1176277681790443520,2019-09-23T23:30:28Z,"Port authorities cannot be passive landlords when it comes to #sustainability says @jacquesvdmeiren @PortofAntwerp, instead they should be community builders. To decarbonise, shipowners must be partners #climateoceans @UNClimateSummit @WPSP_IAPH//t.co/uRJVoAoGY4",FALSE,TRUE,NA,sustainability
Jacques Vandermeiren,1176209712406249473,2019-09-23T19:00:23Z,"At @Portofantwerp, our #transition projects aim to build a strong coalition of frontrunners speeding up development of new commodities like #hydrogen, #methanol, heat & #CO2. Our portfolio underpins a strategy based on climate #innovation and #mitigation. #ActNow #ClimateAction//t.co/rCHpsI8GqU",FALSE,FALSE,NA,transition
Jacques Vandermeiren,1176209712406249473,2019-09-23T19:00:23Z,"At @Portofantwerp, our #transition projects aim to build a strong coalition of frontrunners speeding up development of new commodities like #hydrogen, #methanol, heat & #CO2. Our portfolio underpins a strategy based on climate #innovation and #mitigation. #ActNow #ClimateAction//t.co/rCHpsI8GqU",FALSE,FALSE,NA,hydrogen
Jacques Vandermeiren,1176209712406249473,2019-09-23T19:00:23Z,"At @Portofantwerp, our #transition projects aim to build a strong coalition of frontrunners speeding up development of new commodities like #hydrogen, #methanol, heat & #CO2. Our portfolio underpins a strategy based on climate #innovation and #mitigation. #ActNow #ClimateAction//t.co/rCHpsI8GqU",FALSE,FALSE,NA,methanol
Jacques Vandermeiren,1176209712406249473,2019-09-23T19:00:23Z,"At @Portofantwerp, our #transition projects aim to build a strong coalition of frontrunners speeding up development of new commodities like #hydrogen, #methanol, heat & #CO2. Our portfolio underpins a strategy based on climate #innovation and #mitigation. #ActNow #ClimateAction//t.co/rCHpsI8GqU",FALSE,FALSE,NA,CO2
Jacques Vandermeiren,1176209712406249473,2019-09-23T19:00:23Z,"At @Portofantwerp, our #transition projects aim to build a strong coalition of frontrunners speeding up development of new commodities like #hydrogen, #methanol, heat & #CO2. Our portfolio underpins a strategy based on climate #innovation and #mitigation. #ActNow #ClimateAction//t.co/rCHpsI8GqU",FALSE,FALSE,NA,innovation
Jacques Vandermeiren,1176209712406249473,2019-09-23T19:00:23Z,"At @Portofantwerp, our #transition projects aim to build a strong coalition of frontrunners speeding up development of new commodities like #hydrogen, #methanol, heat & #CO2. Our portfolio underpins a strategy based on climate #innovation and #mitigation. #ActNow #ClimateAction//t.co/rCHpsI8GqU",FALSE,FALSE,NA,mitigation
