name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Jim Smith,1156847267053264896,2019-08-01T08:40:56Z,"THREAD: Today, $TRI reports its Q2 2019 Results Revenues: 9% to $1.4b Organic revenues: 4%, highest reported organic growth rate since 2 0 0 8 Recurring revenues (78% of total): 5% organically",FALSE,TRUE,NA,NA
Jim Smith,1129134331706904579,2019-05-16T21:19:37Z,"Today, we are excited to share key stats and updates on our core social impact initiatives, as we stay focused on the principles that are deeply embedded in Thomson Reuters' DNA. Read more in our 2018 social impact report://t.co/d9lP65Xjyd #workingatTR #SocialImpact//t.co/AqohHm2YEM",FALSE,TRUE,NA,NA
Jim Smith,1126072985192939520,2019-05-08T10:34:55Z,"THREAD: Today, $TRI reports its Q1 2019 Results Revenues: 8% to $1.5b Recurring revenues (about of total): 6% organically Operating profit: 2% to $274m",FALSE,TRUE,NA,NA
Jim Smith,1125600413628059648,2019-05-07T03:17:05Z,The moment when @Reuters reporters Wa Lone and Kyaw Soe Oo walked free outside Myanmar's Insein prison after receiving a presidential pardon. More here://t.co/0VMLYTaz9n//t.co/agPYwhIlCp,FALSE,TRUE,NA,NA
Jim Smith,1125599135480987648,2019-05-07T03:12:01Z,BREAKING: @Reuters reporters jailed in Myanmar freed from prison - witnesses//t.co/C6spG68Sio,FALSE,TRUE,NA,NA
Jim Smith,1124412896279171072,2019-05-03T20:38:19Z,"On Friday, May 3, @Reuters President @mfriedenberg and Reuters Editor-in-Chief @stephenjadler issued the following statement to mark #WorldPressFreedomDay #FreeWaLoneKyawSoeOo//t.co/4sg93jQdr5",FALSE,TRUE,NA,NA
Jim Smith,1121474891742633984,2019-04-25T18:03:44Z,Wa Lone and Kyaw Soe Oo have been jailed for 500 days. 500 long days too long. #FreeWaLoneKyawSoeOo//t.co/gpUzDiCD4X,FALSE,TRUE,NA,FreeWaLoneKyawSoeOo
Jim Smith,1120343842664919040,2019-04-22T15:09:21Z,"THREAD: Today, on #earthday, we're setting new carbon targets.",FALSE,TRUE,NA,earthday
Jim Smith,1117908813217193984,2019-04-15T21:53:25Z,"I am extremely proud of work our journalists do every day. I congratulate them all, but we won't be truly celebrating until Wa Lone and Kyaw Soe Oo are free.//t.co/Glfo8Uyecy",TRUE,FALSE,NA,NA
Jim Smith,1104089864667045888,2019-03-08T18:41:51Z,"Thomson Reuters proudly joins the global community in celebrating International Women's Day. And, there is plenty to celebrate as we reflect on the achievements and progress of our female colleagues and women around the world. #BalanceforBetter #IWD2019//t.co/OjoP1sSg0x",FALSE,TRUE,NA,NA
Jim Smith,1100359772103159810,2019-02-26T11:39:48Z,Thomson Reuters Reports Fourth-Quarter and Full-Year 2018 Results://t.co/DgsQk6d7V9,FALSE,TRUE,NA,NA
Jim Smith,1088802028816601088,2019-01-25T14:13:27Z,WATCH: Canada's finance minister @Bill_Morneau talks to @Reuters on Davos Today//t.co/FUqbTF18Wj,FALSE,TRUE,NA,NA
Jim Smith,1088107519690620929,2019-01-23T16:13:43Z,"Watch this year's inaugural Answers On interview series in #Davos, featuring @SAP's @AdaireFoxMartin and @BPeccarelli. @Axelthrelfall asked the guests about caution in business, #AI's future role in the workforce and what we can learn in the west from China. #wef19//t.co/rtnbsURjAl",FALSE,TRUE,NA,Davos
Jim Smith,1087690064891731968,2019-01-22T12:34:54Z,Almost ready for @stephenjadler-led #wef19 discussion on media freedom in crisis. Tune in live at 14:00 CET.//t.co/RFtPZLGL74//t.co/e4CPUHzAgy,FALSE,TRUE,NA,wef19
Jim Smith,1087411590536798213,2019-01-21T18:08:20Z,"Just arrived in Davos for #wef19 and looking forward to a week of new ideas and conversation, especially @stephenjadler's panel tomorrow on the critical issue of press freedom. #FreeWaLoneKyawSoeOo//t.co/F5BMqhDvt7",FALSE,FALSE,NA,wef19
Jim Smith,1087411590536798213,2019-01-21T18:08:20Z,"Just arrived in Davos for #wef19 and looking forward to a week of new ideas and conversation, especially @stephenjadler's panel tomorrow on the critical issue of press freedom. #FreeWaLoneKyawSoeOo//t.co/F5BMqhDvt7",FALSE,FALSE,NA,FreeWaLoneKyawSoeOo
Jim Smith,1086282892869808129,2019-01-18T15:23:18Z,"In my latest piece for the @wef with @LynnStAmour, we identify a wide range of digital issues and outline the digital future needed to create a more inclusive, trustworthy and sustainable society.//t.co/Guz8QpJ0eT #wef19 @thomsonreuters//t.co/BgVabGJZhI",FALSE,FALSE,NA,wef19
Jim Smith,1072973298236121090,2018-12-12T21:55:43Z,The @reuters London team gathered today to support our colleagues who have been in a #Myanmar prison for a year for doing their jobs #FreeWaLoneKyawSoeOo #journalismisnotacrime//t.co/duziuSu5b2,FALSE,TRUE,NA,Myanmar
Jim Smith,1072973259094790144,2018-12-12T21:55:34Z,Today marks one year since our Reuters colleagues Wa Lone & Kyaw Soe Oo were imprisoned in Myanmar for reporting the truth. @thomsonreuters Minneapolis-St. Paul colleagues gathered today to show support for these journalists. #FreeWaLoneKyawSoeOo @ReutersPR//t.co/jQfpMXcgXS,FALSE,TRUE,NA,NA
