name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
John Fallon,1180255214680625153,2019-10-04T22:55:45Z,When would you ever use calculus in real life? Turns out there are lots of ways and Aida can help show you how. Coming this fall.//t.co/btgyxJPleF,FALSE,TRUE,NA,NA
John Fallon,1177660320451616768,2019-09-27T19:04:34Z,Very well deserved @RampersaudCindy !//t.co/PrOdXaxCiA,TRUE,FALSE,NA,NA
John Fallon,1174232444586868744,2019-09-18T08:03:25Z,"Read about @Pearson's new partnership with Harrow School to launch a fully online sixth form, Harrow School Online, via @seanjcoughlan @BBCNews//t.co/5C5d3hndWd",FALSE,TRUE,NA,NA
John Fallon,1173934940024713216,2019-09-17T12:21:15Z,Today @Pearson releases the results of its first global learner survey. Read more below!//t.co/BwU5sJsenA,FALSE,TRUE,NA,NA
John Fallon,1171729434040315904,2019-09-11T10:17:21Z,Tremendous news for international students! This will allow them to enhance and embed what they have learned. Outcomes focused higher education in action.//t.co/Rv67or7Uw4,FALSE,TRUE,NA,NA
John Fallon,1169338811207356416,2019-09-04T19:57:52Z,Enjoyed my chat earlier today with students and staff at the very impressive Amity University @gnamity @pearson #alwayslearning//t.co/c29Cfv2Z4d,FALSE,FALSE,NA,alwayslearning
John Fallon,1168851264144150528,2019-09-03T11:40:32Z,"Learning comes in more than one pathway and in the UK, students taking technical qualifications are on the rise. As @Martha_Gill writes in @thetimes, ""The number taking BTecs at independent schools has doubled in the past four years.//t.co/FOzqxeVFnm",FALSE,TRUE,NA,NA
John Fallon,1167481955606245376,2019-08-30T16:59:23Z,We are the first education company to release audited reports on product efficacy. Here's what one professor learned about the impact of Revel in her classroom.//t.co/1tHSS7BSrm,FALSE,TRUE,NA,NA
John Fallon,1167180707170570240,2019-08-29T21:02:20Z,"Today we announced a pair of key appointments to accelerate our digital-first and platform strategy. Ishantha Lokug has been named SVP, Chief Product Officer and Satish Menon has been named SVP, Chief Technology Officer, Product Platforms.//t.co/MUkWmnMhVn",FALSE,TRUE,NA,NA
John Fallon,1164662666767601664,2019-08-22T22:16:32Z,Pearson CEO @johnfallon sees lifelong learning in everyone's future. Hear more in his conversation with @Recode's Kara Swisher.//t.co/dldNh8jx6A//t.co/2DveEGjx10,FALSE,TRUE,NA,NA
John Fallon,1164448028910149632,2019-08-22T08:03:39Z,"The future won't be human or machine, it will be human and machine. Soft skills, critical thinking and problem solving give people the advantage.//t.co/W2qpi6L2xv",FALSE,TRUE,NA,NA
John Fallon,1164248867577237504,2019-08-21T18:52:15Z,The smartest universities and colleges have started to appreciate that years of tech-driven disruption in workplaces and economies have made generations of career paths and education models increasingly outdated a trend they see intensifying.//t.co/ZBf9F8FTjT,FALSE,FALSE,NA,NA
John Fallon,1164147052495998977,2019-08-21T12:07:40Z,"Ahead of #GCSEresults day, remember all @Pearson_UK exam scrips are available for download by schools for free. Teachers can request downloadable scripts and how the mark scheme was applied through our free access to scripts services. Via @SchoolsWeek//t.co/b1OmbiVpGY",FALSE,TRUE,NA,GCSEresults
John Fallon,1163835752486227971,2019-08-20T15:30:41Z,"We partnered with @SavetheChildren to create Space Hero, a gaming math app for Syrian refugee children to continue to learn in the toughest conditions. #WorldHumanitarianDay//t.co/91n2xdDfai",FALSE,TRUE,NA,NA
John Fallon,1162253906816061445,2019-08-16T06:44:59Z,.@JohnFallon in conversation with Kara Swisher on @Recode about the future of learning//t.co/kIeUD6ilhp//t.co/bJLv3XjBF2,FALSE,TRUE,NA,NA
John Fallon,1161595306833846273,2019-08-14T11:07:57Z,"Enjoyed chatting with @CNBCJou - looking forward to @SquawkCNBC special series, starting Monday, on future of education & work #alwayslearning//t.co/ua0YriTglP",FALSE,FALSE,NA,alwayslearning
John Fallon,1161533431664300040,2019-08-14T07:02:05Z,Thanks @stephbreakfast for celebrating the brilliance and grit of @BTECStudents and all those learning by doing and applying their knowledge and skills to make things we value happen//t.co/GW7sOP4jkx,TRUE,FALSE,NA,NA
John Fallon,1161512718165262336,2019-08-14T05:39:46Z,Aida - the world's first AI-powered mobile calculus tutor - takes its name from AI and a tribute to mathematics and computing pioneer Ada Lovelace.//t.co/Bx0IhAFaXd,FALSE,TRUE,NA,NA
John Fallon,1160913358746509314,2019-08-12T13:58:08Z,"This International #YouthDay, over 25 million children in conflict zones are out of school. Together with @SavetheChildren, we're working to keep #EveryChildLearning.//t.co/HGMpKQ7O3N",FALSE,TRUE,NA,YouthDay
