name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Jean-Pierre Clamadieu,1176482032165277697,2019-09-24T13:02:29Z,"We are at a point where there is no choice to act, and to act fast. At @ENGIEgroup, we will walk the talk. #ClimateWeekNYC//t.co/EPCS7V13Mj",TRUE,FALSE,NA,ClimateWeekNYC
Jean-Pierre Clamadieu,1171691637392793600,2019-09-11T07:47:09Z,"Thank you very much to @BaderAlLamki, CEO of @Tabreed, for hosting my first site visit to the Tabreed premises in #AbuDhabi. A successful and valuable partnership between @Mubadala and @ENGIEgroup to develop sustainable customer solutions in the GCC countries.//t.co/Kao6Rr7XD4",FALSE,FALSE,NA,AbuDhabi
Jean-Pierre Clamadieu,1171684166158684160,2019-09-11T07:17:28Z,Congratulation to our colleagues managing the Umm Al Nar Power and Desalination plant in #AbuDhabi ! We celebrated today their 9 million man hours without Lost Time Accident. Our collective objective remains #NoLifeAtRisk at @ENGIEgroup.//t.co/82sqca38Dx,FALSE,FALSE,NA,AbuDhabi
Jean-Pierre Clamadieu,1171684166158684160,2019-09-11T07:17:28Z,Congratulation to our colleagues managing the Umm Al Nar Power and Desalination plant in #AbuDhabi ! We celebrated today their 9 million man hours without Lost Time Accident. Our collective objective remains #NoLifeAtRisk at @ENGIEgroup.//t.co/82sqca38Dx,FALSE,FALSE,NA,NoLifeAtRisk
Jean-Pierre Clamadieu,1171055902469906432,2019-09-09T13:40:58Z,"Two years ago, because #EnergyEfficiency is key in the #EnergyTransition, we decided to invest in Tabreed with Mubadala. Tabreed it's : Over 71 district cooling plants Delivering efficient and low carbon energy into district energy networks #WEC2019 #WEC24//t.co/SeWWoTUFVm",FALSE,FALSE,NA,EnergyEfficiency
Jean-Pierre Clamadieu,1171055902469906432,2019-09-09T13:40:58Z,"Two years ago, because #EnergyEfficiency is key in the #EnergyTransition, we decided to invest in Tabreed with Mubadala. Tabreed it's : Over 71 district cooling plants Delivering efficient and low carbon energy into district energy networks #WEC2019 #WEC24//t.co/SeWWoTUFVm",FALSE,FALSE,NA,EnergyTransition
Jean-Pierre Clamadieu,1171055902469906432,2019-09-09T13:40:58Z,"Two years ago, because #EnergyEfficiency is key in the #EnergyTransition, we decided to invest in Tabreed with Mubadala. Tabreed it's : Over 71 district cooling plants Delivering efficient and low carbon energy into district energy networks #WEC2019 #WEC24//t.co/SeWWoTUFVm",FALSE,FALSE,NA,WEC2019
Jean-Pierre Clamadieu,1171055902469906432,2019-09-09T13:40:58Z,"Two years ago, because #EnergyEfficiency is key in the #EnergyTransition, we decided to invest in Tabreed with Mubadala. Tabreed it's : Over 71 district cooling plants Delivering efficient and low carbon energy into district energy networks #WEC2019 #WEC24//t.co/SeWWoTUFVm",FALSE,FALSE,NA,WEC24
Jean-Pierre Clamadieu,1171039817456586752,2019-09-09T12:37:04Z,"This year, we witnessed a number of significant and concerning events for the #climate. We have also seen pressure mounting from citizens around the world. We need to move and we are urged to do it quickly #EnergyTransition #WEC2019 #WEC24 #Energy4Prosperity//t.co/z47ZTcuqwe",FALSE,FALSE,NA,climate
Jean-Pierre Clamadieu,1171039817456586752,2019-09-09T12:37:04Z,"This year, we witnessed a number of significant and concerning events for the #climate. We have also seen pressure mounting from citizens around the world. We need to move and we are urged to do it quickly #EnergyTransition #WEC2019 #WEC24 #Energy4Prosperity//t.co/z47ZTcuqwe",FALSE,FALSE,NA,EnergyTransition
