name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Jean-Pascal Tricoire,1180159666225106944,2019-10-04T16:36:05Z,"Our top supplier partners received awards for their year's achievements at our SE Global Supplier Day 2019, during which C-level dialogues were held around building #SustainableGrowth together. Read more://t.co/f02Azot2lc #SEGlobalSupplyChain #DigitalTransformation//t.co/jRI3JNoinZ",FALSE,TRUE,NA,NA
Jean-Pascal Tricoire,1179832567723429888,2019-10-03T18:56:19Z,That's a wrap! Thank you everyone for making this year's #InnovationSummit in Barcelona a success! We can't wait to bring it all to life again next year... #LifeIsOn//t.co/zV3I2PcQlj,FALSE,TRUE,NA,InnovationSummit
Jean-Pascal Tricoire,1179822130688659456,2019-10-03T18:14:50Z,"It was a pleasure welcoming over 100 of our suppliers from around the world to our #GlobalSupplierDay2019 yesterday, where we discussed our top priorities to ensure sustainable long-term growth. #LifeIsOn #InnovationSummit @SchneiderElec//t.co/XzC7WIEurC",FALSE,FALSE,NA,GlobalSupplierDay2019
Jean-Pascal Tricoire,1179822130688659456,2019-10-03T18:14:50Z,"It was a pleasure welcoming over 100 of our suppliers from around the world to our #GlobalSupplierDay2019 yesterday, where we discussed our top priorities to ensure sustainable long-term growth. #LifeIsOn #InnovationSummit @SchneiderElec//t.co/XzC7WIEurC",FALSE,FALSE,NA,LifeIsOn
Jean-Pascal Tricoire,1179822130688659456,2019-10-03T18:14:50Z,"It was a pleasure welcoming over 100 of our suppliers from around the world to our #GlobalSupplierDay2019 yesterday, where we discussed our top priorities to ensure sustainable long-term growth. #LifeIsOn #InnovationSummit @SchneiderElec//t.co/XzC7WIEurC",FALSE,FALSE,NA,InnovationSummit
Jean-Pascal Tricoire,1179777732441464833,2019-10-03T15:18:25Z,"When it comes to successful #DigitalTransformation, industry analyst @LNSResearch found that 72% of industrial companies are still in early defining or pilot stages. We believe you can break through and succeed! Barcelona #InnovationSummit @PHerweck//t.co/h8bHq1Vv5R//t.co/EPQEz9BGUC",FALSE,TRUE,NA,DigitalTransformation
Jean-Pascal Tricoire,1179777470351982594,2019-10-03T15:17:22Z,"Congratulations to Nimisha and Naveen from Rajasthan Technical University in India, our 2019 Go Green in the City competition winners! Together, they presented their #boldidea about eco-friendly batteries made up of Aloe Vera and herbal extracts.//t.co/OVoJLzYouk//t.co/YsRBXgJXEv",FALSE,FALSE,NA,boldidea
Jean-Pascal Tricoire,1179757939294425089,2019-10-03T13:59:46Z,Great discussions with @CNBCi yesterday on how digitization can enable SMEs to thrive - and not just survive. Watch the full panel from our @SchneiderElec #InnovationSummit in Barcelona://t.co/NP0gIE1Lme//t.co/Idu54vtbJd,FALSE,FALSE,NA,InnovationSummit
Jean-Pascal Tricoire,1179756915011805184,2019-10-03T13:55:42Z,So great to have @Microsoft's @JP_Courtois join us at Barcelona #InnovationSummit for a chat with @jptricoire on #DigitalTransformation and #CoInnovation. You can watch it on-demand now!//t.co/NDjSJd8hsg #LifeIsOn @msftmfg//t.co/IPbQtG7WbM,FALSE,TRUE,NA,InnovationSummit
Jean-Pascal Tricoire,1179730819293880326,2019-10-03T12:12:00Z,"It's not too late to watch @Lagarrigue_SE's panel on embracing #Innovation! Catch it on-demand now, then join our tweet chat about it at 5:30 p.m. CET using #SEInnovation!//t.co/0BkvEJziyx #InnovationSummit//t.co/28xmJX9ZJp",FALSE,TRUE,NA,Innovation
Jean-Pascal Tricoire,1179682505827454981,2019-10-03T09:00:01Z,"In 30 minutes, our Chief Innovation Officer @Lagarrigue_SE will join industry professionals to discuss how companies are scouting & nurturing internal and external ideas to create profitable future growth. Watch it live://t.co/t15hmhocHe #InnovationSummit",FALSE,FALSE,NA,InnovationSummit
Jean-Pascal Tricoire,1179576874462273536,2019-10-03T02:00:17Z,"I often say that, today, every company must be a technology company and the energy sector is a perfect example. Today at #InnovationSummit, @jptricoire and I discussed how technology is shaping the future of energy, #Sustainability, and more. #LifeIsOn",FALSE,TRUE,NA,NA
Jean-Pascal Tricoire,1179507696392982528,2019-10-02T21:25:23Z,"One day down, one more to go! Get a glimpse of day 1 at #InnovationSummit Barcelona, and then go watch the full-length versions of our keynotes, strategy talks and more via our digital event://t.co/rjkLwfNZob #LifeIsOn #IoT//t.co/91HfYh3yqH",FALSE,TRUE,NA,InnovationSummit
Jean-Pascal Tricoire,1179483447980634112,2019-10-02T19:49:02Z,"What an exciting first day at our #InnovationSummit in Barcelona where we welcomed over 3,500 customers and partners from over 80 countries to exchange ideas about the future of energy and automation. Looking forward to more great discussions tomorrow.//t.co/Ebr0HWjpX2//t.co/f91AQ3guSk",FALSE,FALSE,NA,InnovationSummit
Jean-Pascal Tricoire,1179407358751055874,2019-10-02T14:46:41Z,"It's great to be at our #InnovationSummit with customers, partners & suppliers who are at the forefront of the #digital revolution. Watch my keynote presentation to hear how co-innovation & collaboration are empowering us to embrace #DigitalTransformation.//t.co/JO1SlGAylX//t.co/KFhs6xB5Ee",FALSE,FALSE,NA,InnovationSummit
