name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
John Tuttle,1179197981037342721,2019-10-02T00:54:41Z,There are many benefits to a direct listing. @jrtuttle discusses them here. //t.co/bXuQEjkS6c,FALSE,TRUE,NA,NA
John Tuttle,1175950290207629313,2019-09-23T01:49:31Z,"We're live! The first Bakkt Bitcoin Futures trade was executed at 8:02pm ET at a price of $10,115",FALSE,TRUE,NA,NA
John Tuttle,1174975964314357760,2019-09-20T09:17:54Z,Big day for @pingidentity at the @NYSE! #pingidentity #ipo//t.co/CfxZwTV0YX,FALSE,TRUE,NA,pingidentity
John Tuttle,1174975964314357760,2019-09-20T09:17:54Z,Big day for @pingidentity at the @NYSE! #pingidentity #ipo//t.co/CfxZwTV0YX,FALSE,TRUE,NA,ipo
John Tuttle,1174662674212446209,2019-09-19T12:33:00Z,Today marks an important milestone for Alibaba the fifth anniversary of Alibaba Group's IPO on the @NYSE still the largest in history at $25 billion. Here's a look back at that special time://t.co/4V6OdiM2qI//t.co/q7MhuhspCc,FALSE,TRUE,NA,NA
John Tuttle,1172966276463058944,2019-09-14T20:12:07Z,@BellaTweetz @Cloudflare Congrats. Proud to be your partner on the next leg of the journey.,FALSE,FALSE,92068865,NA
John Tuttle,1172865346837078017,2019-09-14T13:31:04Z,@stacey_cunning @zatlyn @eastdakota @Cloudflare @NYSE,FALSE,FALSE,1063224019,NA
John Tuttle,1164575178388594698,2019-08-22T16:28:53Z,Thank you to all the @NYSE members whose efforts helped us complete the migration of NYSE-listed securities to Pillar on schedule and smoothly.//t.co/AcMaM3Y2gx,FALSE,TRUE,NA,NA
John Tuttle,1161798405640863745,2019-08-15T00:34:59Z,"During the migration of all @NYSE listed stocks to our new Pillar technology, the screens on the Floor highlight those stocks trading on the new system. Over 500MM Tape A shares executed on Pillar today.//t.co/STUYrkw961",FALSE,TRUE,NA,NA
John Tuttle,1158842475806699526,2019-08-06T20:49:11Z,"@NYSE One Tuttle on the Opening Bell, another Tuttle (no relation) on the Closing Bell... bout time",FALSE,FALSE,21323268,NA
John Tuttle,1155471224853716992,2019-07-28T13:33:02Z,"@ThomasFarley Eh, don't let a minor detail like that get in the way... intimidating presence at the plate. I'd put Tettleton on my list too simply for his odd stance.",FALSE,FALSE,913871284194435073,NA
John Tuttle,1155461786298195969,2019-07-28T12:55:31Z,@ThomasFarley Rob Deer,FALSE,FALSE,913871284194435073,NA
John Tuttle,1153781064826933249,2019-07-23T21:36:56Z,The Direct Floor Listing is changing the way companies are going public I dive into the details on the latest @ICEHousePodcast episode //t.co/pq7JbaeVX0,FALSE,FALSE,NA,NA
John Tuttle,1153330589002543104,2019-07-22T15:46:54Z,Our Vice Chairman @jrtuttle explains the novel way @SlackHQ and @Spotify accessed the public markets: A Direct Floor Listing #InsideTheICEHouse,FALSE,TRUE,NA,NA
John Tuttle,1152729510279884800,2019-07-20T23:58:26Z,"In 2016 Buzz Aldrin came to the floor of the @nyse. During his visit he complimented my co-worker's tie. So Jorge took it off and gave it to Buzz. Now at almost every big occasion, Buzz wears this patriotic tie. #Apollo50th//t.co/6nzwWFhwRW",FALSE,TRUE,NA,NA
