name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
John Seifert,1172014228821069825,2019-09-12T05:09:01Z,A day never to forget ... and bonds with heroes and friends that will last forever. //t.co/5WwfQZfJ1L,TRUE,FALSE,NA,NA
John Seifert,1172009732044775424,2019-09-12T04:51:09Z,Awesome partnership of thought leadership for our industry //t.co/jQ5QdAAYhf,TRUE,FALSE,NA,NA
John Seifert,1172009203235311616,2019-09-12T04:49:03Z,@PGATOUR @McIlroyRory @jacknicklaus Nothing more inspiring than the mutual admiration of two elite athletes of different generations. #bearsclubmoment to treasure,FALSE,FALSE,14063426,bearsclubmoment
John Seifert,1170001202458873862,2019-09-06T15:49:58Z,Retweet if you ever hit this sweet bastard back in the day...//t.co/hjENHykPW9,FALSE,TRUE,NA,NA
John Seifert,1167602972282556416,2019-08-31T01:00:16Z,//t.co/0babdpmSYs,TRUE,FALSE,NA,NA
John Seifert,1167602892515237889,2019-08-31T00:59:57Z,Timeless beauty is real beauty. Dove is real. Thanks to Unilever for their belief.//t.co/jxQHVJJu3S,TRUE,FALSE,NA,NA
John Seifert,1167602320672247809,2019-08-31T00:57:40Z,The best leaders make brands matter ... congratulations Alistair! So proud.//t.co/fLnaTn55Ye,TRUE,FALSE,NA,NA
John Seifert,1166323099652038656,2019-08-27T12:14:30Z,Awesome.//t.co/vdcIMFraYV,TRUE,FALSE,NA,NA
John Seifert,1165780816061972480,2019-08-26T00:19:40Z,Congrats to @McIlroyRory on winning your 2nd @FedEx Cup. Only 2nd player to do that. Other guy is somebody named Eldrick. You played beautifully all week! Awesome job buddy.,FALSE,TRUE,NA,NA
John Seifert,1165775506962337792,2019-08-25T23:58:34Z,Think cool thoughts in this heat with the crisp and refreshing taste of our 100% natural spring water. Poland Spring. From the heart of Maine.,FALSE,TRUE,NA,NA
John Seifert,1165773924594044928,2019-08-25T23:52:17Z,Whose swing do you prefer? Like for Brooks. Retweet for Rory. //t.co/1wx3gb4iXo,FALSE,TRUE,NA,NA
John Seifert,1165389365738135553,2019-08-24T22:24:11Z,Awesome team of professionals from across the Ogilvy worldwide network. So proud //t.co/dysXhjIN2m,TRUE,FALSE,NA,NA
John Seifert,1163905568714764291,2019-08-20T20:08:06Z,#teamwork wins. Our next chapter with Mondelez looks incredibly sweet.//t.co/OCaUi9vIbo,TRUE,FALSE,NA,teamwork
John Seifert,1162527373876781056,2019-08-17T00:51:39Z,Amazing. A model for Ogilvy Worldwide. //t.co/3RQphjXHas,TRUE,FALSE,NA,NA
John Seifert,1161044445707558912,2019-08-12T22:39:01Z,Hear hear ... //t.co/zFfPPOtIAR,TRUE,FALSE,NA,NA
