name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Jeff Tarr,1181254520392699905,2019-10-07T17:06:38Z,Insurance companies need tech partners to thrive according to @McKinsey. This is why @SoleraInc we're investing in #AI computer vision and other technologies to reimagine the claims process. //t.co/deBVcleabW,FALSE,FALSE,NA,AI
Jeff Tarr,1179551758051209217,2019-10-03T00:20:28Z,Looking forward to reading Our Better Angels by my good friend @JReckford ceo of @Habitat_org - a great leader doing great things.//t.co/gR067WrYBK,TRUE,FALSE,NA,NA
Jeff Tarr,1179550793873022976,2019-10-03T00:16:38Z,Solera Audatex UK launches Image Capture' putting the power of vehicle damage capture into the Vehicle Owner's hands. Learn more at//t.co/tLmGGe4EGa.,FALSE,TRUE,NA,NA
Jeff Tarr,1178141851171377152,2019-09-29T02:58:00Z,Very proud of our team @SoleraInc @cap_hpi//t.co/imi6tU9cuV,TRUE,FALSE,NA,NA
Jeff Tarr,1173957683902386176,2019-09-17T13:51:37Z,The auto industry lost an important voice today. The day I first arrived @SoleraInc Engines of Change was among a small collection of books in my new office. It is one of the few that I kept. //t.co/bCjsqxfu8Z via @WSJ,FALSE,FALSE,NA,NA
Jeff Tarr,1164896119954006016,2019-08-23T13:44:12Z,Congratulations to Georgie Ford and George Pangborn from Solera @AudatexUK for being recognized in @bodyshopmag's 30 Under 30: Rising Stars.//t.co/larReiTT7N,FALSE,FALSE,NA,NA
Jeff Tarr,1163537341123825664,2019-08-19T19:44:54Z,"Enjoyed spending time last week in Toronto and Minneapolis meeting with customers and team members. Thank you everyone who joined our conversation on strategy, purpose and values and unlocking the potential of One Solera.//t.co/N90Ars0GqN",FALSE,FALSE,NA,NA
Jeff Tarr,1163493478866796545,2019-08-19T16:50:36Z,As we @SoleraInc evolve our purpose and values we express appreciation to @RFS_Vista for signing the new @BizRoundtable Statement on the Purpose of a Corporation.//t.co/iGzbYHbqNt,TRUE,FALSE,NA,NA
Jeff Tarr,1161990407099756545,2019-08-15T13:17:56Z,The point of leadership is not to accumulate followers. It's to make a group more than the sum of its parts. Selfish leaders divide people for personal gain. Servant leaders unite people for collective purpose. #ThursdayThoughts,FALSE,TRUE,NA,NA
Jeff Tarr,1158384807275040774,2019-08-05T14:30:34Z,"Thanks @tomnod volunteers. In 2014, 10 million joined DigitalGlobe now @Maxar to search for MH370. Many returned to respond to numerous crises. You saved lives and helped build #AI algorithms that will continue to make the world a better place.//t.co/qpDaUtLBu7",FALSE,FALSE,NA,AI
