name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Kai-Fu Lee,1178950205653127168,2019-10-01T08:30:07Z,What the US could learn from China on #digitalhealth and #AI in #healthcare //t.co/ehbR6vPfal by @luluyilun and Lyu Dong @BW @business @PingAnTech @pingan_group and a recent @NatureBiotech commentary w/ @kaifulee //t.co/9Blirpm0vh//t.co/uNxmm0Ah3N,FALSE,TRUE,NA,digitalhealth
Kai-Fu Lee,1178950205653127168,2019-10-01T08:30:07Z,What the US could learn from China on #digitalhealth and #AI in #healthcare //t.co/ehbR6vPfal by @luluyilun and Lyu Dong @BW @business @PingAnTech @pingan_group and a recent @NatureBiotech commentary w/ @kaifulee //t.co/9Blirpm0vh//t.co/uNxmm0Ah3N,FALSE,TRUE,NA,AI
Kai-Fu Lee,1178950205653127168,2019-10-01T08:30:07Z,What the US could learn from China on #digitalhealth and #AI in #healthcare //t.co/ehbR6vPfal by @luluyilun and Lyu Dong @BW @business @PingAnTech @pingan_group and a recent @NatureBiotech commentary w/ @kaifulee //t.co/9Blirpm0vh//t.co/uNxmm0Ah3N,FALSE,TRUE,NA,healthcare
Kai-Fu Lee,1177718703787532289,2019-09-27T22:56:34Z,Retraining key to future career life as technologies advance: mentors - Xinhua |///english/2019-09/27/c_138427564.htm#0-twi-1-55384-7250227817ecdff034dc9540e6c76667,FALSE,FALSE,NA,NA
Kai-Fu Lee,1177687833223602178,2019-09-27T20:53:54Z,Summary of where I think Al will create the most value in the near term.//t.co/5ZbvMpxVK0,TRUE,FALSE,NA,NA
Kai-Fu Lee,1176699420659916809,2019-09-25T03:26:18Z,"Fully agree, @EricTopol. AI drug discovery in 46 days! Very encouraging to see the AI empowered breakthrough by our newly added medical investment portfolio @InSilicoMeds//t.co/zKuBA5XD0m",TRUE,FALSE,NA,NA
Kai-Fu Lee,1175492678320054272,2019-09-21T19:31:08Z,Thank you for sharing. That's beautiful to hear.//t.co/TAfh5s7IiT,FALSE,TRUE,NA,NA
Kai-Fu Lee,1175473915986100231,2019-09-21T18:16:35Z,@AllenXiang His policy is not blind UBI. It is better.,FALSE,FALSE,2498919949,NA
Kai-Fu Lee,1175437984348418048,2019-09-21T15:53:48Z,"I believe relief for th have-nots in the era of automation is needed, but I do not support blind UBI. Read this article that I wrote two years ago to see why://t.co/2qlVBIYsml",TRUE,FALSE,NA,NA
Kai-Fu Lee,1175105251055165442,2019-09-20T17:51:38Z,Check out Kai-Fu Lee's Wall of Fame for hi-tech startups. Full of unicorns founded by CEOs in their 20s This is the innovative and visionary China that most Americans don't/won't see. #VC #technology #MAGA #Sinovation #AI #tradewar #US #Trump //t.co/TNWJZolMif,FALSE,TRUE,NA,NA
