name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Kate Hampton,1181552740931178496,2019-10-08T12:51:40Z,"Opinion: If Greta Thunberg wins the Nobel Peace Prize on Friday, it will reflect what a desperate moment this is, when children take to the streets and grandparents are barricading the bridges.//t.co/DYNeMq5x8v",FALSE,TRUE,NA,NA
Kate Hampton,1181552467328282630,2019-10-08T12:50:35Z,Lima looks to water shortages as 30% of Peru's glaciers disappear in 20 years//t.co/a7ts6p9UHd @YaleE360//t.co/5K8ITROVgb,FALSE,TRUE,NA,NA
Kate Hampton,1181552201942126593,2019-10-08T12:49:31Z,"NEW | The Extinction Rebellion October uprising a (slow) live blog (bookmark this!) By @KarlMathiesen, @ChloeFarand and @NatalieLSauer://t.co/tfEDJEi9sh #ExtinctionRebellion @ExtinctionR",FALSE,TRUE,NA,NA
Kate Hampton,1181551410082729985,2019-10-08T12:46:22Z,"After an April protest brought London to a standstill, a global rebellion launched on Monday and was met by a strong police response, with hundreds arrested://t.co/HWOK4mwxvL",FALSE,TRUE,NA,NA
Kate Hampton,1181551292239482880,2019-10-08T12:45:54Z,Daily Briefing | Climate protesters take to streets of cities worldwide//t.co/DMOGORrL9d Sign up to our email briefings://t.co/heSiaQwJkE//t.co/C0MPgKQbo0,FALSE,TRUE,NA,NA
Kate Hampton,1181551232625905665,2019-10-08T12:45:40Z,Poor metaphor use in this headline. No one is fighting a war against anyone. All political parties agree to stopping UK fossil fuel use - some faster than others. The way deliver a plan is to build even broader & deeper support across society & make sure losers are protected.//t.co/DS4Nt4Biwf,FALSE,TRUE,NA,NA
Kate Hampton,1181551156339904513,2019-10-08T12:45:22Z,Cats: to find a more invasive species you'd have to look in the mirror. Nice line from @NatGeo,FALSE,TRUE,NA,NA
Kate Hampton,1181551075654021120,2019-10-08T12:45:03Z,"Ministers watered down proposed language after opposition from ten member states, some of which are seeking financial support to cut emissions://t.co/fpS51SLbmV",FALSE,TRUE,NA,NA
Kate Hampton,1181550986260824070,2019-10-08T12:44:41Z,The race to define a global regulatory framework for sustainable finance hots up but Trump administration's climate denial means US doesn't have a seat at the table while EU & China negotiate. Just another example of climate change shifting the geopolitical landscape. @eu_eeas//t.co/GiNE7tngTS,FALSE,TRUE,NA,NA
Kate Hampton,1181550790101614592,2019-10-08T12:43:55Z,"One does wonder sometimes whether UK government is really serious about 2050 #NetZero. See their @Draxnews decision, for example.//t.co/2YcpD8MzfA",FALSE,TRUE,NA,NetZero
Kate Hampton,1181550746237579264,2019-10-08T12:43:44Z,"Today, over 30 businesses, investment groups & scientific institutions sent a letter to @EIB - the's largest multilateral bank - calling for delivery of proposal to stop investing in #fossilfuel projects by end of 2020//t.co/bBGOB42DxJ #ClimateEmergency #FossilFreeEIB//t.co/l8GA0o6913",FALSE,TRUE,NA,NA
Kate Hampton,1181289844422696960,2019-10-07T19:27:00Z,"Because our future is bright, and we still have so much to look forward to #MondayMotivation//t.co/zEOPOk4Fam",FALSE,TRUE,NA,MondayMotivation
Kate Hampton,1181289616768475142,2019-10-07T19:26:06Z,"Here in America, we're still feuding about access to medical care, but countries like Chile, Costa Rica, Ethiopia, Ghana, Thailand and Kyrgyzstan are showing that moving toward universal coverage is possible even with limited resources @NickKristof//t.co/RuxsO7WlKz",FALSE,TRUE,NA,NA
Kate Hampton,1181289333686333440,2019-10-07T19:24:59Z,"A mother and baby wait to be transferred in Lesvos, Greece. #ChildrenUprooted have the right to health care, protection and support to grow up healthy and happy.//t.co/TSbMsBEONd",FALSE,TRUE,NA,ChildrenUprooted
Kate Hampton,1181288987526348800,2019-10-07T19:23:36Z,"How confident would you be about getting your land back if you had to abandon it temporarily due to a flood or another disaster? For some, not very confident://t.co/5CYuTnGjqf #ClimateChange//t.co/q10HqW1haX",FALSE,TRUE,NA,NA
Kate Hampton,1181288851362332672,2019-10-07T19:23:04Z,"This is where I grew up. Sometimes working on climate change means you're on the front lines of watching the places you love, and the people you know, be slowly destroyed.//t.co/PHfdnnbUTE",FALSE,TRUE,NA,NA
Kate Hampton,1181288699318931456,2019-10-07T19:22:27Z,A major battle is being waged behind closed doors over the European Investment Bank's proposal to ban fossil fuel projects. There's still time to tell @EIB to stand firm on the side of science & survival. Please sign here://t.co/1GZQ96DVsO #FossilFreeEIB @PriceofOil @350//t.co/cO8iAXIWg9,FALSE,TRUE,NA,NA
Kate Hampton,1181288340080992256,2019-10-07T19:21:02Z,"It is absolutely essential for the future of humanity that we elect leaders who understand, value, and are willing to act on climate science.",FALSE,TRUE,NA,NA
Kate Hampton,1181287857949790208,2019-10-07T19:19:07Z,"The rebellion in London has begun () Just 14 days to save the earth. We rebel against extinction, we rebel for life, we rebel for you. Inductions at Trafalgar Square. #EverybodyNow #ExtinctionRebelion :V. Marozov//t.co/m2du5cXuAJ//t.co/UWrcK2CIzA",FALSE,TRUE,NA,NA
Kate Hampton,1181287729440518144,2019-10-07T19:18:36Z,Local government financing vehicles are set to issue record amounts of bonds this year. A worrying dynamic where slowing growth leads govt to pour ever more resources into the least productive part of the economy.//t.co/rNhH1zGZ8Q,FALSE,TRUE,NA,NA
Kate Hampton,1181287606383865857,2019-10-07T19:18:07Z,"Leaked UK Govt document shows Environment department DEFRA knows a trade deal with US would shaft UK food and environment standards, damage agricultural and land interests //t.co/LJ4l4emu0D//t.co/EXUnuIYnyH",FALSE,TRUE,NA,NA
Kate Hampton,1181287548125155335,2019-10-07T19:17:53Z,"Defra will come under significant pressure from the Department of International Trade (DIT) to accommodate the US's asks, it says. DIT are concerned about the ability for controversial SPS issues to hold up [free-trade agreement] negotiations [with the US].",FALSE,TRUE,NA,NA
Kate Hampton,1181287508090318848,2019-10-07T19:17:43Z,Also published by the @FT. Warning of threat to UK-EU trade deal from US food demands //t.co/v3kzSOwDX7,FALSE,TRUE,NA,NA
Kate Hampton,1181287478264766464,2019-10-07T19:17:36Z,BREAKING: Leaked ministerial briefing warns Liz Truss' department will push to weaken UK food standards to get US trade deal //t.co/BaauGw8mkI,FALSE,TRUE,NA,NA
Kate Hampton,1181287255027208192,2019-10-07T19:16:43Z,"If not now, when? If not you, who? We need #EverybodyNow! #TheTimeIsNow. Our #InternationalRebellion for climate and ecological justice continues tomorrow around the world. #RebelForLife//t.co/mqKGSOjHcU",FALSE,TRUE,NA,EverybodyNow
Kate Hampton,1181287255027208192,2019-10-07T19:16:43Z,"If not now, when? If not you, who? We need #EverybodyNow! #TheTimeIsNow. Our #InternationalRebellion for climate and ecological justice continues tomorrow around the world. #RebelForLife//t.co/mqKGSOjHcU",FALSE,TRUE,NA,TheTimeIsNow
Kate Hampton,1181287255027208192,2019-10-07T19:16:43Z,"If not now, when? If not you, who? We need #EverybodyNow! #TheTimeIsNow. Our #InternationalRebellion for climate and ecological justice continues tomorrow around the world. #RebelForLife//t.co/mqKGSOjHcU",FALSE,TRUE,NA,InternationalRebellion
Kate Hampton,1181287232726077441,2019-10-07T19:16:38Z,"People ask what keeps me up at night, @DrTedros said. My nightmare is a pandemic flu. One way to protect against such a pandemic and against Ebola and other viruses is to build up health care systems in the most vulnerable countries//t.co/RuxsO7WlKz",FALSE,TRUE,NA,NA
