name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Kalyan Kumar (KK),1181221084139536384,2019-10-07T14:53:47Z,"Education is about progress, not exam results.//t.co/Tdmx4dQZn5//t.co/mjzEY2nq7A",FALSE,TRUE,NA,NA
Kalyan Kumar (KK),1179413357218160640,2019-10-02T15:10:31Z,#csicloudsummit panel about Cloudnative transformation @IBMcloud @hcltech @alanflower//t.co/gABcF9mg77,FALSE,FALSE,NA,csicloudsummit
Kalyan Kumar (KK),1179412198025773057,2019-10-02T15:05:55Z,Congratulations to @EssexCricket for winning Championship and T20 Blast..it's double! East London flying high! @capitalkidscric @SmartCricket19 @LordKPatel @EssexCCB @EastLDNCricket @CountyChamp @T20Blast2020 @NatAsianCC @ClubCricketConf @arfanakram//t.co/BufyLPiuoN,FALSE,TRUE,NA,NA
Kalyan Kumar (KK),1177341023820890113,2019-09-26T21:55:48Z,Saturday: @VitalityBlast champions Thursday: @CountyChamp champions @EssexCricket become the first team to win both trophies in a single season//t.co/OvuIRSYtwg,FALSE,TRUE,NA,NA
Kalyan Kumar (KK),1177340882078654464,2019-09-26T21:55:14Z,"We dreamed, we dared, we delivered... We've become the first side ever to complete the T20 and County Championship double in the same season. History makers. #Champions//t.co/eSafiIS19I",FALSE,TRUE,NA,NA
Kalyan Kumar (KK),1177340186830802944,2019-09-26T21:52:29Z,CHAMPIONS: We've done it... Essex are your 2019 County Champions #Champions//t.co/1DTaG101w5,FALSE,TRUE,NA,Champions
Kalyan Kumar (KK),1173439858234273792,2019-09-16T03:33:58Z,"Steve Smith's 2019 #Ashes campaign: Seven innings for 774 runs at an average of 110.57, including three tons and three fifties. Highest score of 211. Legendary.//t.co/vNt9YwT5pM",FALSE,TRUE,NA,Ashes
Kalyan Kumar (KK),1173439850663559168,2019-09-16T03:33:56Z,An epic #Ashes series comes to a close! Well done to England on the win at The Oval and an unforgettable summer. And congrats to our Aussies for retaining the urn and making fans back home - and around the world - proud!//t.co/2MmYz2mMVE,FALSE,TRUE,NA,Ashes
Kalyan Kumar (KK),1173287499902443520,2019-09-15T17:28:33Z,"The final game @englandcricket really won this with a margin and @cricketcomau lost by a big gap, what an end to an amazing series and finally what a player @stevesmith49 is , miles part from others #ashes2019",FALSE,FALSE,NA,ashes2019
Kalyan Kumar (KK),1172252606242181121,2019-09-12T20:56:15Z,"@CPL insane batting ddisplay what a game , chasing down 242 in 18.5 overs//t.co/UmvXcUuRH7",FALSE,FALSE,829361395,NA
Kalyan Kumar (KK),1171783163145805824,2019-09-11T13:50:51Z,@GCPcloud Anthos: A New Age in Hybrid Cloud Services?//t.co/vFNyTx0IVA @hcltech,FALSE,FALSE,15813140,NA
Kalyan Kumar (KK),1171092227621179392,2019-09-09T16:05:19Z,Thank you for such an insightful session on #AI #STinsights//t.co/VJLbFMrnZa,TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171092227621179392,2019-09-09T16:05:19Z,Thank you for such an insightful session on #AI #STinsights//t.co/VJLbFMrnZa,TRUE,FALSE,NA,STinsights
Kalyan Kumar (KK),1171091893184188421,2019-09-09T16:03:59Z,Real #AI impact and transformation still to come. Exciting times ahead #STInsights @CIOStraightTalk//t.co/1aXXX7Gxz9,TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171091893184188421,2019-09-09T16:03:59Z,Real #AI impact and transformation still to come. Exciting times ahead #STInsights @CIOStraightTalk//t.co/1aXXX7Gxz9,TRUE,FALSE,NA,STInsights
Kalyan Kumar (KK),1171090189692751872,2019-09-09T15:57:13Z,Inclusive technological integration should be the approach rather than outplacement of existing relevant technology. Crossover leads to the birth of disruptive technology due to the convergence of more than a single discipline. #AI is leading the way. #Stinsights @CIOStraightTalk//t.co/PrGFeiKBaX,TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171090189692751872,2019-09-09T15:57:13Z,Inclusive technological integration should be the approach rather than outplacement of existing relevant technology. Crossover leads to the birth of disruptive technology due to the convergence of more than a single discipline. #AI is leading the way. #Stinsights @CIOStraightTalk//t.co/PrGFeiKBaX,TRUE,FALSE,NA,Stinsights
Kalyan Kumar (KK),1171086156319973376,2019-09-09T15:41:12Z,"New partnerships are driven by unique models and arrangements evolving across the board on #AI. Organization size does not matter, Innovation and novel idea wins on #AI #STInsights @CIOStraightTalk//t.co/iCk2rvbKOL",TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171086156319973376,2019-09-09T15:41:12Z,"New partnerships are driven by unique models and arrangements evolving across the board on #AI. Organization size does not matter, Innovation and novel idea wins on #AI #STInsights @CIOStraightTalk//t.co/iCk2rvbKOL",TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171086156319973376,2019-09-09T15:41:12Z,"New partnerships are driven by unique models and arrangements evolving across the board on #AI. Organization size does not matter, Innovation and novel idea wins on #AI #STInsights @CIOStraightTalk//t.co/iCk2rvbKOL",TRUE,FALSE,NA,STInsights
Kalyan Kumar (KK),1171084939632111616,2019-09-09T15:36:21Z,Organizations have started using #AI for this and are tasting a fair amount of success. @CIOStraightTalk #STinsights//t.co/8wTKr4r4QE,FALSE,FALSE,NA,AI
Kalyan Kumar (KK),1171084939632111616,2019-09-09T15:36:21Z,Organizations have started using #AI for this and are tasting a fair amount of success. @CIOStraightTalk #STinsights//t.co/8wTKr4r4QE,FALSE,FALSE,NA,STinsights
Kalyan Kumar (KK),1171084160401731584,2019-09-09T15:33:16Z,.@CIOStraightTalk #AI emerging as the most prominent variable in the #Innovation equation. Moving into unexplored patterns and designs with help of reduced cost of failure and new technological enhancements fueling and promoting a culture of Innovation #STInsights//t.co/gRMfGdta1c,TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171084160401731584,2019-09-09T15:33:16Z,.@CIOStraightTalk #AI emerging as the most prominent variable in the #Innovation equation. Moving into unexplored patterns and designs with help of reduced cost of failure and new technological enhancements fueling and promoting a culture of Innovation #STInsights//t.co/gRMfGdta1c,TRUE,FALSE,NA,Innovation
Kalyan Kumar (KK),1171084160401731584,2019-09-09T15:33:16Z,.@CIOStraightTalk #AI emerging as the most prominent variable in the #Innovation equation. Moving into unexplored patterns and designs with help of reduced cost of failure and new technological enhancements fueling and promoting a culture of Innovation #STInsights//t.co/gRMfGdta1c,TRUE,FALSE,NA,STInsights
Kalyan Kumar (KK),1171081457743216640,2019-09-09T15:22:31Z,#AI is redefining technology by establishing a base for diverse technologies to achieve scale and volumes at speed #STInsights .@CIOStraightTalk//t.co/weGXE1dEAN,TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171081457743216640,2019-09-09T15:22:31Z,#AI is redefining technology by establishing a base for diverse technologies to achieve scale and volumes at speed #STInsights .@CIOStraightTalk//t.co/weGXE1dEAN,TRUE,FALSE,NA,STInsights
Kalyan Kumar (KK),1171080920813539328,2019-09-09T15:20:23Z,Another critical aspect of these domains remains securing against cyber and physical threats. Ensuring privacy and protection. #AI is making our world safe and secure #STInsights @CIOStraightTalk//t.co/MjPHYobEIf,TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171080920813539328,2019-09-09T15:20:23Z,Another critical aspect of these domains remains securing against cyber and physical threats. Ensuring privacy and protection. #AI is making our world safe and secure #STInsights @CIOStraightTalk//t.co/MjPHYobEIf,TRUE,FALSE,NA,STInsights
Kalyan Kumar (KK),1171080143919448065,2019-09-09T15:17:18Z,"Decision making for diverse and volumetric data and new business models, #AI is enabling new possibilities with analytics and blockchain #STInsights @CIOStraightTalk//t.co/jzFARioSsC",TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171080143919448065,2019-09-09T15:17:18Z,"Decision making for diverse and volumetric data and new business models, #AI is enabling new possibilities with analytics and blockchain #STInsights @CIOStraightTalk//t.co/jzFARioSsC",TRUE,FALSE,NA,STInsights
Kalyan Kumar (KK),1171079358838034432,2019-09-09T15:14:11Z,"See this as additive. #AI enabling glue for collaboration, joint synergy, and complementary technologies. Leading to unique possibilities around experimentation with reduced costs #STInsights @CIOStraightTalk//t.co/D3tozQ8hOL",TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171079358838034432,2019-09-09T15:14:11Z,"See this as additive. #AI enabling glue for collaboration, joint synergy, and complementary technologies. Leading to unique possibilities around experimentation with reduced costs #STInsights @CIOStraightTalk//t.co/D3tozQ8hOL",TRUE,FALSE,NA,STInsights
Kalyan Kumar (KK),1171077218715332609,2019-09-09T15:05:41Z,"Businesses are using #AI in #Robotics to aid the most complex, human-centric jobs #Stinsights @CIOStraightTalk//t.co/PNoZ1SsbL3",TRUE,FALSE,NA,AI
Kalyan Kumar (KK),1171077218715332609,2019-09-09T15:05:41Z,"Businesses are using #AI in #Robotics to aid the most complex, human-centric jobs #Stinsights @CIOStraightTalk//t.co/PNoZ1SsbL3",TRUE,FALSE,NA,Robotics
Kalyan Kumar (KK),1171077218715332609,2019-09-09T15:05:41Z,"Businesses are using #AI in #Robotics to aid the most complex, human-centric jobs #Stinsights @CIOStraightTalk//t.co/PNoZ1SsbL3",TRUE,FALSE,NA,Stinsights
Kalyan Kumar (KK),1171076902099927040,2019-09-09T15:04:25Z,Use #AI across Scale and Complex problems going beyond human boundaries #beyondhumanbouandaries #Stinsights @CIOStraightTalk//t.co/VrBCB10YQG,TRUE,FALSE,NA,AI
