name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Lisa Sherman,1176491289627508737,2019-09-24T13:39:16Z,"Today, we're proud to launch one of our first Ad Council Edge consultancy projects: breakthrough research that examines the most effective way to get Americans to the polls to vote, in partnership with @demworksinc. Full research can be found here://t.co/ALMlzWXZe6",FALSE,FALSE,NA,NA
Lisa Sherman,1176216341814153216,2019-09-23T19:26:43Z,Consumers want to see themselves reflected in advertising. Eager to join the @ana_aimm #SeeAll initiative to advance multicultural and inclusive advertising.//t.co/k9tFOkLg3l,FALSE,FALSE,NA,SeeAll
Lisa Sherman,1175141802468401155,2019-09-20T20:16:53Z,Check out these priceless reactions to people responding in real time to our @LoveHasNo_ videos. Thank you @FBE for your great partnership. #LoveHasNoLabels. //t.co/9JdmpCf0LL,FALSE,FALSE,NA,LoveHasNoLabels
Lisa Sherman,1174738134816428032,2019-09-19T17:32:51Z,"We're proud to help rally the industry to bring together our collective resources to address the climate crisis. We need to act now with massive support from the American public and fight for a safer, cleaner more livable world.//t.co/X0NVeO4n2T//t.co/Fy7GuC6eTX",FALSE,FALSE,NA,NA
Lisa Sherman,1173066594454556676,2019-09-15T02:50:45Z,@BillieJeanKing And so well deserved! Bravo BJK.,FALSE,FALSE,35391464,NA
Lisa Sherman,1172513176333770752,2019-09-13T14:11:40Z,It's National Suicide Prevention Month and our #SeizeTheAwkward campaign is encouraging teens to reach out and have a conversation with a friend that might be struggling. Start a conversation today. Check out the new creative here://t.co/inxRTvPoqK,FALSE,FALSE,NA,SeizeTheAwkward
Lisa Sherman,1172178171569102848,2019-09-12T16:00:28Z,Beyond grateful to work with an @AdCouncil team that continues to inspire and use their Superpowers for good! Huge congrats to our own Barbara Gonzalez for being named an @ADCOLOR Future!//t.co/MWf6EiDzNe,FALSE,FALSE,NA,NA
Lisa Sherman,1171453265239670791,2019-09-10T15:59:57Z,@Movember Check out the creative and start a conversation! //t.co/LLhnrE3Jib,FALSE,FALSE,27028386,NA
Lisa Sherman,1171453201893117952,2019-09-10T15:59:42Z,Today is World Suicide Prevention Day and we're proud to support @Movember's #ManOfMoreWords campaign. Did you know that men account for 3 in 4 suicides in the U.S.? It's why this new initiative is so important and encourages men to speak openly about their mental health.,FALSE,FALSE,NA,ManOfMoreWords
Lisa Sherman,1170294167492341760,2019-09-07T11:14:07Z,@AriaIrene @wnd @Forbes Roger that @wnd ! @AriaIrene thanks for your badassery.,FALSE,FALSE,26616341,NA
