name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Lynne Doughtie,1177192590778798081,2019-09-26T12:05:59Z,Today we are proud to join with @TheCAQ to share why we are #AuditorProud. Here's some advice for auditors who are beginning their careers in the profession. #KPMGProud//t.co/kAs16MhpaB,FALSE,FALSE,NA,AuditorProud
Lynne Doughtie,1177192590778798081,2019-09-26T12:05:59Z,Today we are proud to join with @TheCAQ to share why we are #AuditorProud. Here's some advice for auditors who are beginning their careers in the profession. #KPMGProud//t.co/kAs16MhpaB,FALSE,FALSE,NA,KPMGProud
Lynne Doughtie,1176257486397091841,2019-09-23T22:10:13Z,@ConcordiaSummit Thank you for the honor! I was humbled to receive it and share your commitment to creating positive social and economic change.,FALSE,FALSE,329888286,NA
Lynne Doughtie,1170739437698985985,2019-09-08T16:43:27Z,"At KPMG, we're passionate about giving back to the communities where we live and work. Our focus on lifelong learning supports literacy, the first critical step for children to thrive and confidently lead us into the future. #LiteracyDay #KFFL//t.co/6Wp2TpPK9Z",TRUE,FALSE,NA,LiteracyDay
Lynne Doughtie,1170739437698985985,2019-09-08T16:43:27Z,"At KPMG, we're passionate about giving back to the communities where we live and work. Our focus on lifelong learning supports literacy, the first critical step for children to thrive and confidently lead us into the future. #LiteracyDay #KFFL//t.co/6Wp2TpPK9Z",TRUE,FALSE,NA,KFFL
Lynne Doughtie,1168167095655391233,2019-09-01T14:21:53Z,Thinking of all those in Midland and Odessa and everyone impacted by yesterday's terrible events.,FALSE,FALSE,NA,NA
Lynne Doughtie,1163559733464141824,2019-08-19T21:13:53Z,Check out our latest video series #FactorFiction which aims to dispel misconceptions about #digitaltransformation and other related topics like #AI and #blockchain. Stay tuned for more episodes coming soon!//t.co/ywkf1ZIgaN,TRUE,FALSE,NA,FactorFiction
Lynne Doughtie,1163559733464141824,2019-08-19T21:13:53Z,Check out our latest video series #FactorFiction which aims to dispel misconceptions about #digitaltransformation and other related topics like #AI and #blockchain. Stay tuned for more episodes coming soon!//t.co/ywkf1ZIgaN,TRUE,FALSE,NA,digitaltransformation
Lynne Doughtie,1163559733464141824,2019-08-19T21:13:53Z,Check out our latest video series #FactorFiction which aims to dispel misconceptions about #digitaltransformation and other related topics like #AI and #blockchain. Stay tuned for more episodes coming soon!//t.co/ywkf1ZIgaN,TRUE,FALSE,NA,AI
Lynne Doughtie,1163559733464141824,2019-08-19T21:13:53Z,Check out our latest video series #FactorFiction which aims to dispel misconceptions about #digitaltransformation and other related topics like #AI and #blockchain. Stay tuned for more episodes coming soon!//t.co/ywkf1ZIgaN,TRUE,FALSE,NA,blockchain
