name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Marc Walder,1181507761399566336,2019-10-08T09:52:56Z,"Die Schweizerhlt endlich eine staatlich geprfte elektronische Identitt. So sind wir morgen einfacher, sicherer und flexibler im Netz unterwegs. Fakten unter//t.co/ofbh8z2U8J #eID #eIDSchweiz @EJPD_DFJP_DFGP//t.co/nn6Ox9Qj7M",FALSE,TRUE,NA,NA
Marc Walder,1181507613718171648,2019-10-08T09:52:21Z,"Wer will eine staatlich geprfte elektronische Identitt? Nach 15 Jahren Politik haben wir nun endlich ein E-ID Gesetz, einen guten Anbieter und eine starke staatliche Kontrolle. Jetzt endlich ausrollen, damit alle profitieren knnen. Fakten://t.co/K8ZeYDYj6z #eID//t.co/9MQpdBjWvz",FALSE,TRUE,NA,NA
Marc Walder,1181507415931592705,2019-10-08T09:51:33Z,Die Parlamentariergruppe ePower hat die ICT- und Digitalaffinitt des Parlamentes in der zu Ende gehenden Legislatur untersucht. Hier die Kurzbersicht als Grafik und als Blick-Artikel://t.co/mAoZU4rbWj//t.co/oKXVNZ26qM,FALSE,TRUE,NA,NA
Marc Walder,1179703995172085760,2019-10-03T10:25:24Z,"Exactly 1 month ago, the 3rd #SwissDigitalDay took place. We have compiled some impressions & highlights of the eventful day. Already now, we are looking forward to the next #DigitalDay 3 November 2020. APG |SGA @Google @ringier_ag @sbbnews @SRGSSR @Swisscom_de @_Innosuisse//t.co/I656BAtPgn",FALSE,TRUE,NA,SwissDigitalDay
Marc Walder,1178901238722760704,2019-10-01T05:15:32Z,Global Digital Competitiveness Index von @IMD_Bschool - die Schweiz ist vorne dabei - aber kein Grund zum Ausruhen @Blickch @dgt_switzerland #DigitalTransformation //t.co/Dfjg9np2Rl,FALSE,FALSE,NA,DigitalTransformation
Marc Walder,1178612487421345795,2019-09-30T10:08:09Z,"According to the IMD World Digital Competitiveness Ranking 2019, Switzerland holds a top position in digital competitiveness (no 5). Particularly under the keyword knowledge, Switzerland came in second. All ranking details://t.co/gaCpkQTokZ @dgt_switzerland//t.co/StvR8fYRI2",FALSE,FALSE,NA,NA
Marc Walder,1177295886642233351,2019-09-26T18:56:27Z,Smart 100 Swiss digital Shapers! By @dgt_switzerland @BILANZ//t.co/pJbwJHilUY,TRUE,FALSE,NA,NA
Marc Walder,1177228006793850881,2019-09-26T14:26:43Z,"Digital Shapers, le who is who de la Suisse numrique//t.co/PIsTl3uifc",FALSE,TRUE,NA,NA
Marc Walder,1177152533753663488,2019-09-26T09:26:49Z,Neues Mitglied im Group Executive Board der Ringier AG. Thomas Spiegel zieht in das Group Executive Board ein. Alexander Theobald bernimmt die CEO-Funktion bei der Ringier Axel Springer Schweiz AG. #Ringier #RASCH #ThomasSpiegel #AlexanderTheobald//t.co/ePafXDHtW9//t.co/5zMl96RNBe,FALSE,TRUE,NA,NA
Marc Walder,1176380133676060672,2019-09-24T06:17:34Z,Der Countdown luft fr @Blickch TV @ChristianDorer @jonasprojer @katiamurmann #Transformation #Innovation @ringier_ag//t.co/ItIryv8bue,FALSE,FALSE,NA,Transformation
Marc Walder,1176380133676060672,2019-09-24T06:17:34Z,Der Countdown luft fr @Blickch TV @ChristianDorer @jonasprojer @katiamurmann #Transformation #Innovation @ringier_ag//t.co/ItIryv8bue,FALSE,FALSE,NA,Innovation
Marc Walder,1173309666660630528,2019-09-15T18:56:38Z,Swiss Digital Initiative: Bundeskanzler wird neuer Stiftungsrat//t.co/l6WTbk7N3x,FALSE,TRUE,NA,NA
Marc Walder,1172148013093072896,2019-09-12T14:00:38Z,Hope you enjoy your stinkin' phones (Wir hoffen ihr habt Spass an euren Scheiss-Handys). Verbitterte letzte Ausgabe der @WaPoExpress #Disruption//t.co/8bWznuEvTg,FALSE,TRUE,NA,NA
Marc Walder,1171883436581249024,2019-09-11T20:29:18Z,"#SwissDigitalDay ist vorbei und es ist hchste Zeit, die Ereignisse noch einmal Revue passieren zu lassen: An &gt;12 Standorten durften &gt;270'000 Besucher begrsst werden. Davon meldeten sich an den tell-Veranstaltungen &gt;1'000 TeilnehmerInnen eifrig zu Wort.//t.co/OQjCsHqPbe",FALSE,TRUE,NA,SwissDigitalDay
Marc Walder,1169617491968036870,2019-09-05T14:25:15Z,#Switzerland Nr 4 in #Innovation #Lifelonglearning @dgt_switzerland//t.co/m7V52Hc0Cc,FALSE,FALSE,NA,Switzerland
Marc Walder,1169617491968036870,2019-09-05T14:25:15Z,#Switzerland Nr 4 in #Innovation #Lifelonglearning @dgt_switzerland//t.co/m7V52Hc0Cc,FALSE,FALSE,NA,Innovation
Marc Walder,1169617491968036870,2019-09-05T14:25:15Z,#Switzerland Nr 4 in #Innovation #Lifelonglearning @dgt_switzerland//t.co/m7V52Hc0Cc,FALSE,FALSE,NA,Lifelonglearning
Marc Walder,1169366128214384646,2019-09-04T21:46:25Z,"Goodbye @ringier_ag Zofingen es war eine tolle Zeit. Herzlich, Ronald Rufname Ronny Stocker Neu//t.co/JGrGCVNGBx Waffenplatzstrasse 35 8002 Zrich Detail-Infos immer auf twitter &-ausfhrlich auf: #facebook #RonaldStocker #facebook #Canada1955//t.co/4tvht10yPB",FALSE,TRUE,NA,NA
Marc Walder,1168926383210414081,2019-09-03T16:39:02Z,"Mein Dank geht an alle, die mitgeholfen haben, den 3. #SwissDigitalDay von @dgt_switzerland Realitt werden zu lassen. Einzigartig in Europa. Delegationen aus 22 Lndern waren heute in der Schweiz. //t.co/h6fWTq4Bg6",FALSE,FALSE,NA,SwissDigitalDay
Marc Walder,1168925280125276160,2019-09-03T16:34:39Z,"It's #SwissDigitalDay! Ever wanted to take a #selfie with a robot ? Discover #YuMi, the world's first truly cobot at the #ABB booth in #Zrich main station and learn more about the small and agile robot. #Digitaltag @dgt_switzerland//t.co/JIVrfgyS2U",FALSE,TRUE,NA,SwissDigitalDay
Marc Walder,1168925280125276160,2019-09-03T16:34:39Z,"It's #SwissDigitalDay! Ever wanted to take a #selfie with a robot ? Discover #YuMi, the world's first truly cobot at the #ABB booth in #Zrich main station and learn more about the small and agile robot. #Digitaltag @dgt_switzerland//t.co/JIVrfgyS2U",FALSE,TRUE,NA,selfie
Marc Walder,1168925280125276160,2019-09-03T16:34:39Z,"It's #SwissDigitalDay! Ever wanted to take a #selfie with a robot ? Discover #YuMi, the world's first truly cobot at the #ABB booth in #Zrich main station and learn more about the small and agile robot. #Digitaltag @dgt_switzerland//t.co/JIVrfgyS2U",FALSE,TRUE,NA,YuMi
Marc Walder,1168924772253745152,2019-09-03T16:32:37Z,Lebenslanges Lernen: Wie lebt eigentlich ein CEO das Thema des diesjhrigen #SwissDigitalDay? Fr Urs Schaeppi gehrt dazu vor allem eines: Zuhren. So vielen und so vielen verschiedenen Menschen wie mglich. #Diversity//t.co/9AuvoDJmnW,FALSE,TRUE,NA,SwissDigitalDay
