name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Meredith Levien,1169924833444028416,2019-09-06T10:46:31Z,"We have long reported on the inequalities women face and the strides taken toward change. Our new ad traces women's fight for equal pay and treatment in sports, through the lens of our journalism over the years.//t.co/64hO4Ao6rP",FALSE,TRUE,NA,NA
Meredith Levien,1167235182707052545,2019-08-30T00:38:48Z,Lines at NYT to get free issues of the #1619project//t.co/MgHpf4eNII,FALSE,TRUE,NA,1619project
Meredith Levien,1161444709824380930,2019-08-14T01:09:32Z,"""1619 is as important to america as 1776"" -- @nhannahjones for the debut of the @NYTmag 1619 project//t.co/dBejWS54XE",FALSE,TRUE,NA,NA
Meredith Levien,1126093921308819457,2019-05-08T11:58:07Z,Welcome to the world @NYTParenting and big congrats to its many parents including @alexmaccallum @JessGrose @youngna @monicadrake //t.co/ZB7A8YcvMB,FALSE,FALSE,NA,NA
Meredith Levien,1098993494146904066,2019-02-22T17:10:41Z,"@karaswisher @waltmossberg Thanks Kara and thanks Walt for flagging. We do routinely suppress subscribers from email campaigns, but I'd be happy to look into what went awry in this case. Do you mind sending me via DM the email address where you received this?",FALSE,FALSE,5763262,NA
Meredith Levien,1093951600043937792,2019-02-08T19:16:00Z,"So proud of my pal, the incomparable @alexavontobel//t.co/1fopcoo7TX",FALSE,FALSE,NA,NA
Meredith Levien,1090660559073218565,2019-01-30T17:18:35Z,.@meredith_levien mentions this exceptional collaboration! Global news groups coming together for World Press Freedom Day 2018//t.co/Ecag3mOFB2 #dcnlive @rapplerdotcom,FALSE,TRUE,NA,NA
Meredith Levien,1045323834696630272,2018-09-27T14:46:38Z,"@lisaryanhoward to @iamsambee at #nytnewrules ""I have a 16-year-old daughter, you have more influence over her than I do""",FALSE,FALSE,18850341,nytnewrules
Meredith Levien,1045315101606084608,2018-09-27T14:11:55Z,"Proximity, human connections are what changes behavior. #stacybrownphilpot #nytnewrules @karaswisher//t.co/va8PAyzxwY",FALSE,FALSE,NA,stacybrownphilpot
Meredith Levien,1045315101606084608,2018-09-27T14:11:55Z,"Proximity, human connections are what changes behavior. #stacybrownphilpot #nytnewrules @karaswisher//t.co/va8PAyzxwY",FALSE,FALSE,NA,nytnewrules
Meredith Levien,1045312070898601984,2018-09-27T13:59:53Z,"""To survey the corridors of American business today is to find more men named ""John"" than women. And Harvard now has had more presidents named Larry (3) than female presidents (1)."" @RBlumenstein #nytnewrules",FALSE,FALSE,NA,nytnewrules
Meredith Levien,1027220587230519297,2018-08-08T15:50:47Z,the thriving @nytimes//t.co/XhkwFG52w6,FALSE,TRUE,NA,NA
Meredith Levien,992001224399556609,2018-05-03T11:21:37Z,@jason_kint Thanks Jason and to the many @DCNorg members who did this with us and especially to @droga5 and @drubs who made it happen,FALSE,FALSE,75209239,NA
