name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Dr. Paula Kahumbu,1181524027745148928,2019-10-08T10:57:34Z,"Venomous snake bites should be given the same status as rabies, a notifiable disease a disease that requires investigations & follow-ups for proper response. @paulakahumbu Thank you @dailynation for creating awareness on #Snakebites. @BioKenSnakeFarm//t.co/OaIJS4H4r2",FALSE,TRUE,NA,NA
Dr. Paula Kahumbu,1181523562223558656,2019-10-08T10:55:43Z,Go Eliud Kipchoge Go go go for Guinness World record,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1181444073309310976,2019-10-08T05:39:51Z,"#EmbobutForest Joined 150 Sengwer people from the Embobut Forest have started a 400km walk to deliver a petition to the President of Keyna, asking him to stop evictions from the forests they have lived in for generations. #Walk4JusticeKE #IndigenousRightsKE #Sengwer//t.co/Bi7xrFAOHK",FALSE,TRUE,NA,EmbobutForest
Dr. Paula Kahumbu,1181444000710041600,2019-10-08T05:39:34Z,@gp_kenyagroup @greenkidsawards @Teens4Wildlife_ @kwskenya//t.co/du8EkqHhmI,TRUE,FALSE,3928779561,NA
Dr. Paula Kahumbu,1181416920437927936,2019-10-08T03:51:58Z,".@citizentvkenya Screaming about Mau, Silence about Ololua right under our noses in Nairibi - guess what? - Ministry Of Transport have not yet revealed the route of SGR through the Mau ... #killingKenya @unep TheStarKenya @StandardKenya @ntvkenya//t.co/Yw2UjFw7dg",FALSE,FALSE,NA,killingKenya
Dr. Paula Kahumbu,1181211525773774850,2019-10-07T14:15:48Z,"VOTE for @Dedan_Ngatia, a conservationist who has dedicated his life to saving the African Wild Dog through advocating for rabies and canine distemper vaccination programs. @mpalalive @paulakahumbu @LaikipiaCountyG @laikipiaforum #WILDLIFEWARRIORS //t.co/uyHWOCInSB//t.co/KnI518sILH//t.co/8S2YNufqAs",FALSE,TRUE,NA,NA
Dr. Paula Kahumbu,1181211387357536258,2019-10-07T14:15:15Z,HAPPENING NOW: Planning Meeting led by @paulakahumbu ahead of the Open Space Event bringing citizens to discuss how to take action on environmental issues. Register now for the event and be part of citizens empowered to #Act4Nature. #DoSomething #WildlifeWarriors//t.co/Bi14WnKFRR,FALSE,TRUE,NA,NA
Dr. Paula Kahumbu,1181211304138330119,2019-10-07T14:14:55Z,Today is #WorldHabitatDay! Nairobi National Park is the only protected area within a capital city. Today reflects on our mandate to shape the future of our towns and cities for both people and #wildlife. #Act4Nature #Justice4Wildlife #DoSomething //t.co/tTldoTaVKO//t.co/wwKNTEmOxo,FALSE,TRUE,NA,WorldHabitatDay
Dr. Paula Kahumbu,1181210590653616130,2019-10-07T14:12:05Z,Let's save Kenya's unique and diverse species and habitats - join us on Wednesday and remember to bring your own water bottle//t.co/WYqPBFHfJm,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1181207653625802753,2019-10-07T14:00:25Z,"Trading forest 4railways -destruction of Ololua Forest was avoidable. When we can't breathe any longer we might contemplate the folly of the trade offs we r accepting. Shocked, angry, stupefied at this image @Environment_Ke @kwskenya @magicalkenya RT//t.co/xQsbb50CJZ",FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1181123845790556160,2019-10-07T08:27:23Z,"Please vote 4 Wildlife Warrior @Dedan_Ngatia - World Rabies Day Award//t.co/KxpxoyEPvO ....Voting is a two-step process: first, click on Dedan's picture to vote & scroll to the bottom of the page to submit vote. Then, follow the link in ur email to confirm ur vote. RT",FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1180881455624396801,2019-10-06T16:24:13Z,Recognizing young people in developing nations who have been tackling the #climatecrisis for years. Cc @KalukiPaul//t.co/6kXYvV7E8I,FALSE,TRUE,NA,climatecrisis
Dr. Paula Kahumbu,1180672365635788800,2019-10-06T02:33:22Z,"@benjamin_wangui @citizentvkenya @magicalkenya @kwskenya @NemaKenya Sure, thank you",FALSE,FALSE,2356464874,NA
Dr. Paula Kahumbu,1180672322912575489,2019-10-06T02:33:12Z,@VincentOchieng @citizentvkenya @magicalkenya @kwskenya @NemaKenya Thx,FALSE,FALSE,65908471,NA
Dr. Paula Kahumbu,1180672274560671746,2019-10-06T02:33:00Z,@LindaOwino @citizentvkenya @magicalkenya @kwskenya @NemaKenya Thx,FALSE,FALSE,108319864,NA
Dr. Paula Kahumbu,1180553161653796865,2019-10-05T18:39:42Z,".@citizentvkenya @magicalkenya @kwskenya @NemaKenya Dear Kenyans, what tool would you prefer to use for reporting environmental or wildlife concerns or crimes? Please state why and suggest any other options RT",FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1180551727575179264,2019-10-05T18:34:00Z,Dear #KOTs do you know wheat number to call to report a serious road accident in Kenya?,FALSE,FALSE,NA,KOTs
Dr. Paula Kahumbu,1180408478986379266,2019-10-05T09:04:46Z,//t.co/jWD5by9uJA,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1180405011836231680,2019-10-05T08:51:00Z,@kennefy_ole_k //t.co/aMojciJIsu,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1180401942356475904,2019-10-05T08:38:48Z,.@NatGeoExplorers Abdulahi Ali studies a rare antelope the Hirola which is endangered because elephants have disappeared from the range due to poaching. Elephants maintain grasslands. Now communities have to plant grass to keep the hirola alive!! @wildlifedirect,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1180397810711224320,2019-10-05T08:22:23Z,".@NatGeoExplorers event at National Museums Of Kenya - 25 speakers from across Africa will share their work today. If you are in Nairobi, care about nature, and have an hour to be awed and inspired - join us. RT//t.co/CJ05dR07pw",FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1180337952230187008,2019-10-05T04:24:32Z,@KarimWaiyaki Nice!,FALSE,FALSE,1150469693637091341,NA
Dr. Paula Kahumbu,1180294839801397248,2019-10-05T01:33:13Z,"I would like to know how I can contribute meaningfully to halting deforestation, pollution, extinctions and improving wildlife conservation in Kenya",FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1179987451743555584,2019-10-04T05:11:46Z,@DeeThatsMe4real There's no correct answer - I am just trying to find out what people are thinking and doing,FALSE,FALSE,3018181455,NA
Dr. Paula Kahumbu,1179968313268547584,2019-10-04T03:55:43Z,@douglasrasbash Thank you,FALSE,FALSE,1013221658,NA
Dr. Paula Kahumbu,1179965870908555264,2019-10-04T03:46:00Z,@NatureAli @UNEnvironment @kwskenya @Environment_Ke Thank you,FALSE,FALSE,15988355,NA
Dr. Paula Kahumbu,1179965632315629568,2019-10-04T03:45:04Z,#KOTs Have you ever seen a wild animal road kill in Kenya? What did you do? Pls explain by text. RT,FALSE,FALSE,NA,KOTs
Dr. Paula Kahumbu,1179964485173420038,2019-10-04T03:40:30Z,Dedan has been nominated for the World Rabies Day Award!! @paulakahumbu @BiophilicKE @wildlifedirect @WildWarriorsTV @nyikasilika @mpalalive vote vote vote!//t.co/3vW0nnSFW7,FALSE,TRUE,NA,NA
Dr. Paula Kahumbu,1179964404722524162,2019-10-04T03:40:11Z,".@UNEnvironment @kwskenya @Environment_Ke In your opinion, what are the three greatest threats to nature in Africa? RT",FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1179860853778255880,2019-10-03T20:48:42Z,//t.co/H5ChBet9uo Thank you to all who participated and supported our Wildlife Warriors expedition last month. This short video gives you an idea about the potential impact we can make together for our children in public schools.,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1179780769583108101,2019-10-03T15:30:29Z,You witness poaching of a lion. How do you get the KWS to respond?,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1179668154290757632,2019-10-03T08:02:59Z,.@Ma3Route @KenyaRedCross @NPSOfficial_KE I've just witnessed a man accident two motorbikes and a car at Thika on highway near entrance To Delmonte heading towards Nairobi - one rider in v bad shape. Pls help ASAP,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1179456512885956608,2019-10-02T18:02:00Z,You see an elephant hit on the Mombasa highway that's been by a truck it's alive but seriously injured. Driver is ok. What do you do? Pls share,FALSE,FALSE,NA,NA
Dr. Paula Kahumbu,1179448459339948038,2019-10-02T17:30:00Z,@Chez_Em Horrific. Where is this. Have you contacted the authorities?,FALSE,FALSE,127520844,NA
Dr. Paula Kahumbu,1179448077310201857,2019-10-02T17:28:29Z,OMG!!!//t.co/biquzyRVA6,TRUE,FALSE,NA,NA
Dr. Paula Kahumbu,1179447871525003264,2019-10-02T17:27:40Z,Thank you. We want to maintain the magic of Ke ya @magicalkenya//t.co/y4MCqDTJnQ,TRUE,FALSE,NA,NA
