name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Deb Whitman,1181310557049241601,2019-10-07T20:49:19Z,This month's @AARPpolicy jobs blog looks at efforts leading OECD countries are making to promote longer careers & extend working lives//t.co/0FBrOg2BIh,FALSE,TRUE,NA,NA
Deb Whitman,1181309170575953921,2019-10-07T20:43:48Z,"The rise of the grown-up gap year: Nowadays lots of companies see travelling as a positive thing, //t.co/7Xy7I25elW @policydeb @JeanAccius @ElderNomics @JAlisonBryant @PattyNotPatsy @hnawrocki1605 @MarissaBMalta #futureofwork #longevity #lifelonglearning #disruptaging//t.co/D27jQ7yNN4",FALSE,TRUE,NA,NA
Deb Whitman,1181308977860227073,2019-10-07T20:43:02Z,"~$, ~$, . This is madness level of inflation. Same with branded drugs @leighdrugwonk @ASlavitt @policydeb See change from 2012//t.co/O5zo1SKFyw",FALSE,TRUE,NA,NA
Deb Whitman,1181262772958572544,2019-10-07T17:39:26Z,Seniors Need Network Of People They Trust As Checks On Each Other To Prevent Fraud... great article by @TedKnutsonDC with @bleier_lisa @sifma @jsetz #banksafe//t.co/8BvO377wES,FALSE,FALSE,NA,banksafe
Deb Whitman,1181261355166441477,2019-10-07T17:33:48Z,@JeanAccius @DCNoles @FSUAlumni BRAVO!,FALSE,FALSE,937181605,NA
Deb Whitman,1180128766150021122,2019-10-04T14:33:18Z,Study: #Employers Should Do More to Help with #Retirement Transition://t.co/UGXU4dArdC via @NAPA401K @TedGodbout,FALSE,TRUE,NA,Employers
Deb Whitman,1180128766150021122,2019-10-04T14:33:18Z,Study: #Employers Should Do More to Help with #Retirement Transition://t.co/UGXU4dArdC via @NAPA401K @TedGodbout,FALSE,TRUE,NA,Retirement
Deb Whitman,1179164900800843778,2019-10-01T22:43:14Z,"Today,on the UN International Day of Older Persons,the Slaight Family Foundation has announced a $1M donation to @RyersonNIA to support research,education & advocacy to help seniors stay in their homes & communities longer #UNIDOP #SlaightSeniorsInitiative//t.co/VCVqZZyvC3//t.co/KSHyjtTqm8",FALSE,TRUE,NA,NA
Deb Whitman,1179026164150616064,2019-10-01T13:31:57Z,Stigma around productivity of #OlderWorkers means employers remain reluctant in hiring or in some cases retaining older workers. On the International Day for Older Persons learn more here //t.co/Qzcdvvy24w #ageing #IDOP2019 #IDOP//t.co/3SqH3ERLbX,FALSE,TRUE,NA,OlderWorkers
Deb Whitman,1178787573147283456,2019-09-30T21:43:52Z,4 costly scams targeting older people that you should know about but probably don't @banksafegirl //t.co/Mw7obUo8w5,FALSE,FALSE,NA,NA
Deb Whitman,1178485264651620352,2019-09-30T01:42:36Z,Our recent report quantifies the economic impact of the #racialwealthgap in the US and identifies the sources of this socioeconomic #inequity://t.co/9zIyhuBn5a,FALSE,TRUE,NA,racialwealthgap
Deb Whitman,1178483953738670081,2019-09-30T01:37:24Z,"The average annual cost of widely used prescription drugs would be substantially lower if retail price changes were limited to general inflation, finds our new report://t.co/H2ztut4zhb @leighdrugwonk #rxpricewatch//t.co/xf8ZrNwUNi",FALSE,TRUE,NA,NA
Deb Whitman,1177978816280567809,2019-09-28T16:10:10Z,#Ageism is costing this country billions. Here's how thanks to @AARPresearch//t.co/U0RvElORa4,FALSE,FALSE,NA,Ageism
Deb Whitman,1177976590355107842,2019-09-28T16:01:19Z,@MarthaBoudreau @TBanksAARPMedia @Brand_Innovator Well deserved- BRAVO,FALSE,FALSE,910991252,NA
Deb Whitman,1177976381877215232,2019-09-28T16:00:29Z,So proud to have you on my team!!!!//t.co/vyHWFmf6L7,TRUE,FALSE,NA,NA
Deb Whitman,1177976099579580417,2019-09-28T15:59:22Z,I have a new hero or rather Shero. @ElderNomics @policydeb @seanhgallagher @4IRORG #shero #longevity #futureofwork #lifelonglearning//t.co/xQTqfDy2Kw,FALSE,TRUE,NA,shero
Deb Whitman,1177976099579580417,2019-09-28T15:59:22Z,I have a new hero or rather Shero. @ElderNomics @policydeb @seanhgallagher @4IRORG #shero #longevity #futureofwork #lifelonglearning//t.co/xQTqfDy2Kw,FALSE,TRUE,NA,longevity
Deb Whitman,1177976099579580417,2019-09-28T15:59:22Z,I have a new hero or rather Shero. @ElderNomics @policydeb @seanhgallagher @4IRORG #shero #longevity #futureofwork #lifelonglearning//t.co/xQTqfDy2Kw,FALSE,TRUE,NA,futureofwork
Deb Whitman,1177975758536482823,2019-09-28T15:58:01Z,"Could have told you that it wouldn't work- and RT if you also hate the term ""Skin in the game"" //t.co/ZGuSydBJK3 #vitals",FALSE,FALSE,NA,vitals
Deb Whitman,1176964643492941824,2019-09-25T21:00:12Z,"Prescription drug prices are out of control. Our report tracked price growth in prescription drugs for 12 years, and every single year those price increases have been higher than the rate of inflation, says @policydeb://t.co/TrvIwMsyjE @leighdrugwonk #rxpricewatch//t.co/sEq8K9R6lK",FALSE,TRUE,NA,NA
Deb Whitman,1176964563889283080,2019-09-25T20:59:53Z,Employers Used @facebook to Keep Women and Older Workers From Seeing Job Ads. The Federal Government Thinks That's Illegal. I think it is just wrong.//t.co/eGXG250YSt,FALSE,FALSE,NA,NA
Deb Whitman,1176539621838262272,2019-09-24T16:51:19Z,"I'm proud to announce our collaboration with @GettyImages which promises to shatter old images of aging & replace them with authentic, accurate portraits of how the 50+ actually live. They work, travel, entertain & lead active & healthy lives. This is their story. #AWNewYork//t.co/fZxQI1tLsx",FALSE,TRUE,NA,NA
Deb Whitman,1176124069084839946,2019-09-23T13:20:04Z,"I think we all have something to learn from each other, and the diversity of age within a workplace actually adds to the overall environment. Hear the rest on @AARP Take on Today podcast episode on the benefits of the #multigen workforce.//t.co/5G9eC6o7KK @AARPIntl",FALSE,FALSE,NA,multigen
Deb Whitman,1175078449020592129,2019-09-20T16:05:08Z,"The workplace truly benefits from a #multigen workforce. To know why, listen to @AARP Take on Today podcast about the future of work.//t.co/5G9eC6o7KK @AARPIntl",FALSE,FALSE,NA,multigen
Deb Whitman,1174976769473957889,2019-09-20T09:21:06Z,"For Older Patients, an Afterworld' of Hospital Care//t.co/X5Gv1JHuzI",FALSE,FALSE,NA,NA
Deb Whitman,1174975289933234176,2019-09-20T09:15:13Z,"DNA testing companies assess stress, health, aging by measuring telomeres//t.co/MxTD0FoF5s",FALSE,FALSE,NA,NA
Deb Whitman,1174835411421556736,2019-09-19T23:59:24Z,"Men are joining, either by choice or necessity, the army of family caregivers providing care across this country. Asking for help is not a sign of weakness but of strength. @AARPpolicy @AARPIntl A New Wave of Caregivers: Men//t.co/4qQ1WSIsGm",FALSE,TRUE,NA,NA
Deb Whitman,1174835303527247872,2019-09-19T23:58:58Z,"Singapore raises its re-employment age from 67 to 70 by 2030. Under the re-employment law, companies are required to offer eligible employees the option of continuing to work until they are 67. #longevity @policydeb @JobTrendsJen//t.co/PhvPL337hN",FALSE,TRUE,NA,NA
