name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Ric Fulop 🚀,1181557512115503104,2019-10-08T13:10:37Z,"When you do mechanical design, effective communication when collaborating w/ others can be challenging - made even more difficult when you have to share design files. Fab Flow makes it easy to communicate & still maintain control of your design data://t.co/UvSsCIamOr.",FALSE,TRUE,NA,NA
Ric Fulop 🚀,1181467066974556160,2019-10-08T07:11:14Z,Desktop Metal CEO says metal 3D printing is moving into a new era//t.co/CuhxXJ5cxp #mfg,FALSE,TRUE,NA,mfg
Ric Fulop 🚀,1181383868294799361,2019-10-08T01:40:37Z,right this very second...//t.co/6OwE7I3kcM,FALSE,TRUE,NA,NA
Ric Fulop 🚀,1181370552390430722,2019-10-08T00:47:43Z,Erdogan gets green light to crush the Kurds. NBA sides with Beijing over Hong Kong protesters. Wall Street returning to Davos in the Dessert What a time for authoritarians to be alive.,FALSE,TRUE,NA,NA
Ric Fulop 🚀,1181357628582240257,2019-10-07T23:56:21Z,@epaley @fcollective Congrats @epaley,FALSE,FALSE,39507511,NA
Ric Fulop 🚀,1181357079052857344,2019-10-07T23:54:10Z,@dafrankel Congrats!!!,FALSE,FALSE,85623871,NA
Ric Fulop 🚀,1181185019966103552,2019-10-07T12:30:28Z,Go @DanaFarber and Boston //t.co/tLGTXjtxhe,TRUE,FALSE,NA,NA
Ric Fulop 🚀,1181006839242268673,2019-10-07T00:42:27Z,@28delayslater We made the ENVI batteries and FCA left us hanging dry. Few people know at the time Tesla was actually collaborating with FCA.,FALSE,FALSE,998140573008695296,NA
Ric Fulop 🚀,1180972318648127489,2019-10-06T22:25:16Z,@elonmusk @TameemJi @yukaichou @Tesla Please add airplay or chromecast when parked,FALSE,FALSE,44196397,NA
Ric Fulop 🚀,1180926993002569733,2019-10-06T19:25:10Z,@tesla_truth This plant will likely have an excellent cost structure for EU and Asia business. Plus all lessons learned from Fremont and Giga 1,FALSE,FALSE,1067553335970955264,NA
Ric Fulop 🚀,1180864085514231808,2019-10-06T15:15:12Z,@jason_pontin Zojirushi neuro,FALSE,FALSE,4503491,NA
Ric Fulop 🚀,1180863046840983552,2019-10-06T15:11:04Z,@elonmusk any chance we can add AirPlay and/or Chromecast V11?,FALSE,FALSE,44196397,NA
Ric Fulop 🚀,1180814013388771329,2019-10-06T11:56:13Z,Not at all we did they best we could with what was available at the time. I bet the whole product & business on a processor from a tiny unknown startup who had failed once to deliver. Most big companies would NEVER do such a risky thing.//t.co/3eGhayv5w0,FALSE,TRUE,NA,NA
Ric Fulop 🚀,1180804167838908417,2019-10-06T11:17:06Z,"I remember the day when Steve called me to the Board Room to personally sign a $4B purchase order for Samsung Flash for the Nano. Are you sure we are ordering the right stuff? It's going to work, right? It was the biggest single order Apple had ever placed at the time.//t.co/O21WJh6V42",FALSE,TRUE,NA,NA
Ric Fulop 🚀,1180675124464357376,2019-10-06T02:44:20Z,Highly recommend to all founders and tech folks watching the General Magic movie! Also great to see @tfadell in his early days.//t.co/hzgkXB3UWL,FALSE,FALSE,NA,NA
Ric Fulop 🚀,1180668656008736768,2019-10-06T02:18:38Z,It took 4+ yrs to ship Magic Cap v1.0 - our leaders wanted to avoid making the same mistakes they had made with MacOS v1.0 We all learned how important it is to stick to a schedule. The new internet crushed GM. Real artists ship - fast & iterate fast!//t.co/Jp1DQmz4sM,FALSE,TRUE,NA,NA
