name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Richard Edelman,1179048857344335872,2019-10-01T15:02:07Z,"Our Founder's Day is a time to remember and reiterate the principles that Edelman was founded on 67 years ago by my father, Dan. Here's to 67, @EdelmanPR!//t.co/HNN17sQOVq",TRUE,FALSE,NA,NA
Richard Edelman,1177566403270008833,2019-09-27T12:51:23Z,".@richardwedelman attended the @UN General Assembly in New York. After hearing from several world leaders, he shares his learnings from the week. #UNGA",FALSE,TRUE,NA,NA
Richard Edelman,1175068347056238592,2019-09-20T15:25:00Z,"I am deeply honored by this nomination, @PRWeekUS. Thank you!//t.co/VelLCtz4yU",TRUE,FALSE,NA,NA
Richard Edelman,1169624156809441280,2019-09-05T14:51:44Z,.@EdelmanPR conducted important research on business leadership and gun safety in the U.S. This study should embolden more CEOs to be involved in this vital issue.//t.co/9AUB89cHsU,FALSE,FALSE,NA,NA
Richard Edelman,1168969410918223872,2019-09-03T19:30:00Z,Remembering and reflecting on the lessons I learned from the late Lord Tim Bell.//t.co/qUfAWDDGmz,FALSE,FALSE,NA,NA
Richard Edelman,1164893027149733893,2019-08-23T13:31:54Z,I am proud that Edelman is the first communications company to sign this important pledge. This is an urgent step to regain trust in capitalism as the best system. #InclusiveGrowth #B4IG//t.co/r5VVhKi0cC,TRUE,FALSE,NA,InclusiveGrowth
Richard Edelman,1164893027149733893,2019-08-23T13:31:54Z,I am proud that Edelman is the first communications company to sign this important pledge. This is an urgent step to regain trust in capitalism as the best system. #InclusiveGrowth #B4IG//t.co/r5VVhKi0cC,TRUE,FALSE,NA,B4IG
Richard Edelman,1163916366530957314,2019-08-20T20:51:00Z,I've shared my thoughts on how yesterday's announcement by the Business Roundtable marks a turning point for chief executive officers.//t.co/RyLdpK28Bt #TrustBarometer,FALSE,FALSE,NA,TrustBarometer
Richard Edelman,1162076626676568065,2019-08-15T19:00:32Z,"With today's never-ending news cycle, how can executives better prepare for their impending media interviews?//t.co/f4u5mk7cld//t.co/lwLLxmCLxa",FALSE,TRUE,NA,NA
Richard Edelman,1161276788951134210,2019-08-13T14:02:16Z,"Through our new partnership with Harvard Business School researchers, we will help companies apply behavioral science techniques to deliver greater outcomes in revenue, productivity and overall human experience.//t.co/y15AiRlBZO",FALSE,TRUE,NA,NA
Richard Edelman,1160927722979385345,2019-08-12T14:55:12Z,Proud that @EdelmanPR will be the pro-bono communications firm for the Gun Safety Alliance's all-important mission to reduce gun deaths by 50 percent by 2025.//t.co/WufOZhC9Fu//t.co/VB913sILQB,FALSE,FALSE,NA,NA
Richard Edelman,1159555222336921602,2019-08-08T20:01:23Z,76% of people agree that CEOs should take the lead on change rather than waiting for government to impose it://t.co/q1kNT4LOlb #TrustBarometer//t.co/ZjGRqTHC7o,FALSE,TRUE,NA,NA
Richard Edelman,1159244719777603589,2019-08-07T23:27:33Z,".@EdelmanPR brought it at #C2Miami with ColorComm's first-ever talk show format Color Commentary Live: Brands Take a Stand, to discuss how brands are moving from making an impression to making a difference. Co-hosted by @trischls, @smitareddy and @MitaMallick2.//t.co/0059fO4lf4",FALSE,TRUE,NA,C2Miami
Richard Edelman,1158588237927071744,2019-08-06T03:58:56Z,"""Public relations in its best expression embodies integrity, decency, entrepreneurship and citizenship"" ~ @RichardWEdelman//t.co/ZSWmtye9s6",FALSE,TRUE,NA,NA
Richard Edelman,1158399919956385795,2019-08-05T15:30:37Z,Inspired by my amazing colleagues @EdelmanPR @EdelmanGWEN from across our global network #edelman #genderequity//t.co/8SOheAwz51,FALSE,TRUE,NA,edelman
Richard Edelman,1158399919956385795,2019-08-05T15:30:37Z,Inspired by my amazing colleagues @EdelmanPR @EdelmanGWEN from across our global network #edelman #genderequity//t.co/8SOheAwz51,FALSE,TRUE,NA,genderequity
Richard Edelman,1158399899307827201,2019-08-05T15:30:32Z,"With today's never-ending news cycle, how can executives better prepare for their impending media interviews? via @brettphilbin//t.co/f4u5mk7cld",FALSE,TRUE,NA,NA
Richard Edelman,1154828932639801346,2019-07-26T19:00:47Z,"The Pew Research Center's recent report on Trust and Distrust in America highlights several themes, notably skepticism about business leaders and lower trust in each other//t.co/8VDlM4p8ms",FALSE,FALSE,NA,NA
Richard Edelman,1153340168398680064,2019-07-22T16:24:58Z,"I recently visited the first battlefield of the Civil War in Manassas, Va. and Federal Hall in NYC, where George Washington was inaugurated as the first president of the United States. Read a few observations from my trips://t.co/iZod4JMe7C//t.co/YpPy0l6MdE",FALSE,FALSE,NA,NA
