name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Rachel Kyte,1181398980892098560,2019-10-08T02:40:41Z,".@EdMarkey on form @TuftsUniversity tonight thanks to colleagues at @TischCollege and @FletcherSchool The know-how of 30+years in the House and Senate harnessed to the vision, righteous impatience and drive of young people is transforming what we mean by #ClimateAction.",FALSE,FALSE,NA,ClimateAction
Rachel Kyte,1181397198476648449,2019-10-08T02:33:36Z,From tropical storm to super-typhoon in just a few hours - intensifying weather events underline the vulnerability of small island or great ocean states and how acting to support their resilience while cutting emissions fast is critical. #ClimateJustice//t.co/8Zn2vRx8lA,FALSE,FALSE,NA,ClimateJustice
Rachel Kyte,1181326849189613568,2019-10-07T21:54:03Z,Join me this evening at 6:30pm ET @TischCollege @TuftsUniversity for a discussion on the #GreenNewDeal. Excited to talk about how we're going to rebuild and reimagine our society at this university dedicated to promoting civic engagement of young people!//t.co/4Bi7uMIG5q//t.co/wAXaRvKdJO,FALSE,TRUE,NA,GreenNewDeal
Rachel Kyte,1181326039521189889,2019-10-07T21:50:50Z,Climate salvation shouldn't rest on teenage shoulders//t.co/0zp4y8nTAY via @financialtimes,FALSE,FALSE,NA,NA
Rachel Kyte,1181325562930876417,2019-10-07T21:48:56Z,5 and a bit million people can punch above their weight and lead - and at a time of #ClimateEmergency and with a decade of the #GlobalGoals to go we need once again (remember Paris) small countries to lead with ambition. Thank you @Denmark_UN//t.co/aFci8yJj65,TRUE,FALSE,NA,ClimateEmergency
Rachel Kyte,1181325562930876417,2019-10-07T21:48:56Z,5 and a bit million people can punch above their weight and lead - and at a time of #ClimateEmergency and with a decade of the #GlobalGoals to go we need once again (remember Paris) small countries to lead with ambition. Thank you @Denmark_UN//t.co/aFci8yJj65,TRUE,FALSE,NA,GlobalGoals
Rachel Kyte,1181169735137927182,2019-10-07T11:29:44Z,And there's this too.//t.co/3vNcLvWDeP,FALSE,FALSE,17947003,NA
Rachel Kyte,1181168737719857152,2019-10-07T11:25:46Z,The timeframes keep coming forward for renewables. Would be good for a number of SE Asian countries to look at the offshore wind pathway in north Western Europe.//t.co/5Lsckq2JPw,TRUE,FALSE,NA,NA
Rachel Kyte,1180219978085216256,2019-10-04T20:35:44Z,"""I bet that society is ahead of politics"" - France's #climate assembly kicked off today... can the people deliver where politicians failed?//t.co/r67QGQdAkd",FALSE,TRUE,NA,climate
Rachel Kyte,1179965443592871939,2019-10-04T03:44:19Z,Climate change is the apartheid of our times via @FT //t.co/JFtLQInha4,FALSE,FALSE,NA,NA
Rachel Kyte,1179817519764267009,2019-10-03T17:56:31Z,"Too many countries still seem to be addicted to coal even if cheaper, greener options are available. We need much more progress on: - carbon pricing - ensuring no new coal plants by 2020 - ending trillions of dollars in giveaways of taxpayers' money to the fossil fuel industry",FALSE,TRUE,NA,NA
Rachel Kyte,1179715329263640576,2019-10-03T11:10:27Z,"Circular economy, thinking thermally.//t.co/hWxF8DN72Q",TRUE,FALSE,NA,NA
Rachel Kyte,1179715255309656066,2019-10-03T11:10:09Z,This is an absolutely brilliant idea//t.co/CLtMZqQpQN,FALSE,TRUE,NA,NA
Rachel Kyte,1179520666355339265,2019-10-02T22:16:55Z,.@Emmabarnett - that was well done.,FALSE,FALSE,NA,NA
Rachel Kyte,1179505362216595456,2019-10-02T21:16:07Z,Great piece by @MCL1965 and BTW I hope @IRENA and @UNEnvironment will combine to work on battery waste problems for developing countries and guide/develop rules? Already pressing some places.//t.co/csmBD9eSsG,TRUE,FALSE,NA,NA
Rachel Kyte,1179503605314916359,2019-10-02T21:09:08Z,.@FletcherSchool - The Military Intervention Conf. 10/4 - great chance to hear Amb. Thomas Pickering on his storied career & learn about the @CSSFletcher data set of US intervention history - knowing where we come from can shed light on where we're headed in these turbulent times//t.co/2F4KMUhy1u,TRUE,FALSE,NA,NA
Rachel Kyte,1179500955253055491,2019-10-02T20:58:36Z,Bad carbon asset banks on the horizon? What will India do as coal assets concentrate in state owned banks? What will the IMF do as developing countries borrow (as Mzmbque) did to cope with dislocation and damage due to climate. Structural financial questions abound.//t.co/QmuiQ9YGAh,TRUE,FALSE,NA,NA
Rachel Kyte,1179152275710910466,2019-10-01T21:53:04Z,.@AxelVT_WB congrats on being made MD. Important times for @WorldBank Group continued leadership. 10 years to achieve #SDGs. Deep decarbonization of a global economy that has to work more fairly for more people.//t.co/pi4mps0jGE,TRUE,FALSE,NA,SDGs
Rachel Kyte,1178747376858742784,2019-09-30T19:04:09Z,@BBCBreaking And apologise and get all your committees sorted out and staffed appropriately.,FALSE,FALSE,5402612,NA
Rachel Kyte,1178746963438780416,2019-09-30T19:02:30Z,And the exciting work of @Maersk @PortofAntwerp @glmforum @Shell and so many others announced at the #ClimateActionSummit to deliver #ZeroEmissionsVessels by 2030 is to be supported and joined.//t.co/scdMAcEnrv,TRUE,FALSE,NA,ClimateActionSummit
Rachel Kyte,1178746963438780416,2019-09-30T19:02:30Z,And the exciting work of @Maersk @PortofAntwerp @glmforum @Shell and so many others announced at the #ClimateActionSummit to deliver #ZeroEmissionsVessels by 2030 is to be supported and joined.//t.co/scdMAcEnrv,TRUE,FALSE,NA,ZeroEmissionsVessels
Rachel Kyte,1178729840310210560,2019-09-30T17:54:28Z,It's not just @ewarren any jurisdiction that effectively regulates fast towards #zeronet by 2050 will have an impact This energy plan could have a dramatic impact via @FT //t.co/I8zGZVyUnJ,FALSE,FALSE,NA,zeronet
Rachel Kyte,1178725508403609600,2019-09-30T17:37:15Z,RWE aims to be carbon neutral by 2040//t.co/WbFXIU9dZs,FALSE,FALSE,NA,NA
Rachel Kyte,1178725187514183687,2019-09-30T17:35:59Z,Brilliant to have live remote monitoring of the #ProjectBo neonatal unit solar system. Lovely to watch it in real time supplying 3.5kw to the newborn unit while the national grid is down. Historically this would have meant no oxygen or heaters for the babies @MLiebreich//t.co/RN7wZSDCHB,FALSE,TRUE,NA,ProjectBo
Rachel Kyte,1178725005376573441,2019-09-30T17:35:15Z,"'The UN system currently does not support Guterres's demands...' on phasing out coal, oil subsidies etc This more I read this line in @LaurenceTubiana + @jossgarman's @HoffmannCentre plan for #COP26, the more it astonishes me.//t.co/sbhUh0rKDc",FALSE,TRUE,NA,NA
Rachel Kyte,1178271486416740352,2019-09-29T11:33:08Z,"Out of the estimated 370,000 jobs the off-grid solar industry has generated, 56% are currently based in rural areas. Read the rest of the @GOGLAssociation report on why #offgrid #solar is a growth engine for jobs://t.co/G48VZYYbh6//t.co/6BEDxef4SG",FALSE,TRUE,NA,NA
Rachel Kyte,1178233559250694145,2019-09-29T09:02:25Z,Important if @AIIB_Official swung aggressively behind offshore wind across Asia and beyond.//t.co/mDOz41ZDGv,TRUE,FALSE,NA,NA
