name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Scott McDonald,1173981975922782209,2019-09-17T15:28:09Z,"Very fun to be interviewed by @profkjmoore. ""Fascinating"" is over the top, but there are some interesting tidbits on OW and me in there.//t.co/BxS9FzJ3hX",TRUE,FALSE,NA,NA
Scott McDonald,1173981754950070276,2019-09-17T15:27:16Z,"CEO @scottmcdonaldOW was recently interviewed by @profkjmoore @CJAD800. In a fascinating conversation, he discusses his experience living in the Middle East, his short-lived time as a journalist, how he finds work-life balance & more. Listen &gt;//t.co/g00B1cpjH6 #OWInsights//t.co/b51PNkbStb",FALSE,TRUE,NA,NA
Scott McDonald,1057296718960701445,2018-10-30T15:42:36Z,@smcdonaldart Great new set of prints. I want them all.,FALSE,FALSE,NA,NA
Scott McDonald,1052461296116015104,2018-10-17T07:28:21Z,Main themes coming out of this year's InsurTech conference @OliverWyman//t.co/x2v4emKT3s,FALSE,FALSE,NA,NA
Scott McDonald,1042755916200898561,2018-09-20T12:42:38Z,Congratulations to @oliverwyman alumnus Arron Sarfatti on his appointment as CRO of Axa Equitable Life//t.co/jVVROEczKR,FALSE,FALSE,NA,NA
Scott McDonald,1042084865074753536,2018-09-18T16:16:07Z,"NEWS: MMC announced today that it will acquire Jardine Lloyd Thompson Group Plc (@JLTGroup), creating a platform to deliver exceptional service to clients and opportunities for our colleagues. Learn more//t.co/1Ybf9SzCnm//t.co/ru9v16PN49",FALSE,TRUE,NA,NA
Scott McDonald,1031643725309661184,2018-08-20T20:46:45Z,"I: The great @SimonMcBurney reminds that Arthur Miller said ""When asked to write in a time when diplomacy and politics have such terribly short and feeble arms, the delicate but sometimes lengthy reach of art must bear the burden of holding together the human community.""",FALSE,FALSE,NA,NA
Scott McDonald,1031633203432513536,2018-08-20T20:04:57Z,"II. ""One fiction in particular surrounds us continually. From the truth. And from one another. That we are separate. People from people. Women from men. Human beings from nature. @SimonMcBurney",FALSE,FALSE,NA,NA
Scott McDonald,1025286256710836226,2018-08-03T07:44:27Z,"Congratulations to @OliverWyman alumnus Richard Fearon, the new CEO of Leeds Building Society @LeedsBS",FALSE,FALSE,NA,NA
Scott McDonald,1023822660126605312,2018-07-30T06:48:38Z,1916 Winter in the Woods #tt1916//t.co/WSnVK50NW2,FALSE,TRUE,NA,tt1916
Scott McDonald,1022553194583482369,2018-07-26T18:44:14Z,This led to a great deal of thought on my part - a worthwhile read//t.co/3JvTxO3HxM,FALSE,FALSE,NA,NA
Scott McDonald,1022531905818951680,2018-07-26T17:19:38Z,Congratulations to @OliverWyman alumna Cecile Nagel on her appointment as EuroCCP CEO//t.co/USsikUBZ1i,FALSE,FALSE,NA,NA
Scott McDonald,1022496460158509061,2018-07-26T14:58:47Z,My critique of Owen Jones's claim that capitalism caused slavery//t.co/BSZLcs2oR2,FALSE,TRUE,NA,NA
