name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Sean Duffy,1144024426549170176,2019-06-26T23:27:32Z,@ArthurAllen202 @chrissyfarr Agree! Next time we meet @chrissyfarr let's do some iPhone portrait mode?,FALSE,FALSE,2461913161,NA
Sean Duffy,1143997218468143104,2019-06-26T21:39:25Z,This means a ton coming from you @cwhogg. And right back at you. :)//t.co/bNNmgwbV79,TRUE,FALSE,NA,NA
Sean Duffy,1143918165547597824,2019-06-26T16:25:18Z,What will healthcare delivery look like in 20 years? Proactive. Personalized. Digital. Thrilled to partner with Wellington et. al on an exciting next chapter for our participants and customers.//t.co/K5AKSFZa2h,TRUE,FALSE,NA,NA
Sean Duffy,1141189618953408513,2019-06-19T03:43:02Z,@jabrilliant Lol. My phone alerts tend to really explode post TV interviews.,FALSE,FALSE,17059100,NA
Sean Duffy,1135954190604201984,2019-06-04T16:59:18Z,"Congrats @EnriqueAllen, @blumenfeld, and @designerfund. You've been incredible champions of Omada and can't wait to see you do the same with the next set of lucky portfolio companies.//t.co/H8hMZrjKal",TRUE,FALSE,NA,NA
Sean Duffy,1125182066981785600,2019-05-05T23:34:44Z,Very much agree with this great @chrissyfarr piece. Healthcare = no shortcuts. Ambitious & thoughtful are not mutually exclusive. Must haves: publications; compliance/regulatory infrastructure; organizational maturity; empathy for the existing system; patience while pushing.//t.co/r9Kp9hWMDz,TRUE,FALSE,NA,NA
Sean Duffy,1112916800801402881,2019-04-02T03:16:56Z,"Throughout 2018, Omada participants sent their health coaches over 225,000 individual messages of gratitude. Thank you to our coaches, for guiding, inspiring, and empowering so many journeys. Check out the full video to hear what our participants had to say...//t.co/3Qzk7Y54Uv",FALSE,TRUE,NA,NA
Sean Duffy,1111276266726907904,2019-03-28T14:38:03Z,"@ananavarro @PatentlySue @AOC That's ok, @ananavarro! Definitely on a different mission here at Omada. If you're curious, we're passionate about providing more citizens with access to digitally-delivered healthcare://t.co/QP0tXtxjAu. :)",FALSE,FALSE,19568591,NA
Sean Duffy,1111066884412071936,2019-03-28T00:46:02Z,@the_sy_guy @ananavarro @RepSeanDuffy @AOC Thanks Sy. Twitter notifications are on fire right now. :),FALSE,FALSE,833990485,NA
Sean Duffy,1110692177431199744,2019-03-26T23:57:05Z,Thanks to @omadahealth's @SavageLucia for aways upholding our #ParticipantsFirst value and testifying before the Senate HELP committee on patient privacy & data access. Esp. great to hear the Diabetes Prevention call outs from @MittRomney!!//t.co/ryg7aTSLLk,TRUE,FALSE,NA,ParticipantsFirst
Sean Duffy,1110691187869003778,2019-03-26T23:53:09Z,@DrSepah @TechCrunch @omadahealth Thanks Cameron!,FALSE,FALSE,1857901044,NA
Sean Duffy,1105682637790822400,2019-03-13T04:10:58Z,"@cwhogg @boltyboy @omadahealth @Livongo @GlenTullman @CDCgov You'll be the first to know, Chris. ;)",FALSE,FALSE,15727738,NA
Sean Duffy,1105666210035847170,2019-03-13T03:05:41Z,"@cwhogg @boltyboy @omadahealth @Livongo @GlenTullman @CDCgov I always tell our teams: no pats on our backs until we hit 1m+ per year. At that point, we'll raise the bar for pats. :)",FALSE,FALSE,15727738,NA
Sean Duffy,1105664449241903106,2019-03-13T02:58:41Z,@cwhogg @boltyboy @omadahealth @Livongo @GlenTullman Press release is correct. Over 200k and growing quickly!,FALSE,FALSE,15727738,NA
Sean Duffy,1105657357219098625,2019-03-13T02:30:30Z,"@boltyboy @omadahealth @Livongo Indeed. :) No doubt, lots of people who need help & fun for both of us to compete for the benefit of our patients. For what it's worth, never been more energized by the @omadahealth roadmap. Stay tuned.",FALSE,FALSE,1248081,NA
Sean Duffy,1105520759877894145,2019-03-12T17:27:43Z,3 devices; 1 integrated experience; no pairing or set-up required. Excited to welcome a cellular-enabled blood pressure cuff and glucometer to the Omada family. This opens a LOT of innovative doors. More soon. :)//t.co/sjodhFniht,TRUE,FALSE,NA,NA
Sean Duffy,1096495041361567744,2019-02-15T19:42:44Z,"Our Chief Privacy and Regulatory Officer, @SavageLucia shares her thoughts on ONC's recent #informationblocking rule & its potential to accelerate innovation in healthcare://t.co/QMhgmJQGWG//t.co/vQ7O8bAtpQ",FALSE,TRUE,NA,informationblocking
Sean Duffy,1092517433984741376,2019-02-04T20:17:08Z,"We don't often run op-eds on @CNBC, but here are two that made the cut: @seanduffy advising health entrepreneurs to avoid the term ""start-up""://t.co/TWfJlz26oP @AaronNeinstein, an endocrinologist at UCSF, on the future of blood sugar tracking://t.co/M85xe8qMUL",FALSE,TRUE,NA,NA
Sean Duffy,1082370769714262017,2019-01-07T20:17:55Z,Proud to share that @omadahealth is expanding to support mental health conditions - another area where digital can make an *enormous* difference in health and access.//t.co/BpW22RuL1l,FALSE,FALSE,NA,NA
Sean Duffy,1081759965247868929,2019-01-06T03:50:48Z,"Important work on #Alzheimers detection from @UCSF. Now expanding to a larger, more diverse cohort.//t.co/rzLqKnPGGs",FALSE,TRUE,NA,Alzheimers
