name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
So-Young Kang,1181462440229261312,2019-10-08T06:52:50Z,#Gnowbe #quoteoftheday #refining #evolving #revolutionizing #mid #mobilelearning//t.co/mWOzvX58d6,FALSE,FALSE,NA,Gnowbe
So-Young Kang,1181462440229261312,2019-10-08T06:52:50Z,#Gnowbe #quoteoftheday #refining #evolving #revolutionizing #mid #mobilelearning//t.co/mWOzvX58d6,FALSE,FALSE,NA,quoteoftheday
So-Young Kang,1181462440229261312,2019-10-08T06:52:50Z,#Gnowbe #quoteoftheday #refining #evolving #revolutionizing #mid #mobilelearning//t.co/mWOzvX58d6,FALSE,FALSE,NA,refining
So-Young Kang,1181462440229261312,2019-10-08T06:52:50Z,#Gnowbe #quoteoftheday #refining #evolving #revolutionizing #mid #mobilelearning//t.co/mWOzvX58d6,FALSE,FALSE,NA,evolving
So-Young Kang,1181462440229261312,2019-10-08T06:52:50Z,#Gnowbe #quoteoftheday #refining #evolving #revolutionizing #mid #mobilelearning//t.co/mWOzvX58d6,FALSE,FALSE,NA,revolutionizing
So-Young Kang,1181462440229261312,2019-10-08T06:52:50Z,#Gnowbe #quoteoftheday #refining #evolving #revolutionizing #mid #mobilelearning//t.co/mWOzvX58d6,FALSE,FALSE,NA,mid
So-Young Kang,1181462440229261312,2019-10-08T06:52:50Z,#Gnowbe #quoteoftheday #refining #evolving #revolutionizing #mid #mobilelearning//t.co/mWOzvX58d6,FALSE,FALSE,NA,mobilelearning
So-Young Kang,1180427399948902401,2019-10-05T10:19:58Z,"So-Young Kang @soykang Founder & CEO of @gnowbe, is a serial entrepreneur on a mission to drive behavior change for real impact. Watch our full #SAPiOStartups interview with her://t.co/iA4ujz8KCV//t.co/oOBmshymMk",FALSE,TRUE,NA,NA
So-Young Kang,1180427330742829056,2019-10-05T10:19:41Z,#SuccessConnect Interview with @Gnowbe and Ram Jambunathan @ramjets - How technology can be used to humanize learning to develop future skills. //t.co/VWfiub9CKg,FALSE,TRUE,NA,SuccessConnect
So-Young Kang,1179519388363440128,2019-10-02T22:11:51Z,"Gnowbe stands for ""Grow Knowledge into Being"" and is based on the belief that only through application can...//t.co/iqcwIn1F3m",FALSE,FALSE,NA,NA
So-Young Kang,1178402259572539393,2019-09-29T20:12:46Z,"Amazing panel discussion titled Daughters of the Movement for @mowfilmfest with @ginabelafonte (daughter of #harrybelafonte), suzannekay9 (daughter of diahann_carroll), Stacy Lynch (daughter of #billlynch), Hasna//t.co/EhWypuY1PJ",FALSE,FALSE,NA,harrybelafonte
So-Young Kang,1178402259572539393,2019-09-29T20:12:46Z,"Amazing panel discussion titled Daughters of the Movement for @mowfilmfest with @ginabelafonte (daughter of #harrybelafonte), suzannekay9 (daughter of diahann_carroll), Stacy Lynch (daughter of #billlynch), Hasna//t.co/EhWypuY1PJ",FALSE,FALSE,NA,billlynch
So-Young Kang,1178039261771243520,2019-09-28T20:10:21Z,#Gnowbe #quoteoftheday//t.co/JOpe4JumvD,FALSE,FALSE,NA,Gnowbe
