name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Tim Brown,1180250258548215808,2019-10-04T22:36:04Z,"""If you adopt a holistic view of production, take advantage of idle capacity, reuse materials, and increase the lifespan of products, you will save both money and the planet. That's the promise of circular design.""@tceb62//t.co/6gCVNczy3d",FALSE,TRUE,NA,NA
Tim Brown,1178760999454687232,2019-09-30T19:58:17Z,"Join me tomorrow, Tuesday, October 1, at 9am PT with @IDEOU!//t.co/EGqr9txTSR",TRUE,FALSE,NA,NA
Tim Brown,1176919316962238466,2019-09-25T18:00:05Z,"""How can the legal industry change its way of thinkingso that it looks at the issues it confronts not as legal problems, but as human problems?"" @IDEO's @RochaelS & @ClientSmart_net discuss the idea of ""human-centered lawyering"" via @LegalExecutives://t.co/mLMT7m7IyE",FALSE,TRUE,NA,NA
Tim Brown,1175202712842993664,2019-09-21T00:18:55Z,"When it comes to climate change, no one is off the hook. As designers, we particularly have a critical role in finding and creating solutions. What are you doing to #DesignForResilience? Add to the conversation at//t.co/W23OpV4hWq",FALSE,TRUE,NA,NA
Tim Brown,1171281701948944389,2019-09-10T04:38:13Z,"Learn why having both creativity and rigor is so important to designing a strategy that is actionable with IDEO U's newest instructor, @RogerLMartin. Join us tomorrow, Sept 10th @ 1:30PM PT://t.co/whLJd1hpRw//t.co/CiDhDZ81sX",FALSE,TRUE,NA,NA
Tim Brown,1169690351759572992,2019-09-05T19:14:46Z,"In an ecosystem world, success does not depend on cultivating resources that no other firm can. It involves sharing the resources you have to help other firms innovate.//t.co/OT7gvDdjhr",FALSE,TRUE,NA,NA
Tim Brown,1156991684560867328,2019-08-01T18:14:48Z,"Creativity isn't all fun and games. Building innovative solutions is hard, arduous work, but @IDEO's @sandyspeicher says that moments of doubt and confusion are key to the process. On disequilibrium in design://t.co/N7oNRlNfS9",FALSE,TRUE,NA,NA
Tim Brown,1153028799564402689,2019-07-21T19:47:42Z,Transitioning the Circular Economy into the mainstream will be one of the biggest creative challenges of our time. But what is the circular economy? Visit one of our partners @circulareconomy learning hub today.//t.co/yl8ySB5YhG,FALSE,FALSE,NA,NA
Tim Brown,1151189613093851136,2019-07-16T17:59:26Z,"This is going to be an important, conversation-shifting book: ""A Beginner's Guide to the End: Practical Advice for Living Life and Facing Death"": Dr. BJ Miller, Shoshana Berger: 9781501157165://t.co/0LV7sFauHN: Books//t.co/9ENDNpW8NN",FALSE,TRUE,NA,NA
Tim Brown,1136430624858755072,2019-06-06T00:32:29Z,Only a minority of organizations can innovate repeatedlyhere's what they're doing://t.co/hfKzhDNUTS,FALSE,TRUE,NA,NA
Tim Brown,1134594924651765760,2019-05-31T22:58:04Z,"Don't miss the @IDEO Journal, a new digital publication exploring the intersection of design + business just launched this week://t.co/i7u6UD5mpx",FALSE,FALSE,NA,NA
Tim Brown,1126569313932959744,2019-05-09T19:27:09Z,"""We have to engage with a commitment to stay involved with the ever-changing nature of what a design problem is.""@tceb62 of @IDEO in conversation with @courtwrites #99UConf//t.co/3cQvta4m10",FALSE,TRUE,NA,NA
Tim Brown,1113837165102948352,2019-04-04T16:14:08Z,"Big news from @IDEO! @sandyspeicher will become our new CEO this August. More about the news, including the note I shared with IDEO://t.co/XMgSVuVMtp//t.co/0DyTNahONg",FALSE,FALSE,NA,NA
Tim Brown,1113495616007458817,2019-04-03T17:36:57Z,Major congrats to @IDEOorg on reaching more than 1 million people!//t.co/Ahm9YSs2NA,TRUE,FALSE,NA,NA
Tim Brown,1107691817988952064,2019-03-18T17:14:43Z,"This week I got to discuss one of my favorite topics with #HelloMonday's host @jessiwrites. Ideas: Where do they come from, why do they come, and how do we ensure they don't stop? Listen now://t.co/lTNmKjqI2v or read the transcript here://t.co/WLjg628PjA",FALSE,FALSE,NA,HelloMonday
Tim Brown,1106597674520698881,2019-03-15T16:46:59Z,"In case you missed it, a fantastic #designthinking resource now available from @ideo://t.co/gWtzCUdEWq",FALSE,TRUE,NA,designthinking
Tim Brown,1104157709706846208,2019-03-08T23:11:26Z,It's been an honor to attend @FortuneMagazine's Brainstorm Design conference in Singapore. I'm delighted to share a great conversation I had with Clay Chandler as well as a summary of our chat by @editorialiste://t.co/ErO1G19vHq #fortunedesign,FALSE,FALSE,NA,fortunedesign
Tim Brown,1103378114149724160,2019-03-06T19:33:36Z,We're at a moment where there's almost no societal system that doesn't require a redesign. IDEO's @tceb62 at #fortunedesign//t.co/uelEQ7oxo7,FALSE,TRUE,NA,NA
Tim Brown,1103006147227709441,2019-03-05T18:55:33Z,"IDEO CEO Tim Brown: For design, empathy is not the end, it's the means'//t.co/4hd1tB3Qfl",FALSE,TRUE,NA,NA
Tim Brown,1102939320292241408,2019-03-05T14:30:00Z,It's been 10 (!) years since Change By Design was first published. I'm delighted to share that we've revised + updated the book (with both a new chapter + introduction)://t.co/sv0nn9uQqW,FALSE,FALSE,NA,NA
