name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Timothy D Adams,1144626407429029888,2019-06-28T15:19:36Z,"Excited to announce the addition of @LoweryClay, Liz, and @elinaribakova to the @IIF team our members will benefit greatly from the expertise and experience you each bring to the table. Welcome!//t.co/O9NKs2YeRA",FALSE,FALSE,NA,NA
Timothy D Adams,1009502430504112128,2018-06-20T18:25:09Z,"NEW: Reid Travis is now a Kentucky Wildcat, but will he start for UK this season? Here's an early look at a projected starting five for the Cats//t.co/83VSzfXLzc",FALSE,TRUE,NA,NA
Timothy D Adams,916067671594160128,2017-10-05T22:28:47Z,"Enthusiastically agree. Randy's a wonderful guy and thoughtful, seasoned policy maker.//t.co/A8hZURygPb",TRUE,FALSE,NA,NA
Timothy D Adams,904692488035852289,2017-09-04T13:07:52Z,I am proud to have worked in the White House for President Bush. He and Reagan are the reasons I joined the GOP. How the world has changed.//t.co/ISFvlwG42L,TRUE,FALSE,NA,NA
Timothy D Adams,904690373351669760,2017-09-04T12:59:27Z,VIDEO: George HW Bush and Ronald Reagan in 1980 debate fighting over who would be more compassionate to children of undocumented immigrants//t.co/KXBwRRA4Ee,FALSE,TRUE,NA,NA
Timothy D Adams,896416485928816640,2017-08-12T17:01:59Z,Mine too @Tony Fratto. Washing dishes at Perkins Pancake House. Can still smell the steam jets washing away the syrup.//t.co/jt9s6PdnNw,TRUE,FALSE,NA,NA
Timothy D Adams,890953968129540096,2017-07-28T15:15:53Z,Great morning with @tomkeene & @davidgura on @bsurveillance . A super smart team and dynamic environment made for stimulating discussion.//t.co/5fnZcQGAbc,FALSE,FALSE,NA,NA
Timothy D Adams,884582904562450432,2017-07-11T01:19:33Z,"Randy is an incredibly smart, thoughtful and pragmatic guy. Will be great for the role as Vice Chair. I'm a huge fan.//t.co/rheRgmft9g",TRUE,FALSE,NA,NA
Timothy D Adams,879803825112141829,2017-06-27T20:49:12Z,Yellen: Banks 'very much stronger'; another financial crisis not likely 'in our lifetime'//t.co/qfy1uNOhAm,FALSE,FALSE,NA,NA
Timothy D Adams,868575812517326848,2017-05-27T21:13:05Z,"NYT: cause of the Great Enrichment? Not exploitation but liberalism, in the free-market European sense.//t.co/KgMh2Lu9ha",FALSE,FALSE,NA,NA
Timothy D Adams,855118120419196928,2017-04-20T17:57:01Z,@economistmeg @IIF Not what I meant. You were great!,FALSE,FALSE,241709263,NA
Timothy D Adams,848863546117115904,2017-04-03T11:43:35Z,"Blue-sky day in Bueno Aires kicking off our Argentina Financial Summmit. Regional econ and political opportunites, challenges top agenda.//t.co/9q6Q0m7REq",FALSE,FALSE,NA,NA
Timothy D Adams,842292946288414720,2017-03-16T08:34:22Z,"Good morning #IIFfrankfurt day two w/ Ministers Schauble, Meirelles & Morneau + IMF MD Lagarde. Huge day ahead re growth, trade, Fin Mkts.//t.co/xoWGKf1Y3U",FALSE,FALSE,NA,IIFfrankfurt
Timothy D Adams,841915592386981888,2017-03-15T07:34:53Z,"In Frankfurt kicking off our two-day annual G20 Conf focused on Econ growth, FinReg, importance of trade, mkts and key risks//t.co/YKiEvwmf3c",FALSE,FALSE,NA,NA
Timothy D Adams,836934677395013632,2017-03-01T13:42:31Z,Here's biggest change in US trade since 2003: The YUGE expansion in Trade Surplus for Services vs. Almost No Change in Goods Trade Deficit//t.co/nHABRW4gLb,FALSE,TRUE,NA,NA
Timothy D Adams,831388469599551488,2017-02-14T06:23:52Z,"Starting day 2 of annual MENA Conf in Dubai. Today's focus: regional non-oil economies, cap mkt development, FinTech and Axel Webber remarks//t.co/Ido8SqCTnU",FALSE,FALSE,NA,NA
Timothy D Adams,831127171246723072,2017-02-13T13:05:33Z,"Kicking off day one of our annual MENA Financial Summit in Dubai. Focus: oil prices, Trump agenda, China, Brexit and GCC fiscal reform//t.co/dnzGAI8Lx1",FALSE,FALSE,NA,NA
Timothy D Adams,821304572132073472,2017-01-17T10:34:03Z,"President Xi speaks to huge standing-room-only crowd as China, Brexit, Trump, technology and de-globalization dominate discussion buzz.//t.co/1ss1Ue2L1M",FALSE,FALSE,NA,NA
