name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Nigel Topping,1181453302778798080,2019-10-08T06:16:32Z,Frito-Lay Ditches Diesel In Favor Of A Renewable-Powered Fleet At Its Modesto Facility//t.co/WhxhHiYFLz via @cleantechnica,FALSE,FALSE,NA,NA
Nigel Topping,1181453217395335168,2019-10-08T06:16:12Z,"EVs To Revolutionize Postal Services, & More//t.co/JIHsJ3LzQf via @cleantechnica",FALSE,FALSE,NA,NA
Nigel Topping,1181453043293925376,2019-10-08T06:15:30Z,"Companies' continued participation in lobbying while they commit to climate action targets not only represents a hypocrisy, but it also assures us that we won't achieve our goal to bring down carbon emissions @MindyLubber//t.co/i00ad3d2Xc",FALSE,TRUE,NA,NA
Nigel Topping,1181452977950908416,2019-10-08T06:15:14Z,Tesla Model 3 = 24% of Small & Midsize Luxury Car Sales in USA*//t.co/l3NJfyf05u via @cleantechnica,FALSE,FALSE,NA,NA
Nigel Topping,1181452386751205376,2019-10-08T06:12:53Z,"Nature took center stage during UN Climate Summit and #ClimateWeek. We've tracked all #NatureBasedSolutions commitments made throughout the week showcasing how gov, business, communities and nature are coming together to mitigate 10GtC by 2030.//t.co/ulphkwgKTA",FALSE,TRUE,NA,ClimateWeek
Nigel Topping,1181452386751205376,2019-10-08T06:12:53Z,"Nature took center stage during UN Climate Summit and #ClimateWeek. We've tracked all #NatureBasedSolutions commitments made throughout the week showcasing how gov, business, communities and nature are coming together to mitigate 10GtC by 2030.//t.co/ulphkwgKTA",FALSE,TRUE,NA,NatureBasedSolutions
Nigel Topping,1181452329045893121,2019-10-08T06:12:40Z,Mark Carney opening speaker at the world's first TCFD Summit in Tokyo - jointly hosted by METI and WBCSD @wbcsd @METI_JPN @FSB_TCFD #tcfdsummit//t.co/Ck3GOw6UuG,FALSE,TRUE,NA,NA
Nigel Topping,1181452152390262784,2019-10-08T06:11:58Z,"Your business can step up, and do its bit to protect our planet, people and future from the worst effects of climate change, by setting a target in line with holding global warming to 1.5C://t.co/jTQDMSKwmM//t.co/uEgPtyXe0X",FALSE,TRUE,NA,NA
Nigel Topping,1181452114192732160,2019-10-08T06:11:48Z,"The analysis shows that all four major geographies can achieve #netzero greenhouse gas emissions by 2050, And that the EU + US could reach that target by 2045. #betterfuturefaster #climatechange //t.co/dZc764dRIe",FALSE,TRUE,NA,netzero
Nigel Topping,1181451930712838144,2019-10-08T06:11:05Z,Order for 300 e-buses in India goes to Tata This segment has crossed the tipping point. //t.co/cICZBgSQ75,FALSE,TRUE,NA,NA
Nigel Topping,1181451853428596736,2019-10-08T06:10:46Z,Check it out! @MindyLubber @CleanPowerSue @CDP_PaulS @ShareAction @PRI_News//t.co/ydxQksFCM8,FALSE,TRUE,NA,NA
Nigel Topping,1181451451362664448,2019-10-08T06:09:10Z,with beautiful Swedish understatement @volvocars CEO pronounces the end of the Internal Combustion Engine!!//t.co/aTUR23mg0v,TRUE,FALSE,NA,NA
Nigel Topping,1181450558525313024,2019-10-08T06:05:38Z,".@CarolaSchmidtZ, we write to express our strong support for #COP25 as a #timeforaction and for laying foundations for even stronger action after 2020 - Our CEOs @topnigel @whittso @mendiluce @hl_clarkson join many more signing open letter//t.co/vnSS6oeqLA @UNFCCC",FALSE,TRUE,NA,COP25
Nigel Topping,1181450558525313024,2019-10-08T06:05:38Z,".@CarolaSchmidtZ, we write to express our strong support for #COP25 as a #timeforaction and for laying foundations for even stronger action after 2020 - Our CEOs @topnigel @whittso @mendiluce @hl_clarkson join many more signing open letter//t.co/vnSS6oeqLA @UNFCCC",FALSE,TRUE,NA,timeforaction
Nigel Topping,1181097635924578304,2019-10-07T06:43:14Z,"""A common and pernicious form of greenwashing is saying one thing on your company's sustainability but doing another thing on the trade associations that you're funding,"" said @RatnerBen in @Newsweek://t.co/M8udA6Bj9J",FALSE,TRUE,NA,NA
Nigel Topping,1181083673774481408,2019-10-07T05:47:45Z,Hydrogen economy: Chemicals giant Linde snaps up stake in ITM Power//t.co/SMfo44RaG7 via @businessgreen,FALSE,FALSE,NA,NA
Nigel Topping,1181072037957263360,2019-10-07T05:01:31Z,"The @GretaThunberg Effect. I'm at the 16th Science and Technology in Society forum in Kyoto and the language being used here, for the first time, is ""we know enough science about #climatechange, we've talked enough about what needs to be done, now we must act with urgency.""",FALSE,TRUE,NA,NA
Nigel Topping,1181071020754636800,2019-10-07T04:57:29Z,World leaders are failing our future generations on climate change - The Washington Post//t.co/tNiP1i24Tk,FALSE,TRUE,NA,NA
Nigel Topping,1181070991369342977,2019-10-07T04:57:22Z,"Japan has had this beautiful Shikansen train for over 50 years. Now China is home to 70 % of all bullet trains. Can anyone please explain why the world's most advanced economy, US , cannot do the same? //t.co/2TGivIEaGv",FALSE,TRUE,NA,NA
Nigel Topping,1181070570055712769,2019-10-07T04:55:41Z,"Our latest report: 'Land of the Rising Sun & Offshore #Wind' finds the economic viability of new & existing #coal in #Japan could be severely undermined by cheap #renewables & without policy reform, could result in US$71 bn of #StrandedAssets//t.co/PkNFEXP9Cm",FALSE,TRUE,NA,Wind
Nigel Topping,1181070570055712769,2019-10-07T04:55:41Z,"Our latest report: 'Land of the Rising Sun & Offshore #Wind' finds the economic viability of new & existing #coal in #Japan could be severely undermined by cheap #renewables & without policy reform, could result in US$71 bn of #StrandedAssets//t.co/PkNFEXP9Cm",FALSE,TRUE,NA,coal
Nigel Topping,1181070519354957824,2019-10-07T04:55:29Z,"In summary - #EV's are crushing the resale value of luxury gas cars, making ICE leasing more expensive and further accelerating the transition to EV's. //t.co/gNTBTYRhBM #EV100",FALSE,TRUE,NA,EV
