name,status_id,created_at,text,is_quote,is_retweet,reply_to_user_id,hashtags
Yves Le Gelard,1181306683714363392,2019-10-07T20:33:55Z,This week we onboarded 27 new EVBoxers. Welcome! Will you be there for our November onboarding? Check out our open vacancies //t.co/A62AtVEmgo//t.co/4qNfQRcxId,FALSE,TRUE,NA,NA
Yves Le Gelard,1181306359138209797,2019-10-07T20:32:38Z,"Last Friday, ENGIE's Chairman of the Board @jpclamadieu visited our Global Security Operations Centre which is operated by @ENGIEgroup in partnership with @thalesgroup. Thank you for your support M. Clamadieu.//t.co/kWoC7oUXnP",FALSE,TRUE,NA,NA
Yves Le Gelard,1181306118997282816,2019-10-07T20:31:41Z,"Aujourd'hui, @ENGIEgroup : Exploite le + grand rseau de chaleur en France Exploite le + grand rseau de froid en Europe Est N1 mondial des rseaux de froid Nous sommes fiers de contribuer la #TransitionEcologique grce ces rseaux.//t.co/hkAADma56r",FALSE,TRUE,NA,NA
Yves Le Gelard,1181109126883094529,2019-10-07T07:28:54Z,Echanges passionnants avec nos 150 dveloppeurs des plateformes #Darwin et @ENGIEgroup Entreprises et collectivits qui @OnlyLyon inventent la #TransitionZeroCarbon avec les meilleures technos.//t.co/m3uSgrgtVR,FALSE,FALSE,NA,Darwin
Yves Le Gelard,1181109126883094529,2019-10-07T07:28:54Z,Echanges passionnants avec nos 150 dveloppeurs des plateformes #Darwin et @ENGIEgroup Entreprises et collectivits qui @OnlyLyon inventent la #TransitionZeroCarbon avec les meilleures technos.//t.co/m3uSgrgtVR,FALSE,FALSE,NA,TransitionZeroCarbon
Yves Le Gelard,1178744016021708800,2019-09-30T18:50:48Z,"@OBiancarelli, @ENGIEgroup EVP in charge of Tractebel, @engieimpact and the Customer Solutions Global Business Line, explained the #ZeroCarbonTransition during an interview to BFM Business and the role of the Group towards the #ZeroCarbonFuture//t.co/ihT00D8702//t.co/JHrmloSGLz",FALSE,TRUE,NA,NA
Yves Le Gelard,1176967920179732485,2019-09-25T21:13:13Z,So glad we spend the day on @OhioState Campus. Incredible team work between Engie and OSU to improve energy performance and lead the way to a zero-carbon future. I was impressed by the motivation and dedication of our teams. Go Bucks!//t.co/Dj0pXBfW0h,FALSE,TRUE,NA,NA
Yves Le Gelard,1171464069502517248,2019-09-10T16:42:53Z,"Bravo @vestager @GabrielMariya et @goulardsylvie pour leurs nominations! 3 femmes d'exception la hauteur des dfis qui se posent l'#UE l're du numrique. #DigitalServicesAct, IA, taxation, cybersecurit, R&D... Nous sommes pleinement mobilis.e.s ! #EUstrivesformore//t.co/ixE6O29ezW",FALSE,TRUE,NA,NA
Yves Le Gelard,1162448085131374593,2019-08-16T19:36:35Z,"Our EVBox Ultroniq ultra-fast charging stations are part of Europe's first high-power charging location, operated by @AllegoCharging. We published a success story detailing our collaboration with Allego. To find out more //t.co/SreOrW5nSW//t.co/dBr1UjWdXw",FALSE,TRUE,NA,NA
Yves Le Gelard,1162447190767349760,2019-08-16T19:33:02Z,"The End of an Era People came by bicycle, car, truck, and even boat along the adjacent Ct. River to see the last, most visible vestige of the former Mt. Tom coal plant in Holyoke, MA, come down. Read More://t.co/dpItA5YU3w @ENGIENorthAm @ENGIEgroup @Gwenaelle_huet//t.co/FvF4qT8Ldi",FALSE,TRUE,NA,NA
Yves Le Gelard,1159453325361909765,2019-08-08T13:16:29Z,100+ open positions in 13 offices. Choose your next step in cleantech. //t.co/xyIz5qXMrl//t.co/AWu8Ib2Kjg,FALSE,TRUE,NA,NA
Yves Le Gelard,1153575144755027969,2019-07-23T07:58:41Z,"In 2019 we have 13 mini-grids in operation or being built in Zambia & Tanzania. By 2025, our goal is to develop 2,000 mini-grids in Africa to enable 2.5M households & businesses to access #renewable, reliable and cost-effective #energy. #ActWithENGIE//t.co/wRIs5v43x4//t.co/2Xisx9HcTy",FALSE,TRUE,NA,NA
Yves Le Gelard,1144556772893646848,2019-06-28T10:42:54Z,L'#nergie c'est de la #tech. Retour en images sur #TheGoodDay #ActWithENGIE @ENGIEgroup//t.co/2A38awjR1k,FALSE,FALSE,NA,énergie
Yves Le Gelard,1144556772893646848,2019-06-28T10:42:54Z,L'#nergie c'est de la #tech. Retour en images sur #TheGoodDay #ActWithENGIE @ENGIEgroup//t.co/2A38awjR1k,FALSE,FALSE,NA,tech
Yves Le Gelard,1144556772893646848,2019-06-28T10:42:54Z,L'#nergie c'est de la #tech. Retour en images sur #TheGoodDay #ActWithENGIE @ENGIEgroup//t.co/2A38awjR1k,FALSE,FALSE,NA,TheGoodDay
Yves Le Gelard,1144556772893646848,2019-06-28T10:42:54Z,L'#nergie c'est de la #tech. Retour en images sur #TheGoodDay #ActWithENGIE @ENGIEgroup//t.co/2A38awjR1k,FALSE,FALSE,NA,ActWithENGIE
Yves Le Gelard,1144295595789750273,2019-06-27T17:25:04Z,"Merci @isabelle_kocher et @yveslegelard, nos invits au Club Digital de lundi sur le thme Quand le digital est un booster pour la transition zro carbone et Alexandre Stachtchenko sur le thme Bitcoin & Blockchain : le nouvel Internet de la valeur @ENGIEgroup//t.co/NeVssS4RZ2",FALSE,TRUE,NA,NA
Yves Le Gelard,1144189332191944704,2019-06-27T10:22:49Z,"[CP] Les capacits renouvelables d'@ENGIEgroup dpassent 1,5 GW en #Inde #EnergiesRenouvelables #TransitionEnergtique //t.co/XKALxFWtgX",FALSE,TRUE,NA,Inde
Yves Le Gelard,1144189332191944704,2019-06-27T10:22:49Z,"[CP] Les capacits renouvelables d'@ENGIEgroup dpassent 1,5 GW en #Inde #EnergiesRenouvelables #TransitionEnergtique //t.co/XKALxFWtgX",FALSE,TRUE,NA,EnergiesRenouvelables
Yves Le Gelard,1144189332191944704,2019-06-27T10:22:49Z,"[CP] Les capacits renouvelables d'@ENGIEgroup dpassent 1,5 GW en #Inde #EnergiesRenouvelables #TransitionEnergtique //t.co/XKALxFWtgX",FALSE,TRUE,NA,TransitionEnergétique
Yves Le Gelard,1141641830636904450,2019-06-20T09:39:57Z,Proud to introduce the Digital 50's members to @isabelle_kocher #TheGoodDay #ActWithENGIE @ENGIEgroup//t.co/SbEzPTwewQ,FALSE,FALSE,NA,TheGoodDay
Yves Le Gelard,1141641830636904450,2019-06-20T09:39:57Z,Proud to introduce the Digital 50's members to @isabelle_kocher #TheGoodDay #ActWithENGIE @ENGIEgroup//t.co/SbEzPTwewQ,FALSE,FALSE,NA,ActWithENGIE
Yves Le Gelard,1141627605835292672,2019-06-20T08:43:26Z,"#TheGoodDay, c'est une journe exceptionnelle par beaucoup d'aspects. Il a t organis par normment d'acteurs. Un point commun : ils sont pionniers de la transition #ZroCarbone. Beaucoup en parle. Eux l font ! #ActWithENGIE//t.co/CyKCsIcYny",FALSE,TRUE,NA,TheGoodDay
Yves Le Gelard,1141521052406833153,2019-06-20T01:40:01Z,What if tomorrow's solutions already exist today? The #ZeroCarbonTransition goes beyond the #energy issue alone! Be ready on June 20 to discover the #ChangeMakers of the #ZeroCarbonTransition! #ActWithENGIE //t.co/jwdgWMVjha//t.co/d0IxemKc88,FALSE,TRUE,NA,ZeroCarbonTransition
Yves Le Gelard,1141521052406833153,2019-06-20T01:40:01Z,What if tomorrow's solutions already exist today? The #ZeroCarbonTransition goes beyond the #energy issue alone! Be ready on June 20 to discover the #ChangeMakers of the #ZeroCarbonTransition! #ActWithENGIE //t.co/jwdgWMVjha//t.co/d0IxemKc88,FALSE,TRUE,NA,energy
